Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
ACUPIX,M062X,def2-TZVP,1254.0,2.0,1.0,482.46,4784.9,8.0,242856.0,-1647.81369248,-1647.22872775,0.0910167,-1647.31974445,22.76,28.21,29.74,34.45,
AMADPH10_4,M062X,def2-TZVP,897.0,1.0,1.0,383.22,4593.4,8.0,68345.0,-1633.60963511,-1633.25482155,0.07477093,-1633.32959249,39.22,40.39,60.22,79.17,
AMUDIX_4,M062X,def2-TZVP,1641.0,0.0,1.0,608.67,4458.4,8.0,871872.0,-2009.83015075,-2008.98250415,0.10910454,-2009.09160869,25.17,34.22,50.9,54.32,
ARFMAD_1_protonated,M062X,def2-TZVP,909.0,1.0,1.0,359.3,4856.4,8.0,75503.0,-1257.69988898,-1257.30162063,0.07194798,-1257.37356861,39.61,47.94,54.31,72.53,
ARFMAD_4_protonated,M062X,def2-TZVP,909.0,1.0,1.0,359.3,4894.9,8.0,67359.0,-1257.69988856,-1257.30161971,0.0719497,-1257.37356941,39.57,47.93,54.28,72.52,
ASUWEQ_protonated,,,,,,,,,,,,,,,,,,.OUT File not found
ATIREC_1_protonated,M062X,def2-TZVP,984.0,1.0,1.0,390.32,4814.5,8.0,101276.0,-1349.70855323,-1349.3274394,0.07350457,-1349.40094397,22.26,38.9,51.62,59.02,
AYEYAG_1,M062X,def2-TZVP,923.0,0.0,1.0,397.97,4646.2,8.0,81968.0,-1550.55926264,-1550.2583465,0.07832812,-1550.33667461,23.71,33.73,40.75,45.61,
AYEYAG_2,M062X,def2-TZVP,923.0,0.0,1.0,397.97,4646.6,8.0,116161.0,-1550.55840174,-1550.25668113,0.07756749,-1550.33424862,33.64,43.44,47.81,51.66,
BAZQEZ_2_protonated,M062X,def2-TZVP,724.0,1.0,1.0,280.22,2758.8,8.0,47107.0,-943.78848985,-943.4856329,0.06394502,-943.54957792,31.26,47.13,74.91,91.34,
