Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
ACUPIX,M062X,def2-TZVP,1240.0,1.0,1.0,475.52,4807.8,8.0,194935.0,-1640.32531606,-1639.74463438,0.08977629,-1639.83441066,16.43,27.17,33.19,33.77,
AMADPH10_4,M062X,def2-TZVP,883.0,0.0,1.0,376.28,4406.5,8.0,178703.0,-1626.12662654,-1625.77596861,0.07288306,-1625.84885167,32.34,46.97,53.65,72.87,
AMUDIX_4,M062X,def2-TZVP,1627.0,-1.0,1.0,601.73,4523.1,8.0,675567.0,-2002.33074085,-2001.48771617,0.10831959,-2001.59603576,16.41,21.61,32.24,44.11,
ARFMAD_1_protonated,M062X,def2-TZVP,895.0,0.0,1.0,352.36,4723.0,8.0,76308.0,-1250.21877411,-1249.82479157,0.06798016,-1249.89277173,-81.72,41.29,52.92,58.4,
ARFMAD_4_protonated,M062X,def2-TZVP,895.0,0.0,1.0,352.36,4723.0,8.0,64635.0,-1250.21877412,-1249.82479564,0.06798228,-1249.89277792,-81.5,41.3,52.9,58.38,
ASUWEQ_protonated,M062X,def2-TZVP,1542.0,0.0,1.0,556.72,4521.9,8.0,641850.0,-1731.96371719,-1731.22855656,0.09314533,-1731.32170189,16.6,28.84,42.5,50.46,
ATIREC_1_protonated,M062X,def2-TZVP,970.0,0.0,1.0,383.38,4814.7,8.0,83656.0,-1342.22766078,-1341.85012762,0.0719675,-1341.92209512,8.77,33.82,46.98,57.24,
AYEYAG_1,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4441.5,8.0,110941.0,-1543.07945345,-1542.78195018,0.07759647,-1542.85954665,17.61,29.26,31.59,38.64,
AYEYAG_2,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4440.2,8.0,120937.0,-1543.07819235,-1542.78053077,0.07787211,-1542.85840288,23.94,26.51,31.78,36.9,
BAZQEZ_2_protonated,M062X,def2-TZVP,710.0,0.0,1.0,273.28,2603.8,8.0,57034.0,-936.31430971,-936.01581213,0.06223184,-936.07804397,23.21,37.8,51.26,69.84,
BDGPGL_3_protonated,M062X,def2-TZVP,857.0,0.0,1.0,344.31,4433.9,8.0,71580.0,-1299.25274751,-1298.82957788,0.07577437,-1298.90535226,32.51,37.46,43.88,63.97,
BEDGIA_1,M062X,def2-TZVP,1000.0,0.0,1.0,436.48,4807.6,8.0,102008.0,-2162.68867437,-2162.29241446,0.09009291,-2162.38250737,20.18,27.08,32.0,47.33,
BEDHOK_1,M062X,def2-TZVP,1400.0,1.0,1.0,533.6,4582.3,8.0,357955.0,-1833.69784513,-1833.0201525,0.09738257,-1833.11753507,26.23,29.93,33.58,36.73,
BELMEK12_1,M062X,def2-TZVP,637.0,-1.0,1.0,274.95,1844.8,8.0,32288.0,-1087.25403737,-1087.05079615,0.06045398,-1087.11125013,39.17,44.83,56.09,58.83,
BESCUX_2,M062X,def2-TZVP,1432.0,0.0,1.0,536.6,4568.5,8.0,249583.0,-1766.16952436,-1765.54114665,0.09377934,-1765.63492599,22.91,24.26,30.12,41.26,
BESCUX_3,M062X,def2-TZVP,1432.0,0.0,1.0,536.6,4547.6,8.0,262628.0,-1766.1695241,-1765.54114677,0.09378697,-1765.63493375,22.81,24.19,30.08,41.25,
BGUAOS10_3_protonated,M062X,def2-TZVP,1384.0,0.0,1.0,564.49,4561.8,8.0,274348.0,-2076.56176698,-2076.02502333,0.09659161,-2076.12161494,16.97,27.8,31.5,47.32,
BGUAOS10_4_protonated,M062X,def2-TZVP,1384.0,0.0,1.0,564.49,4571.6,8.0,244811.0,-2076.56058099,-2076.0249774,0.09481435,-2076.11979175,-114.29,18.96,33.64,34.41,
BIBXIT_1_protonated,M062X,def2-TZVP,636.0,0.0,1.0,259.22,1988.5,8.0,32693.0,-966.48501111,-966.22095268,0.05926764,-966.28022031,41.76,46.43,85.16,109.3,
BIGHOP,M062X,def2-TZVP,1041.0,0.0,1.0,378.49,4816.1,8.0,150170.0,-1234.78967307,-1234.22523337,0.08561415,-1234.31084751,16.15,32.4,35.55,48.65,
BIVZAH_5,M062X,def2-TZVP,802.0,0.0,1.0,324.28,3679.7,8.0,74729.0,-1221.59812672,-1221.22700978,0.06829683,-1221.29530661,35.22,59.72,68.47,85.63,
BIZHIB02_3_protonated,M062X,def2-TZVP,857.0,0.0,1.0,344.31,4482.9,8.0,103273.0,-1299.25389053,-1298.83081083,0.07578906,-1298.9065999,21.45,55.68,59.36,70.07,
BOCJOT_3,M062X,def2-TZVP,1517.0,0.0,1.0,575.64,4491.8,8.0,430884.0,-1974.90262327,-1974.16608536,0.10635604,-1974.2724414,18.22,26.75,29.48,31.67,
BOCJOT_5,M062X,def2-TZVP,1517.0,0.0,1.0,575.64,4491.8,8.0,556931.0,-1974.90262315,-1974.16611616,0.10645534,-1974.2725715,18.24,26.88,29.41,31.85,
BORMAL_1,M062X,def2-TZVP,637.0,-1.0,1.0,274.95,1846.0,8.0,36188.0,-1087.25781146,-1087.05470838,0.06033012,-1087.1150385,30.24,40.43,52.64,71.83,
BOTFEW_2,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4425.6,8.0,81531.0,-1543.07118332,-1542.7734822,0.07740811,-1542.85089031,9.47,36.4,44.46,46.81,
BOTFEW_3,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4441.8,8.0,74551.0,-1543.07182307,-1542.77455722,0.07599132,-1542.85054855,34.74,42.56,43.85,56.05,
BOTFEW_5_protonated,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4441.5,8.0,80976.0,-1543.07669081,-1542.77915339,0.07812523,-1542.85727861,22.71,23.36,28.48,38.59,
BOZPOW_1_protonated,M062X,def2-TZVP,1406.0,0.0,1.0,612.4,4544.6,8.0,414902.0,-2965.60322124,-2964.97130868,0.09970858,-2965.07101726,32.54,38.07,41.91,48.87,
BOZPOW_4_protonated,,,,,,,,,,,,,,,,,,.OUT File not found
CABZOV_protonated,M062X,def2-TZVP,709.0,0.0,1.0,264.31,2790.4,8.0,48729.0,-884.53695217,-884.18468736,0.06123765,-884.24592501,27.08,53.24,62.95,77.19,
CABZUB_1_protonated,M062X,def2-TZVP,734.0,0.0,1.0,282.3,2975.3,8.0,421274.0,-983.79066382,-983.44592164,0.06321354,-983.50913518,26.06,48.63,57.63,76.24,
CALDAU_4_protonated,M062X,def2-TZVP,1535.0,0.0,1.0,584.64,4525.6,8.0,387291.0,-2034.33849352,-2033.56214931,0.09989952,-2033.66204883,18.09,22.38,25.06,34.04,
CASRUJ_2,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4442.4,8.0,80873.0,-1543.08075425,-1542.78331255,0.07733044,-1542.86064299,23.61,32.27,38.12,47.76,
CASRUJ_3_protonated,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4464.9,8.0,140185.0,-1543.07945345,-1542.78195699,0.0776452,-1542.85960219,16.55,29.07,31.14,38.5,
CASRUJ_4,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,4442.9,8.0,187236.0,-1543.0806307,-1542.78275262,0.07699309,-1542.85974571,23.43,33.01,37.02,55.58,
CATGOV_3_protonated,M062X,def2-TZVP,667.0,0.0,1.0,267.25,2212.7,8.0,36333.0,-963.61488596,-963.34225936,0.05806631,-963.40032568,47.07,58.46,85.45,123.41,
CATGUB_1_protonated,M062X,def2-TZVP,667.0,0.0,1.0,267.25,2212.7,8.0,37452.0,-963.61488591,-963.34225757,0.05806622,-963.40032379,47.08,58.54,85.44,123.42,
