Identifier,Method,Basis Set,Molecular Weight,Number of Processors,Total CPU Time (s),Electronic Energy (HF)
AFUYOR_0,XTB,,172.07,1.0,6.0,-39.67446997623
ALUMIE_0,XTB,,214.17,1.0,2.0,-44.93253013673
AVOLOM_0,XTB,,235.29,1.0,3.0,-52.40276043982
BEDBAR_0,XTB,,133.09,1.0,6.0,-31.95752507493
BEWHIV_0,XTB,,376.43,1.0,16.0,-79.60234271367
BINKUE_0,XTB,,307.28,1.0,7.0,-72.51238256954
BOWMEI_0,XTB,,222.16,1.0,4.0,-49.75040134334
BUYRUK_0,XTB,,417.51,1.0,4.0,-89.15262055969
CABRAZ_0,XTB,,211.3,1.0,2.0,-47.35929598603
CAQXIF_0,XTB,,383.43,1.0,7.0,-87.16805741958
CECZEQ_0,XTB,,135.11,1.0,3.0,-32.93868141054
CEMCAZ_0,XTB,,367.35,1.0,3.0,-71.25896794103
CEMDII_0,XTB,,423.45,1.0,6.0,-83.97321136275
CENJIP_0,XTB,,303.42,1.0,9.0,-70.98901708622
CEZTIM_0,XTB,,349.44,1.0,2.0,-59.18464464174
COJDIO_0,XTB,,333.37,1.0,7.0,-77.53029870739
CUSSEQ_0,XTB,,303.41,1.0,4.0,-66.86256555043
CUSSIU_0,XTB,,317.45,1.0,6.0,-69.65936562366
DAVJEP_0,XTB,,323.34,1.0,2.0,-64.63406036684
DAVJIT_0,XTB,,379.44,1.0,5.0,-77.33338862976
DAVJOZ_0,XTB,,435.55,1.0,7.0,-90.02167196294
DEMMEO_0,XTB,,265.25,1.0,10.0,-55.29788812509
DEMNUF_0,XTB,,279.28,1.0,5.0,-58.45416123115
DEMPIV_0,XTB,,305.33,1.0,4.0,-58.86262431427
DOKLIA_0,XTB,,373.55,1.0,8.0,-82.3158871743
EFIVOF_0,XTB,,421.53,1.0,9.0,-91.5669279763
EJEZUP_0,XTB,,291.06,1.0,8.0,-61.96663754064
EKOZEJ_0,XTB,,354.48,1.0,5.0,-75.57092370701
EPADUX_0,XTB,,187.07,1.0,6.0,-42.17493532004
