Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
AFUYOR_0,HF,6-31G*,186.0,0.0,1.0,172.07,29.9,4.0,2141.0,-659.897361898409,
ALUMIE_0,HF,6-31G*,250.0,1.0,1.0,214.17,39.0,4.0,1363.0,-716.802266802677,
AVOLOM_0,HF,6-31G*,290.0,0.0,1.0,235.29,56.7,4.0,5018.0,-731.547180528936,
BEDBAR_0,HF,6-31G*,154.0,1.0,1.0,133.09,28.7,4.0,940.0,-477.282766981543,
BEWHIV_0,HF,6-31G*,450.0,0.0,1.0,376.43,101.8,4.0,8660.0,-1197.416752580105,
BINKUE_0,HF,6-31G*,350.0,1.0,1.0,307.28,67.7,4.0,2752.0,-1101.336759152764,
BOWMEI_0,HF,6-31G*,254.0,0.0,1.0,222.16,40.2,4.0,2766.0,-786.102231218752,
BUYRUK_0,HF,6-31G*,506.0,0.0,1.0,417.51,116.4,4.0,20692.0,-1308.273837967523,
CABRAZ_0,HF,6-31G*,266.0,1.0,1.0,211.3,49.6,4.0,530.0,-626.104952038484,
CAQXIF_0,HF,6-31G*,450.0,1.0,1.0,383.43,112.4,4.0,3194.0,-1291.892838295841,
CECZEQ_0,HF,6-31G*,158.0,1.0,1.0,135.11,29.6,4.0,132.0,-478.449009770466,
CEMCAZ_0,HF,6-31G*,438.0,1.0,1.0,367.35,87.2,4.0,5452.0,-1158.340572397937,
CEMDII_0,HF,6-31G*,510.0,1.0,1.0,423.45,117.7,4.0,26905.0,-1317.15377979307,
CENJIP_0,HF,6-31G*,374.0,1.0,1.0,303.42,77.3,4.0,1010.0,-954.845614667616,
CEZTIM_0,HF,6-31G*,358.0,0.0,1.0,349.44,69.7,4.0,22791.0,-1991.891204056547,
COJDIO_0,HF,6-31G*,390.0,1.0,1.0,333.37,83.2,4.0,3154.0,-1136.619106551709,
CUSSEQ_0,HF,6-31G*,376.0,0.0,1.0,303.41,83.0,4.0,7929.0,-921.980825602052,
CUSSIU_0,HF,6-31G*,394.0,0.0,1.0,317.45,88.2,4.0,10622.0,-954.781302937675,
DAVJEP_0,HF,6-31G*,390.0,1.0,1.0,323.34,73.2,4.0,5702.0,-1006.556322677253,
DAVJIT_0,HF,6-31G*,462.0,1.0,1.0,379.44,88.3,4.0,4964.0,-1165.361261173593,
DAVJOZ_0,HF,6-31G*,534.0,1.0,1.0,435.55,114.2,4.0,16057.0,-1324.154699665757,
DEMMEO_0,HF,6-31G*,316.0,1.0,1.0,265.25,57.5,4.0,4313.0,-858.105029749678,
DEMNUF_0,HF,6-31G*,334.0,1.0,1.0,279.28,63.2,4.0,5071.0,-897.801867477144,
DEMPIV_0,HF,6-31G*,344.0,0.0,1.0,305.33,66.0,4.0,11478.0,-1272.401779097517,
DOKLIA_0,HF,6-31G*,466.0,0.0,1.0,373.55,112.9,4.0,20011.0,-1113.559253006289,
EFIVOF_0,HF,6-31G*,514.0,0.0,1.0,421.53,122.4,4.0,35832.0,-1317.527161566145,
EJEZUP_0,HF,6-31G*,278.0,0.0,1.0,291.06,53.2,4.0,9803.0,-1601.209507548769,
EKOZEJ_0,HF,6-31G*,428.0,0.0,1.0,354.48,105.1,4.0,7946.0,-1285.587951070784,
EPADUX_0,HF,6-31G*,194.0,0.0,1.0,187.07,29.9,4.0,1169.0,-736.949183710008,
FEHVOH_0,HF,6-31G*,598.0,1.0,1.0,495.62,117.7,4.0,9417.0,-1543.561285355821,
FOBHEJ_0,HF,6-31G*,264.0,0.0,1.0,239.26,47.1,4.0,4393.0,-1087.745746151032,
FORZOB_0,HF,6-31G*,414.0,1.0,1.0,359.36,98.8,4.0,1542.0,-1257.783332027544,
FUQMEL_0,HF,6-31G*,326.0,-1.0,1.0,313.24,54.4,4.0,4343.0,-1447.239742655947,
GEVBIS_0,HF,6-31G*,246.0,1.0,1.0,198.26,45.4,4.0,429.0,-608.460233845411,
HADVEN_0,HF,6-31G*,338.0,1.0,1.0,271.39,70.4,4.0,8793.0,-830.168955468208,
HAPWUS_0,HF,6-31G*,308.0,0.0,1.0,263.38,60.3,4.0,2834.0,-1085.718221509824,
HOBNAP_0,HF,6-31G*,366.0,0.0,1.0,296.38,75.8,4.0,10594.0,-896.464563697859,
HUTWIE01_0,HF,6-31G*,382.0,1.0,1.0,324.32,78.7,4.0,6095.0,-1069.189499114615,
IGOFAL_0,HF,6-31G*,336.0,0.0,1.0,269.35,69.8,4.0,7344.0,-803.015964749547,
IJODER_0,HF,6-31G*,182.0,0.0,1.0,166.07,29.7,4.0,1243.0,-620.407909672599,
IQIFOF_1,HF,6-31G*,86.0,1.0,1.0,79.0,25.3,4.0,205.0,-319.66505964091,
IYIREO_0,HF,6-31G*,438.0,1.0,1.0,347.53,105.4,4.0,2867.0,-1020.73080902448,
JAGMEJ_0,HF,6-31G*,432.0,0.0,1.0,400.37,99.3,4.0,12057.0,-1730.118097175711,
JAHYID_0,HF,6-31G*,182.0,1.0,1.0,175.17,30.6,4.0,1343.0,-907.145017093715,
JAHZAW_0,HF,6-31G*,186.0,1.0,1.0,159.13,32.1,4.0,694.0,-555.524051778387,
KEFJAH_0,HF,6-31G*,378.0,1.0,1.0,311.36,86.2,4.0,7847.0,-979.427144138932,
KIJZUZ01_0,HF,6-31G*,286.0,-1.0,1.0,249.16,41.2,4.0,1355.0,-860.299703962248,
LAZJAX_0,HF,6-31G*,256.0,1.0,1.0,216.22,46.8,4.0,435.0,-729.473263153425,
LEXYIZ_0,HF,6-31G*,502.0,0.0,1.0,404.56,126.9,4.0,12403.0,-1211.588530327638,
LIPTHF_0,HF,6-31G*,442.0,0.0,1.0,390.58,106.4,4.0,27412.0,-1782.732111616853,
LUDGOH_0,,,,,,,,,,,.OUT File not found
LURHIP_0,HF,6-31G*,154.0,1.0,1.0,133.09,29.3,4.0,124.0,-477.290896095892,
LURQUM_0,HF,6-31G*,398.0,1.0,1.0,351.29,71.3,4.0,7982.0,-1253.183377837609,
MALJIV_0,HF,6-31G*,294.0,1.0,1.0,243.28,55.2,4.0,576.0,-793.722056047426,
MEHBEG_0,HF,6-31G*,286.0,1.0,1.0,239.25,50.6,4.0,2814.0,-791.391831865686,
MUGPAG_0,HF,6-31G*,124.0,0.0,1.0,123.0,26.6,4.0,625.0,-526.681020520564,
NELCOZ_0,HF,6-31G*,546.0,0.0,1.0,451.57,143.8,4.0,28870.0,-1427.241372138946,
NEPHIA_0,HF,6-31G*,190.0,1.0,1.0,153.18,32.3,4.0,219.0,-466.132355467376,
OHUCOJ_0,HF,6-31G*,302.0,1.0,1.0,239.36,60.4,4.0,908.0,-705.503959074317,
OHUVUL_0,HF,6-31G*,158.0,1.0,1.0,127.15,29.2,4.0,131.0,-387.904298960562,
OKEMIB_0,HF,6-31G*,94.0,1.0,1.0,75.08,26.1,4.0,54.0,-231.458241323749,
OPURAT_0,HF,6-31G*,452.0,0.0,1.0,390.53,112.8,4.0,11379.0,-1689.768936183614,
PAJVAY_0,HF,6-31G*,382.0,1.0,1.0,359.19,62.2,4.0,11564.0,-1402.065059321385,
PIXSEU_0,HF,6-31G*,430.0,1.0,1.0,343.5,98.9,4.0,7364.0,-1018.328930277915,
PUKNOA_0,HF,6-31G*,104.0,1.0,1.0,93.03,26.0,4.0,1261.0,-359.360992870507,
QABKIQ_0,HF,6-31G*,206.0,1.0,1.0,171.16,30.5,4.0,145.0,-539.631892913044,
QECKOY_0,HF,6-31G*,302.0,1.0,1.0,247.32,57.6,4.0,3277.0,-796.047955469216,
QERCIC_0,HF,6-31G*,298.0,1.0,1.0,237.34,60.0,4.0,741.0,-704.33156467186,
QOWSAX_0,HF,6-31G*,,,,501.47,,1.0,,,Multiplicity not compatible with charge
QUJMIU_0,HF,6-31G*,430.0,1.0,1.0,351.46,99.5,4.0,10304.0,-1108.942196926457,
REJCAN_1,HF,6-31G*,448.0,0.0,1.0,374.47,109.2,4.0,6416.0,-1360.26578605564,
