,Identifier,Single Point Energy / HF,CPU time / sec,Successful Run?,Homoleptic,Dataset Section,Alpha (degs),Beta (degs),Ligand,pKa
0,AFUYOR_0,,7386.0,Optimisation Was Not Started,No,"(1,1,1,1)",,,,
1,ALUMIE_0,-716.8028089,1280.4,Optimisation Completed,No,"(2,1,1)",,,,
2,AVOLOM_0,-731.5486116,4845.1,Optimisation Completed,No,(4),,,,
3,BEDBAR_0,-477.2828125,2405.4,Optimisation Completed,No,"(1,1,1,1)",,,,
4,BEWHIV_0,-1197.4181198,64934.0,Optimisation Completed,No,"(3,1)",,,,
5,BINKUE_0,-1101.3367593,13041.7,Optimisation Completed,No,"(2,1,1)",,,,
6,BOWMEI_0,-786.1032432,4493.5,Optimisation Completed,No,"(2,1,1)",,,,
7,BUYRUK_0,-1308.2750978,22163.6,Optimisation Completed,No,"(2,2)",,,,
8,CABRAZ_0,-626.1047904,2424.0,Optimisation Completed,Yes,"(2,2)",,,,
9,CAQXIF_0,-1291.8928785,16906.1,Optimisation Completed,No,(4),,,,
10,CECZEQ_0,-478.449013,1769.8,Optimisation Completed,Yes,"(1,1,1,1)",111.73,110.31,CH3OH,-2.2
11,CEMCAZ_0,-1158.3433849,9250.5,Optimisation Completed,Yes,"(2,2)",,,,
12,CEMDII_0,,,Optimisation Was Not Started,Yes,"(2,2)",,,,
13,CENJIP_0,-954.8460719,16351.9,Optimisation Completed,Yes,"(1,1,1,1)",120.97,116.09,t-Butanol,-2.75
14,CEZTIM_0,-1991.9281002,3810.8,Optimisation Completed,No,(4),,,,
15,COJDIO_0,-1136.6190696,13818.4,Optimisation Completed,No,"(2,1,1)",,,,
16,CUSSEQ_0,-921.9814892,13838.6,Optimisation Completed,No,"(3,1)",,,,
17,CUSSIU_0,-954.782042,12573.1,Optimisation Completed,No,"(3,1)",,,,
18,DAVJEP_0,-1006.557118,5405.9,Optimisation Completed,Yes,"(1,1,1,1)",110.12,110.12,Pyridine,5.2
