Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
AFUYOR_0,HF,6-31G*,186.0,0.0,1.0,172.07,29.6,8.0,8469.0,-647.585810962747,
ALUMIE_0,HF,6-31G*,250.0,1.0,1.0,214.17,37.7,8.0,1679.0,-706.954030249029,
AVOLOM_0,HF,6-31G*,290.0,0.0,1.0,235.29,55.2,8.0,5528.0,-719.303584979214,
BEDBAR_0,HF,6-31G*,154.0,1.0,1.0,133.09,28.1,8.0,3497.0,-466.556617769725,
BEWHIV_0,HF,6-31G*,450.0,0.0,1.0,376.43,100.4,8.0,39184.0,-1183.702860659074,
BINKUE_0,HF,6-31G*,350.0,1.0,1.0,307.28,66.7,8.0,16524.0,-1077.285214804779,
BOWMEI_0,HF,6-31G*,254.0,0.0,1.0,222.16,38.6,8.0,7182.0,-769.498351341613,
BUYRUK_0,HF,6-31G*,506.0,0.0,1.0,417.51,114.9,8.0,22948.0,-1288.796088634012,
CABRAZ_0,HF,6-31G*,266.0,1.0,1.0,211.3,47.0,8.0,2385.0,-620.421855022486,
CAQXIF_0,HF,6-31G*,450.0,1.0,1.0,383.43,111.7,8.0,17237.0,-1268.449102764195,
CECZEQ_0,HF,6-31G*,158.0,1.0,1.0,135.11,28.4,8.0,2432.0,-467.684542692346,
CEMCAZ_0,HF,6-31G*,438.0,1.0,1.0,367.35,85.0,8.0,15441.0,-1143.880091671093,
CEMDII_0,HF,6-31G*,510.0,1.0,1.0,423.45,116.0,8.0,34311.0,-1300.138604110457,
CENJIP_0,HF,6-31G*,374.0,1.0,1.0,303.42,77.0,8.0,13043.0,-936.421298450416,
CEZTIM_0,HF,6-31G*,358.0,0.0,1.0,349.44,67.3,8.0,5664.0,-1976.633109640678,
COJDIO_0,HF,6-31G*,390.0,1.0,1.0,333.37,82.5,8.0,19248.0,-1115.737792880703,
CUSSEQ_0,HF,6-31G*,376.0,0.0,1.0,303.41,80.9,8.0,10741.0,-909.603200175687,
CUSSIU_0,HF,6-31G*,394.0,0.0,1.0,317.45,86.8,8.0,12091.0,-944.815371542804,
DAVJEP_0,HF,6-31G*,390.0,1.0,1.0,323.34,71.8,8.0,6343.0,-994.60173819642,
DAVJIT_0,HF,6-31G*,462.0,1.0,1.0,379.44,86.8,8.0,10019.0,-1150.844758894101,
DAVJOZ_0,HF,6-31G*,534.0,1.0,1.0,435.55,112.8,8.0,15995.0,-1307.06620587872,
DEMMEO_0,HF,6-31G*,316.0,1.0,1.0,265.25,56.1,8.0,12339.0,-844.867447441783,
DEMNUF_0,HF,6-31G*,334.0,1.0,1.0,279.28,61.8,8.0,16770.0,-883.911688167377,
DEMPIV_0,HF,6-31G*,344.0,0.0,1.0,305.33,64.5,8.0,31947.0,-1258.87159208891,
DOKLIA_0,HF,6-31G*,466.0,0.0,1.0,373.55,111.5,8.0,23728.0,-1101.03320404925,
EFIVOF_0,HF,6-31G*,514.0,0.0,1.0,421.53,119.9,8.0,46331.0,-1294.986117055229,
EJEZUP_0,HF,6-31G*,278.0,0.0,1.0,291.06,51.8,8.0,15458.0,-1578.434104838215,
EKOZEJ_0,HF,6-31G*,428.0,0.0,1.0,354.48,103.5,8.0,14755.0,-1273.747544997522,
EPADUX_0,HF,6-31G*,194.0,0.0,1.0,187.07,29.1,8.0,4964.0,-729.41841040563,
FEHVOH_0,HF,6-31G*,598.0,1.0,1.0,495.62,115.8,8.0,17905.0,-1527.199043460444,
FOBHEJ_0,HF,6-31G*,264.0,0.0,1.0,239.26,45.9,8.0,18993.0,-1073.50404734717,
FORZOB_0,HF,6-31G*,414.0,1.0,1.0,359.36,98.3,8.0,15306.0,-1231.148630475914,
FUQMEL_0,HF,6-31G*,326.0,-1.0,1.0,313.24,52.9,8.0,11536.0,-1425.059543233448,
GEVBIS_0,HF,6-31G*,246.0,1.0,1.0,198.26,42.2,8.0,8108.0,-601.192192734062,
HADVEN_0,HF,6-31G*,338.0,1.0,1.0,271.39,69.3,8.0,12795.0,-817.438219429006,
HAPWUS_0,HF,6-31G*,308.0,0.0,1.0,263.38,58.5,8.0,7607.0,-1076.043497830105,
HOBNAP_0,HF,6-31G*,366.0,0.0,1.0,296.38,73.4,8.0,10369.0,-886.347583538583,
HUTWIE01_0,HF,6-31G*,382.0,1.0,1.0,324.32,77.4,8.0,15517.0,-1052.796329252329,
IGOFAL_0,HF,6-31G*,336.0,0.0,1.0,269.35,68.5,8.0,10143.0,-793.344993370093,
IJODER_0,HF,6-31G*,182.0,0.0,1.0,166.07,28.9,8.0,4508.0,-609.435550683382,
IQIFOF_1,HF,6-31G*,86.0,1.0,1.0,79.0,24.9,8.0,1653.0,-311.511454617785,
IYIREO_0,HF,6-31G*,438.0,1.0,1.0,347.53,103.2,8.0,14500.0,-1008.652115210391,
JAGMEJ_0,HF,6-31G*,432.0,0.0,1.0,400.37,97.7,8.0,23684.0,-1699.605680802658,
JAHYID_0,HF,6-31G*,182.0,1.0,1.0,175.17,29.6,8.0,4249.0,-896.979058581189,
JAHZAW_0,HF,6-31G*,186.0,1.0,1.0,159.13,30.2,8.0,3947.0,-543.52268071745,
KEFJAH_0,HF,6-31G*,378.0,1.0,1.0,311.36,84.6,8.0,10811.0,-964.216539880035,
KIJZUZ01_0,HF,6-31G*,286.0,-1.0,1.0,249.16,40.0,8.0,4095.0,-843.223370187362,
LAZJAX_0,HF,6-31G*,256.0,1.0,1.0,216.22,43.7,8.0,5025.0,-715.691671435364,
LEXYIZ_0,HF,6-31G*,502.0,0.0,1.0,404.56,124.9,8.0,65953.0,-1196.362932539921,
LIPTHF_0,HF,6-31G*,442.0,0.0,1.0,390.58,104.2,8.0,24650.0,-1764.480475036516,
LUDGOH_0,HF,6-31G*,474.0,0.0,1.0,434.53,102.4,8.0,31891.0,-1971.49177756897,
LURHIP_0,HF,6-31G*,154.0,1.0,1.0,133.09,28.2,8.0,1529.0,-466.539115468059,
LURQUM_0,HF,6-31G*,398.0,1.0,1.0,351.29,70.8,8.0,25188.0,-1226.602840895037,
MALJIV_0,HF,6-31G*,294.0,1.0,1.0,243.28,54.5,8.0,4489.0,-777.820488321428,
MEHBEG_0,HF,6-31G*,286.0,1.0,1.0,239.25,48.1,8.0,24151.0,-775.527302595977,
MUGPAG_0,HF,6-31G*,124.0,0.0,1.0,123.0,26.1,8.0,3201.0,-514.592668638622,
NELCOZ_0,HF,6-31G*,546.0,0.0,1.0,451.57,142.1,8.0,47846.0,-1405.063886591334,
NEPHIA_0,HF,6-31G*,190.0,1.0,1.0,153.18,31.1,8.0,1551.0,-463.062625308653,
OHUCOJ_0,HF,6-31G*,302.0,1.0,1.0,239.36,59.0,8.0,7707.0,-698.522509355089,
OHUVUL_0,HF,6-31G*,158.0,1.0,1.0,127.15,28.6,8.0,3019.0,-386.12103874731,
OKEMIB_0,HF,6-31G*,94.0,1.0,1.0,75.08,25.4,8.0,1069.0,-232.248220804949,
OPURAT_0,HF,6-31G*,452.0,0.0,1.0,390.53,110.8,8.0,21449.0,-1673.770298730233,
PAJVAY_0,HF,6-31G*,382.0,1.0,1.0,359.19,67.4,8.0,30026.0,-1369.844534671968,
PIXSEU_0,HF,6-31G*,430.0,1.0,1.0,343.5,97.7,8.0,14555.0,-1006.262531466336,
PUKNOA_0,HF,6-31G*,104.0,1.0,1.0,93.03,25.6,8.0,3104.0,-350.554130181036,
QABKIQ_0,HF,6-31G*,206.0,1.0,1.0,171.16,29.5,8.0,789.0,-535.27601721523,
QECKOY_0,HF,6-31G*,302.0,1.0,1.0,247.32,54.2,8.0,11242.0,-780.176067137704,
QERCIC_0,HF,6-31G*,298.0,1.0,1.0,237.34,58.4,8.0,7229.0,-697.362700144613,
QOWSAX_0,HF,6-31G*,586.0,0.0,1.0,501.47,129.3,8.0,44040.0,-1611.858699701392,
QUJMIU_0,HF,6-31G*,430.0,1.0,1.0,351.46,98.4,8.0,47457.0,-1087.949498338112,
REJCAN_1,HF,6-31G*,448.0,0.0,1.0,374.47,107.6,8.0,35729.0,-1347.18335866426,
ROXVIM_0,HF,6-31G*,262.0,1.0,1.0,223.18,41.7,8.0,8901.0,-727.69664602637,
SETXEX_0,HF,6-31G*,310.0,0.0,1.0,292.25,55.5,8.0,11876.0,-1308.774827705308,
SIRGUW_0,HF,6-31G*,222.0,1.0,1.0,187.18,36.2,8.0,15374.0,-621.602557434776,
SIXHUF_0,HF,6-31G*,430.0,1.0,1.0,351.46,96.3,8.0,29006.0,-1087.957138060626,
SIYKOB_0,HF,6-31G*,498.0,0.0,1.0,406.52,116.9,8.0,54868.0,-1236.075222440019,
SUDXOE_0,HF,6-31G*,388.0,0.0,1.0,338.3,82.1,8.0,29212.0,-1302.847196000295,
SUMSOI10_0,HF,6-31G*,386.0,0.0,1.0,320.35,79.8,8.0,57640.0,-1000.575879041943,
SUMSUO_0,HF,6-31G*,414.0,-1.0,1.0,345.34,81.2,8.0,11375.0,-1069.343249763839,
TEBMUI_0,HF,6-31G*,410.0,0.0,1.0,367.51,92.0,8.0,20398.0,-1700.974598455605,
TOPFAH_0,HF,6-31G*,222.0,1.0,1.0,187.18,36.5,8.0,3345.0,-621.566334445267,
USISOF_0,HF,6-31G*,594.0,1.0,1.0,475.7,176.7,8.0,36332.0,-1392.279916872041,
UTOTAA_0,HF,6-31G*,414.0,1.0,1.0,359.36,88.1,8.0,17877.0,-1231.10372475798,
UWANIS_0,HF,6-31G*,562.0,0.0,1.0,448.71,135.0,8.0,20275.0,-1314.586979282443,
VATJIN_0,HF,6-31G*,542.0,1.0,1.0,433.67,147.4,8.0,53985.0,-1274.923779500869,
VEGWEJ_0,HF,6-31G*,356.0,0.0,1.0,286.38,73.5,8.0,15452.0,-853.384783497995,
VUDJEM_0,HF,6-31G*,214.0,1.0,1.0,183.15,32.9,8.0,2355.0,-619.243234205069,
VUFMIT_0,HF,6-31G*,410.0,0.0,1.0,346.5,85.2,8.0,14532.0,-1329.039935863201,
WAKJAT_0,HF,6-31G*,412.0,0.0,1.0,346.41,92.7,8.0,32740.0,-1272.868263567284,
WOLTUM_0,HF,6-31G*,330.0,1.0,1.0,267.36,65.3,8.0,9498.0,-815.11204643236,
XARLUY01_0,HF,6-31G*,350.0,1.0,1.0,299.32,59.7,8.0,16305.0,-995.727517704962,
XIDGIA_1,HF,6-31G*,454.0,-1.0,1.0,361.5,98.5,8.0,41473.0,-1047.773591361357,
XUMWOS_0,HF,6-31G*,150.0,1.0,1.0,131.08,27.7,8.0,2246.0,-465.37440006135,
YELDAU_0,HF,6-31G*,358.0,1.0,1.0,295.36,71.6,8.0,29995.0,-931.697889879601,
YIFJEC_0,HF,6-31G*,416.0,0.0,1.0,346.35,83.0,8.0,13645.0,-1069.924110536377,
YUVMUZ_0,,,,,,,,,,,.OUT File not found
ZALPOU_0,HF,6-31G*,518.0,1.0,1.0,427.48,96.8,8.0,14864.0,-1302.273582468445,
ZEKQUD_0,HF,6-31G*,336.0,0.0,1.0,269.35,68.6,8.0,11393.0,-793.348735564223,
ZUCFUB_0,,,,,,,,,,,.OUT File not found
ZUZROB_0,HF,6-31G*,302.0,-1.0,1.0,261.22,55.0,8.0,36717.0,-881.081993833179,
