Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
AFUYOR_0,HF,,66.0,0.0,1.0,172.07,24.7,4.0,1080.0,-648.338255673858,
ALUMIE_0,HF,,90.0,1.0,1.0,214.17,29.4,4.0,460.0,-708.053604064746,
AVOLOM_0,HF,,108.0,0.0,1.0,235.29,42.0,4.0,589.0,-726.545310837071,
BEDBAR_0,HF,,56.0,1.0,1.0,133.09,24.3,4.0,1246.0,-471.131519822581,
BEWHIV_0,HF,,166.0,0.0,1.0,376.43,59.3,4.0,11753.0,-1184.282368611737,
BINKUE_0,HF,,130.0,1.0,1.0,307.28,49.3,4.0,512.0,-1089.17823694004,
BOWMEI_0,HF,,92.0,0.0,1.0,222.16,32.1,4.0,566.0,-778.673068274665,
BUYRUK_0,HF,,188.0,0.0,1.0,417.51,70.1,4.0,3496.0,-1299.727896906507,
CABRAZ_0,HF,,100.0,1.0,1.0,211.3,39.2,4.0,117.0,-617.969360210383,
CAQXIF_0,HF,,168.0,1.0,1.0,383.43,65.4,4.0,672.0,-1278.811830630952,
CECZEQ_0,HF,,58.0,1.0,1.0,135.11,24.6,4.0,59.0,-472.272181393027,
CEMCAZ_0,HF,,158.0,1.0,1.0,367.35,48.6,4.0,1081.0,-1151.303171420444,
CEMDII_0,HF,,186.0,1.0,1.0,423.45,60.6,4.0,1711.0,-1310.163727114145,
CENJIP_0,HF,,142.0,1.0,1.0,303.42,57.4,4.0,2033.0,-948.755845077264,
CEZTIM_0,HF,,151.0,0.0,1.0,349.44,41.8,4.0,1378.0,-1986.516388429332,
COJDIO_0,HF,,146.0,1.0,1.0,333.37,57.5,4.0,528.0,-1123.503881873719,
CUSSEQ_0,HF,,141.0,0.0,1.0,303.41,56.1,4.0,1783.0,-914.530719568679,
CUSSIU_0,HF,,148.0,0.0,1.0,317.45,57.1,4.0,3400.0,-944.769543653403,
DAVJEP_0,HF,,142.0,1.0,1.0,323.34,46.0,4.0,1487.0,-999.253140895823,
DAVJIT_0,HF,,170.0,1.0,1.0,379.44,57.1,4.0,2546.0,-1158.097492349154,
DAVJOZ_0,HF,,198.0,1.0,1.0,435.55,69.6,4.0,3588.0,-1316.935924940969,
DEMMEO_0,HF,,115.0,1.0,1.0,265.25,39.1,4.0,719.0,-851.506754220058,
DEMNUF_0,HF,,122.0,1.0,1.0,279.28,42.0,4.0,792.0,-891.214785941237,
DEMPIV_0,HF,,132.0,0.0,1.0,305.33,43.1,4.0,1193.0,-1265.451643538202,
DOKLIA_0,HF,,176.0,0.0,1.0,373.55,69.5,4.0,5655.0,-1103.57726375828,
EFIVOF_0,HF,,192.0,0.0,1.0,421.53,73.1,4.0,5283.0,-1311.418626210136,
EJEZUP_0,HF,,116.0,0.0,1.0,291.06,36.7,4.0,7286.0,-1583.983588162086,
EKOZEJ_0,HF,,170.0,0.0,1.0,354.48,67.6,4.0,1305.0,-1276.825532374217,
EPADUX_0,HF,,68.0,0.0,1.0,187.07,24.5,4.0,1941.0,-717.167212218821,
FEHVOH_0,HF,,222.0,1.0,1.0,495.62,76.3,4.0,4480.0,-1528.182035057933,
FOBHEJ_0,HF,,104.0,0.0,1.0,239.26,36.4,4.0,924.0,-1081.339451001521,
