,Identifier,Single Point Energy / HF,CPU time / sec,Successful Run?,Homoleptic,Dataset Section,Alpha (degs),Beta (degs),Ligand,pKa
0,AFUYOR_0,-648.3410742,2039.9,Optimisation Completed,No,"(1,1,1,1)",,,,
1,ALUMIE_0,-708.0553265,170.2,Optimisation Completed,No,"(2,1,1)",,,,
2,AVOLOM_0,-726.5452727,1736.1,Optimisation Completed,No,(4),,,,
3,BEDBAR_0,-471.1313824,543.3,Optimisation Completed,No,"(1,1,1,1)",,,,
4,BEWHIV_0,-1184.2839532,9185.3,Optimisation Completed,No,"(3,1)",,,,
5,BINKUE_0,-1089.1783563,6831.3,Optimisation Completed,No,"(2,1,1)",,,,
6,BOWMEI_0,-778.6740192,1122.1,Optimisation Completed,No,"(2,1,1)",,,,
7,BUYRUK_0,-1299.7298098,6301.9,Optimisation Completed,No,"(2,2)",,,,
8,CABRAZ_0,-617.9687963,652.4,Optimisation Completed,Yes,"(2,2)",,,,
9,CAQXIF_0,-1278.8109128,4650.2,Optimisation Completed,No,(4),,,,
10,CECZEQ_0,-472.2721608,483.3,Optimisation Completed,Yes,"(1,1,1,1)",111.73,110.31,CH3OH,-2.2
11,CEMCAZ_0,-1151.3039505,1881.4,Optimisation Completed,Yes,"(2,2)",,,,
12,CEMDII_0,-1310.1646067,7199.2,Optimisation Completed,Yes,"(2,2)",,,,
13,CENJIP_0,-948.7559938,2892.3,Optimisation Completed,Yes,"(1,1,1,1)",120.97,116.09,t-Butanol,-2.75
14,CEZTIM_0,-1986.5476249,1098.9,Optimisation Completed,No,(4),,,,
15,COJDIO_0,-1123.5033986,3700.4,Optimisation Completed,No,"(2,1,1)",,,,
16,CUSSEQ_0,-914.5308419,3401.3,Optimisation Completed,No,"(3,1)",,,,
17,CUSSIU_0,-944.7694896,4174.0,Optimisation Completed,No,"(3,1)",,,,
18,DAVJEP_0,-999.2557858,1140.4,Optimisation Completed,Yes,"(1,1,1,1)",110.12,110.12,Pyridine,5.2
19,DAVJIT_0,-1158.1003213,5095.7,Optimisation Completed,Yes,"(1,1,1,1)",114.45,109.44,,
20,DAVJOZ_0,-1316.9392132,5247.8,Optimisation Completed,Yes,"(1,1,1,1)",113.96,109.54,,
21,DEMMEO_0,-851.5072936,1989.8,Optimisation Completed,No,"(2,1,1)",,,,
22,DEMNUF_0,-891.215351,2151.2,Optimisation Completed,No,"(2,1,1)",,,,
23,DEMPIV_0,-1265.4523764,3822.7,Optimisation Completed,No,"(2,1,1)",,,,
24,DOKLIA_0,-1103.5775567,5497.3,Optimisation Completed,No,"(3,1)",,,,
25,EFIVOF_0,-1311.4197184,11849.8,Optimisation Completed,No,"(3,1)",,,,
26,EJEZUP_0,-1583.9721172,3684.0,Optimisation Completed,No,"(2,1,1)",,,,
27,EKOZEJ_0,-1276.8255922,8906.5,Optimisation Completed,No,"(2,2)",,,,
28,EPADUX_0,,517.2,Optimisation Was Not Started,No,"(1,1,1,1)",,,,
29,FEHVOH_0,-1528.1857501,3428.9,Optimisation Completed,Yes,"(1,1,1,1)",114.11,108.18,,
30,FOBHEJ_0,-1081.3397209,2397.0,Optimisation Completed,No,"(3,1)",,,,
31,FORZOB_0,-1245.7013056,2993.6,Optimisation Completed,Yes,"(2,2)",,,,
32,FUQMEL_0,-1432.7684847,6272.2,Optimisation Completed,No,"(2,1,1)",,,,
33,GEVBIS_0,-600.7962145,1859.1,Optimisation Completed,No,"(3,1)",,,,
34,HADVEN_0,,,Optimisation Was Not Started,No,"(2,1,1)",,,,
35,HAPWUS_0,-1079.7601349,2670.2,Optimisation Completed,No,"(3,1)",,,,
36,HOBNAP_0,-888.6917173,2556.1,Optimisation Completed,No,"(2,2)",,,,
37,HUTWIE01_0,-1059.0337876,3870.7,Optimisation Completed,No,"(3,1)",,,,
38,IGOFAL_0,-797.1457237,1541.1,Optimisation Completed,No,"(3,1)",,,,
39,IJODER_0,-610.3896574,878.4,Optimisation Completed,No,"(2,1,1)",,,,
40,IQIFOF_1,-313.4456115,351.8,Optimisation Completed,Yes,"(1,1,1,1)",125.03,103.28,H2O,7.0
41,IYIREO_0,-1012.6903869,4473.4,Optimisation Completed,Yes,"(2,2)",,,,
42,JAGMEJ_0,-1716.6672016,5159.3,Optimisation Completed,No,"(3,1)",,,,
43,JAHYID_0,-898.6073573,1368.6,Optimisation Completed,No,"(1,1,1,1)",,,,
44,JAHZAW_0,-549.4028547,988.8,Optimisation Completed,No,"(2,1,1)",,,,
45,KEFJAH_0,-972.6717535,2144.6,Optimisation Completed,No,(4),,,,
46,KIJZUZ01_0,-854.6260404,441.2,Optimisation Completed,Yes,"(2,2)",,,,
47,LAZJAX_0,-721.3393442,2402.9,Optimisation Completed,No,"(3,1)",,,,
48,LEXYIZ_0,-1203.9410783,10929.8,Optimisation Completed,No,"(2,2)",,,,
49,LIPTHF_0,-1777.4749333,12547.4,Optimisation Completed,No,"(2,1,1)",,,,
50,LUDGOH_0,-1970.3804933,8383.1,Optimisation Completed,No,"(2,2)",,,,
51,LURHIP_0,-471.1320476,402.5,Optimisation Completed,No,"(2,1,1)",,,,
52,LURQUM_0,-1241.2307782,5452.7,Optimisation Completed,Yes,"(1,1,1,1)",118.68,108.35,gamma-lactone,-7.5
53,MALJIV_0,-787.6579742,1193.1,Optimisation Completed,Yes,"(2,2)",,,,
54,MEHBEG_0,-785.3780127,2345.7,Optimisation Completed,Yes,"(1,1,1,1)",113.34,108.02,Acetone,-7.5
55,MUGPAG_0,-515.3259456,758.2,Optimisation Completed,No,"(1,1,1,1)",,,,
56,NELCOZ_0,,123313.1,Optimisation Was Not Started,No,"(3,1)",,,,
57,NEPHIA_0,-458.0669085,264.2,Optimisation Completed,No,(4),,,,
58,OHUCOJ_0,-697.3377237,1997.1,Optimisation Completed,Yes,"(2,2)",,,,
59,OHUVUL_0,,2508.8,Optimisation Was Not Started,Yes,"(2,2)",,,,
60,OKEMIB_0,-223.365462,428.9,Optimisation Completed,Yes,"(1,1,1,1)",112.39,107.39,NH3,9.24
61,OPURAT_0,-1685.1550098,4346.7,Optimisation Completed,No,"(2,2)",,,,
62,PAJVAY_0,-1383.9631777,968.5,Optimisation Completed,Yes,"(1,1,1,1)",118.72,118.72,,
63,PIXSEU_0,-1010.5461492,3346.7,Optimisation Completed,Yes,"(2,2)",,,,
64,PUKNOA_0,-353.1519886,555.7,Optimisation Completed,No,"(1,1,1,1)",,,,
65,QABKIQ_0,-532.0565412,447.8,Optimisation Completed,Yes,"(1,1,1,1)",111.77,111.77,Acetonitrile,-10.0
66,QECKOY_0,-789.9265302,2011.5,Optimisation Completed,Yes,"(1,1,1,1)",115.89,114.99,IPA,-2.5
67,QERCIC_0,-696.1933993,1601.8,Optimisation Completed,No,(4),,,,
68,QUJMIU_0,-1103.0245304,11097.6,Optimisation Completed,Yes,"(1,1,1,1)",116.66,109.88,2-methyltetrahydrofuran,-2.5
69,REJCAN_1,-1351.723997,7020.9,Optimisation Completed,No,"(2,2)",,,,
70,ROXVIM_0,-732.3730435,1138.2,Optimisation Completed,No,"(2,1,1)",,,,
71,SETXEX_0,-1310.6001976,3938.8,Optimisation Completed,No,"(2,1,1)",,,,
72,SIRGUW_0,-628.8171546,1462.1,Optimisation Completed,No,"(1,1,1,1)",,,,
73,SIXHUF_0,-1103.0122443,3086.5,Optimisation Completed,Yes,"(1,1,1,1)",111.98,109.57,Tetrahydropyran,-3.0
74,SIYKOB_0,-1249.2149405,10424.3,Optimisation Completed,No,"(2,1,1)",,,,
75,SUDXOE_0,-1311.8456344,5649.8,Optimisation Completed,No,"(2,1,1)",,,,
76,SUMSOI10_0,-1009.823544,6030.1,Optimisation Completed,No,"(2,1,1)",,,,
77,SUMSUO_0,-1075.3504415,1813.1,Optimisation Completed,Yes,"(2,2)",,,,
78,TEBMUI_0,-1710.7020817,6483.6,Optimisation Completed,No,"(2,2)",,,,
79,TOPFAH_0,-628.8187032,845.2,Optimisation Completed,Yes,"(2,2)",,,,
80,USISOF_0,-1402.9000469,8480.7,Optimisation Completed,Yes,"(2,2)",,,,
81,UTOTAA_0,-1245.6680179,9106.3,Optimisation Completed,Yes,"(1,1,1,1)",118.07,106.1,,
82,UWANIS_0,-1317.3627821,4088.4,Optimisation Completed,No,"(3,1)",,,,
83,VATJIN_0,-1277.0928602,13315.8,Optimisation Completed,No,(4),,,,
84,VEGWEJ_0,-860.5763951,3254.8,Optimisation Completed,No,"(2,1,1)",,,,
85,VUDJEM_0,-626.5056029,501.8,Optimisation Completed,No,(4),,,,
86,VUFMIT_0,-1339.4395448,4213.6,Optimisation Completed,No,"(2,2)",,,,
87,WAKJAT_0,-1281.7562754,12698.1,Optimisation Completed,No,"(2,1,1)",,,,
88,WOLTUM_0,-820.7676471,2390.7,Optimisation Completed,No,"(2,1,1)",,,,
89,XARLUY01_0,-996.7243493,4792.5,Optimisation Completed,Yes,"(1,1,1,1)",122.82,107.08,DMF,0.0
