Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
AFUYOR_0,HF,MINIX,69.0,0.0,1.0,172.07,24.4,8.0,1724.0,-643.11099164068,
ALUMIE_0,HF,MINIX,93.0,1.0,1.0,214.17,26.8,8.0,1967.0,-702.185769450114,
AVOLOM_0,HF,MINIX,111.0,0.0,1.0,235.29,38.3,8.0,2208.0,-714.5594196677,
BEDBAR_0,HF,MINIX,59.0,1.0,1.0,133.09,24.3,8.0,2868.0,-463.557518191887,
BEWHIV_0,HF,MINIX,169.0,0.0,1.0,376.43,53.8,8.0,4356.0,-1175.741948405509,
BINKUE_0,HF,MINIX,133.0,1.0,1.0,307.28,46.5,8.0,10702.0,-1070.214108481158,
BOWMEI_0,HF,MINIX,95.0,0.0,1.0,222.16,29.8,8.0,2977.0,-764.336307517169,
BUYRUK_0,HF,MINIX,191.0,0.0,1.0,417.51,64.6,8.0,5559.0,-1280.11665094981,
CABRAZ_0,HF,MINIX,103.0,1.0,1.0,211.3,35.6,8.0,985.0,-616.35630264925,
CAQXIF_0,HF,MINIX,171.0,1.0,1.0,383.43,60.6,8.0,5439.0,-1260.085930457575,
CECZEQ_0,HF,MINIX,61.0,1.0,1.0,135.11,24.4,8.0,1350.0,-464.691162300381,
CEMCAZ_0,HF,MINIX,161.0,1.0,1.0,367.35,44.6,8.0,1990.0,-1136.033903565832,
CEMDII_0,HF,MINIX,189.0,1.0,1.0,423.45,55.7,8.0,6873.0,-1291.28168765428,
CENJIP_0,HF,MINIX,145.0,1.0,1.0,303.42,52.5,8.0,2071.0,-930.346544776485,
CEZTIM_0,HF,MINIX,154.0,0.0,1.0,349.44,39.5,8.0,1338.0,-1965.479614692073,
COJDIO_0,HF,MINIX,149.0,1.0,1.0,333.37,52.7,8.0,5598.0,-1108.373776755886,
CUSSEQ_0,HF,MINIX,144.0,0.0,1.0,303.41,52.0,8.0,2484.0,-903.557612563666,
CUSSIU_0,HF,MINIX,151.0,0.0,1.0,317.45,52.1,8.0,3560.0,-938.506696245154,
DAVJEP_0,HF,MINIX,145.0,1.0,1.0,323.34,42.1,8.0,2971.0,-987.776931499248,
DAVJIT_0,HF,MINIX,173.0,1.0,1.0,379.44,51.6,8.0,4440.0,-1143.000699998719,
DAVJOZ_0,HF,MINIX,201.0,1.0,1.0,435.55,63.8,8.0,3667.0,-1298.215649419351,
DEMMEO_0,HF,MINIX,118.0,1.0,1.0,265.25,35.9,8.0,3709.0,-839.195208827745,
DEMNUF_0,HF,MINIX,125.0,1.0,1.0,279.28,39.2,8.0,3105.0,-877.984952989246,
DEMPIV_0,HF,MINIX,135.0,0.0,1.0,305.33,39.7,8.0,4729.0,-1251.079620904083,
DOKLIA_0,HF,MINIX,179.0,0.0,1.0,373.55,64.2,8.0,2641.0,-1093.699092662958,
EFIVOF_0,HF,MINIX,195.0,0.0,1.0,421.53,67.9,8.0,12671.0,-1286.354729517522,
EJEZUP_0,HF,MINIX,119.0,0.0,1.0,291.06,34.1,8.0,4959.0,-1569.147576058713,
EKOZEJ_0,HF,MINIX,173.0,0.0,1.0,354.48,61.8,8.0,5030.0,-1265.921044611696,
EPADUX_0,HF,MINIX,71.0,0.0,1.0,187.07,24.4,8.0,2637.0,-724.408039413248,
FEHVOH_0,HF,MINIX,225.0,1.0,1.0,495.62,70.5,8.0,6376.0,-1516.813382657248,
FOBHEJ_0,HF,MINIX,107.0,0.0,1.0,239.26,34.6,8.0,3678.0,-1067.109936856938,
FORZOB_0,HF,MINIX,157.0,1.0,1.0,359.36,53.8,8.0,2106.0,-1223.043732650592,
FUQMEL_0,HF,MINIX,128.0,-1.0,1.0,313.24,36.7,8.0,8201.0,-1416.081928006629,
GEVBIS_0,HF,MINIX,95.0,1.0,1.0,198.26,33.3,8.0,2267.0,-597.26616841828,
HADVEN_0,HF,MINIX,131.0,1.0,1.0,271.39,49.7,8.0,4325.0,-812.114096133804,
HAPWUS_0,HF,MINIX,125.0,0.0,1.0,263.38,42.1,8.0,5080.0,-1069.609416588524,
HOBNAP_0,HF,MINIX,139.0,0.0,1.0,296.38,45.8,8.0,2018.0,-880.40799908112,
HUTWIE01_0,HF,MINIX,143.0,1.0,1.0,324.32,46.2,8.0,3469.0,-1045.730468326255,
IGOFAL_0,HF,MINIX,128.0,0.0,1.0,269.35,42.8,8.0,2298.0,-788.054468798034,
IJODER_0,HF,MINIX,67.0,0.0,1.0,166.07,24.4,8.0,1823.0,-605.264671207145,
IQIFOF_1,HF,MINIX,33.0,1.0,1.0,79.0,23.3,8.0,926.0,-309.537096306195,
IYIREO_0,HF,MINIX,169.0,1.0,1.0,347.53,60.3,8.0,3091.0,-1002.039232747481,
JAGMEJ_0,HF,MINIX,169.0,0.0,1.0,400.37,53.0,8.0,14088.0,-1688.969291585686,
JAHYID_0,HF,MINIX,76.0,1.0,1.0,175.17,25.2,8.0,2655.0,-891.760019124322,
JAHZAW_0,HF,MINIX,71.0,1.0,1.0,159.13,25.0,8.0,1453.0,-539.974736480112,
KEFJAH_0,HF,MINIX,143.0,1.0,1.0,311.36,48.0,8.0,1870.0,-957.850630658896,
KIJZUZ01_0,HF,MINIX,105.0,-1.0,1.0,249.16,29.0,8.0,1461.0,-837.404993316178,
LAZJAX_0,HF,MINIX,98.0,1.0,1.0,216.22,34.4,8.0,2363.0,-711.034886288544,
LEXYIZ_0,HF,MINIX,191.0,0.0,1.0,404.56,64.9,8.0,6132.0,-1188.35736723965,
LIPTHF_0,HF,MINIX,183.0,0.0,1.0,390.58,59.3,8.0,6730.0,-1754.190839191974,
LUDGOH_0,HF,MINIX,191.0,0.0,1.0,434.53,56.9,8.0,6973.0,-1959.593200768582,
LURHIP_0,HF,MINIX,59.0,1.0,1.0,133.09,24.3,8.0,1036.0,-463.53471396217,
LURQUM_0,HF,MINIX,149.0,1.0,1.0,351.29,48.9,8.0,4497.0,-1218.35649010538,
MALJIV_0,HF,MINIX,113.0,1.0,1.0,243.28,39.8,8.0,1731.0,-772.768226369578,
MEHBEG_0,HF,MINIX,109.0,1.0,1.0,239.25,39.0,8.0,9749.0,-770.337699963882,
MUGPAG_0,HF,MINIX,46.0,0.0,1.0,123.0,23.6,8.0,1878.0,-511.172578153805,
NELCOZ_0,HF,MINIX,207.0,0.0,1.0,451.57,72.5,8.0,7019.0,-1395.690278206682,
NEPHIA_0,HF,MINIX,73.0,1.0,1.0,153.18,25.2,8.0,685.0,-460.027749048961,
OHUCOJ_0,HF,MINIX,117.0,1.0,1.0,239.36,43.1,8.0,1917.0,-693.941572172697,
OHUVUL_0,HF,MINIX,61.0,1.0,1.0,127.15,24.5,8.0,1595.0,-383.596914977421,
OKEMIB_0,HF,MINIX,37.0,1.0,1.0,75.08,23.4,8.0,943.0,-230.741648579554,
OPURAT_0,HF,MINIX,188.0,0.0,1.0,390.53,63.4,8.0,2674.0,-1663.987960833765,
PAJVAY_0,HF,MINIX,141.0,1.0,1.0,359.19,42.3,8.0,2810.0,-1360.561097994432,
PIXSEU_0,HF,MINIX,165.0,1.0,1.0,343.5,58.2,8.0,1980.0,-999.56516869446,
PUKNOA_0,,,,,,,,,,,.OUT File not found
QABKIQ_0,HF,MINIX,77.0,1.0,1.0,171.16,24.6,8.0,630.0,-531.610709315508,
QECKOY_0,HF,MINIX,117.0,1.0,1.0,247.32,42.5,8.0,3007.0,-775.127073305442,
QERCIC_0,HF,MINIX,115.0,1.0,1.0,237.34,40.9,8.0,2134.0,-692.787580328357,
QOWSAX_0,HF,MINIX,215.0,0.0,1.0,501.47,60.4,8.0,5993.0,-1600.768162413807,
QUJMIU_0,HF,MINIX,165.0,1.0,1.0,351.46,58.4,8.0,8104.0,-1080.856122318325,
REJCAN_1,HF,MINIX,179.0,0.0,1.0,374.47,60.9,8.0,4059.0,-1338.813617439625,
ROXVIM_0,HF,MINIX,97.0,1.0,1.0,223.18,27.6,8.0,2466.0,-722.785345178267,
SETXEX_0,HF,MINIX,122.0,0.0,1.0,292.25,35.1,8.0,5398.0,-1300.587018156662,
SIRGUW_0,HF,MINIX,85.0,1.0,1.0,187.18,29.7,8.0,5058.0,-617.578932966837,
SIXHUF_0,HF,MINIX,165.0,1.0,1.0,351.46,58.5,8.0,3854.0,-1080.853620758776,
SIYKOB_0,HF,MINIX,189.0,0.0,1.0,406.52,65.2,8.0,6616.0,-1227.861428614714,
SUDXOE_0,HF,MINIX,153.0,0.0,1.0,338.3,47.9,8.0,3890.0,-1294.710672419473,
SUMSOI10_0,HF,MINIX,145.0,0.0,1.0,320.35,47.6,8.0,3755.0,-993.860790730029,
SUMSUO_0,HF,MINIX,153.0,-1.0,1.0,345.34,43.9,8.0,2090.0,-1061.980272831977,
TEBMUI_0,HF,MINIX,169.0,0.0,1.0,367.51,52.8,8.0,2969.0,-1691.002276422035,
TOPFAH_0,HF,MINIX,85.0,1.0,1.0,187.18,29.9,8.0,2068.0,-617.532840123811,
USISOF_0,HF,MINIX,227.0,1.0,1.0,475.7,81.8,8.0,5454.0,-1383.116687516386,
UTOTAA_0,HF,MINIX,157.0,1.0,1.0,359.36,53.9,8.0,3484.0,-1222.981048178876,
UWANIS_0,HF,MINIX,217.0,0.0,1.0,448.71,78.3,8.0,2762.0,-1305.854591414605,
VATJIN_0,HF,MINIX,209.0,1.0,1.0,433.67,77.1,8.0,8360.0,-1266.521463084302,
VEGWEJ_0,HF,MINIX,136.0,0.0,1.0,286.38,47.7,8.0,3598.0,-847.713204741185,
VUDJEM_0,HF,MINIX,81.0,1.0,1.0,183.15,26.6,8.0,712.0,-615.195646230584,
VUFMIT_0,HF,MINIX,164.0,0.0,1.0,346.5,54.4,8.0,3154.0,-1320.930172523963,
WAKJAT_0,HF,MINIX,165.0,0.0,1.0,346.41,56.2,8.0,5301.0,-1264.994343152965,
WOLTUM_0,HF,MINIX,127.0,1.0,1.0,267.36,45.5,8.0,2616.0,-809.7894158844,
XARLUY01_0,HF,MINIX,133.0,1.0,1.0,299.32,46.3,8.0,3668.0,-988.98841135576,
XIDGIA_1,HF,MINIX,173.0,-1.0,1.0,361.5,57.3,8.0,10781.0,-1040.728498319332,
XUMWOS_0,HF,MINIX,57.0,1.0,1.0,131.08,24.1,8.0,989.0,-462.373728705923,
YELDAU_0,HF,MINIX,137.0,1.0,1.0,295.36,48.2,8.0,5002.0,-925.628616130052,
YIFJEC_0,HF,MINIX,154.0,0.0,1.0,346.35,45.0,8.0,2693.0,-1062.586818688289,
YUVMUZ_0,HF,MINIX,187.0,-1.0,1.0,397.54,67.9,8.0,11900.0,-1191.903662303319,
ZALPOU_0,HF,MINIX,193.0,1.0,1.0,427.48,57.3,8.0,6891.0,-1293.340836810586,
ZEKQUD_0,HF,MINIX,128.0,0.0,1.0,269.35,42.8,8.0,1899.0,-788.061395713119,
ZUCFUB_0,HF,MINIX,224.0,0.0,1.0,498.57,75.1,8.0,17707.0,-1564.662473004797,
ZUZROB_0,HF,MINIX,113.0,-1.0,1.0,261.22,35.9,8.0,6592.0,-875.069681339023,
