Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
AFUYOR_0,HF,def2-TZVP,409.0,0.0,1.0,172.07,88.4,8.0,26260.0,-647.857535307161,
ALUMIE_0,HF,def2-TZVP,557.0,1.0,1.0,214.17,149.4,8.0,14078.0,-707.237055058065,
AVOLOM_0,HF,def2-TZVP,666.0,0.0,1.0,235.29,223.6,8.0,63491.0,-719.5710907108,
BEDBAR_0,HF,def2-TZVP,346.0,1.0,1.0,133.09,63.4,8.0,16922.0,-466.77730107636,
BEWHIV_0,HF,def2-TZVP,1025.0,0.0,1.0,376.43,421.3,8.0,325916.0,-1184.125190013708,
BINKUE_0,HF,def2-TZVP,802.0,1.0,1.0,307.28,258.3,8.0,67541.0,-1077.726180372936,
BOWMEI_0,HF,def2-TZVP,569.0,0.0,1.0,222.16,150.1,8.0,42327.0,-769.807168508636,
BUYRUK_0,HF,def2-TZVP,1160.0,0.0,1.0,417.51,486.7,8.0,226170.0,-1289.255560900429,
CABRAZ_0,HF,def2-TZVP,616.0,1.0,1.0,211.3,186.2,8.0,23784.0,-620.647340846762,
CAQXIF_0,HF,def2-TZVP,1036.0,1.0,1.0,383.43,461.5,8.0,265049.0,-1268.920458947692,
CECZEQ_0,HF,def2-TZVP,358.0,1.0,1.0,135.11,65.1,8.0,6885.0,-467.901286928499,
CEMCAZ_0,HF,def2-TZVP,978.0,1.0,1.0,367.35,366.7,8.0,155526.0,-1144.258679481464,
CEMDII_0,HF,def2-TZVP,1150.0,1.0,1.0,423.45,503.5,8.0,520266.0,-1300.570914427514,
CENJIP_0,HF,def2-TZVP,874.0,1.0,1.0,303.42,302.6,8.0,110893.0,-936.795919582102,
CEZTIM_0,HF,def2-TZVP,786.0,0.0,1.0,349.44,264.1,8.0,50022.0,-1976.999734012023,
COJDIO_0,HF,def2-TZVP,900.0,1.0,1.0,333.37,327.5,8.0,144530.0,-1116.176660674191,
CUSSEQ_0,HF,def2-TZVP,869.0,0.0,1.0,303.41,329.8,8.0,113571.0,-909.934536804142,
CUSSIU_0,HF,def2-TZVP,912.0,0.0,1.0,317.45,352.8,8.0,134289.0,-945.156314241024,
DAVJEP_0,HF,def2-TZVP,878.0,1.0,1.0,323.34,296.1,8.0,68580.0,-994.944677770808,
DAVJIT_0,HF,def2-TZVP,1050.0,1.0,1.0,379.44,370.2,8.0,101493.0,-1151.242633945235,
DAVJOZ_0,HF,def2-TZVP,1222.0,1.0,1.0,435.55,481.0,8.0,239176.0,-1307.51560696923,
DEMMEO_0,HF,def2-TZVP,711.0,1.0,1.0,265.25,229.8,8.0,99895.0,-845.182101902804,
DEMNUF_0,HF,def2-TZVP,754.0,1.0,1.0,279.28,251.1,8.0,131254.0,-884.235510599756,
DEMPIV_0,HF,def2-TZVP,767.0,0.0,1.0,305.33,262.0,8.0,262033.0,-1259.208593388893,
DOKLIA_0,HF,def2-TZVP,1084.0,0.0,1.0,373.55,455.8,8.0,209824.0,-1101.427307927566,
EFIVOF_0,HF,def2-TZVP,1184.0,0.0,1.0,421.53,505.1,8.0,487431.0,-1295.45252552699,
EJEZUP_0,HF,def2-TZVP,618.0,0.0,1.0,291.06,186.5,8.0,115940.0,-1578.970362665937,
EKOZEJ_0,HF,def2-TZVP,997.0,0.0,1.0,354.48,413.4,8.0,144944.0,-1274.120636083859,
EPADUX_0,HF,def2-TZVP,422.0,0.0,1.0,187.07,86.8,8.0,27705.0,-729.749408565176,
FEHVOH_0,HF,def2-TZVP,1370.0,1.0,1.0,495.62,513.3,8.0,236309.0,-1527.742601185462,
FOBHEJ_0,HF,def2-TZVP,593.0,0.0,1.0,239.26,179.0,8.0,97185.0,-1073.788717915253,
FORZOB_0,HF,def2-TZVP,950.0,1.0,1.0,359.36,397.9,8.0,144012.0,-1231.618277966958,
FUQMEL_0,HF,def2-TZVP,724.0,-1.0,1.0,313.24,211.6,8.0,341423.0,-1425.585314079945,
GEVBIS_0,HF,def2-TZVP,567.0,1.0,1.0,198.26,166.1,8.0,61670.0,-601.421828340245,
HADVEN_0,HF,def2-TZVP,788.0,1.0,1.0,271.39,276.1,8.0,105211.0,-817.741832564396,
HAPWUS_0,HF,def2-TZVP,703.0,0.0,1.0,263.38,231.6,8.0,139398.0,-1076.321160639142,
HOBNAP_0,HF,def2-TZVP,839.0,0.0,1.0,296.38,299.6,8.0,85155.0,-886.660083048142,
HUTWIE01_0,HF,def2-TZVP,865.0,1.0,1.0,324.32,318.3,8.0,178428.0,-1053.187514738191,
IGOFAL_0,HF,def2-TZVP,771.0,0.0,1.0,269.35,282.2,8.0,95580.0,-793.624718987084,
IJODER_0,HF,def2-TZVP,397.0,0.0,1.0,166.07,85.3,8.0,20807.0,-609.694339594932,
