,Identifier,Single Point Energy / HF,CPU time / sec,Successful Run?,Homoleptic,Dataset Section,Alpha (degs),Beta (degs),Ligand,pKa
0,AFUYOR_0,,39128.9,Optimisation Was Not Started,No,"(1,1,1,1)",,,,
1,ALUMIE_0,-715.3719851,6255.8,Optimisation Completed,No,"(2,1,1)",,,,
2,AVOLOM_0,-731.9692329,26997.2,Optimisation Completed,No,(4),,,,
3,BEDBAR_0,-470.731882,7519.7,Optimisation Completed,No,"(1,1,1,1)",,,,
4,BEWHIV_0,-1200.6349644,146917.8,Optimisation Completed,No,"(3,1)",,,,
5,BINKUE_0,-1089.3524878,31658.8,Optimisation Completed,No,"(2,1,1)",,,,
6,BOWMEI_0,-779.4823231,23102.1,Optimisation Completed,No,"(2,1,1)",,,,
7,BUYRUK_0,-1312.2464873,158914.2,Optimisation Completed,No,"(2,2)",,,,
8,CABRAZ_0,-628.6133801,13335.0,Optimisation Completed,Yes,"(2,2)",,,,
9,CAQXIF_0,-1285.4357331,84762.5,Optimisation Completed,No,(4),,,,
10,CECZEQ_0,-471.8890493,7387.8,Optimisation Completed,Yes,"(1,1,1,1)",111.73,110.31,CH3OH,-2.2
11,CEMCAZ_0,-1165.4284075,59485.7,Optimisation Completed,Yes,"(2,2)",,,,
12,CEMDII_0,-1325.7330893,160208.7,Optimisation Completed,Yes,"(2,2)",,,,
13,CENJIP_0,-952.7544441,51828.2,Optimisation Completed,Yes,"(1,1,1,1)",120.97,116.09,t-Butanol,-2.75
14,CEZTIM_0,-1992.7284129,22955.6,Optimisation Completed,No,(4),,,,
15,COJDIO_0,-1128.8402943,54320.5,Optimisation Completed,No,"(2,1,1)",,,,
16,CUSSEQ_0,-925.2702022,75606.6,Optimisation Completed,No,"(3,1)",,,,
17,CUSSIU_0,-959.4714927,65367.2,Optimisation Completed,No,"(3,1)",,,,
18,DAVJEP_0,-1012.3585125,26294.0,Optimisation Completed,Yes,"(1,1,1,1)",110.12,110.12,Pyridine,5.2
19,DAVJIT_0,-1172.6559206,164715.9,Optimisation Completed,Yes,"(1,1,1,1)",114.45,109.44,,
20,DAVJOZ_0,-1332.9409429,479539.3,Optimisation Completed,Yes,"(1,1,1,1)",113.96,109.54,,
21,DEMMEO_0,-858.7631821,44625.4,Optimisation Completed,No,"(2,1,1)",,,,
22,DEMNUF_0,-898.8107389,50815.1,Optimisation Completed,No,"(2,1,1)",,,,
23,DEMPIV_0,-1273.7990164,117585.7,Optimisation Completed,No,"(2,1,1)",,,,
24,DOKLIA_0,-1119.7424495,101648.5,Optimisation Completed,No,"(3,1)",,,,
