Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
AFUYOR_0,M062X,def2-TZVP,409.0,0.0,1.0,172.07,56.0,8.0,19497.0,-651.118367912916,
ALUMIE_0,M062X,def2-TZVP,557.0,1.0,1.0,214.17,85.8,8.0,6422.0,-711.042316035881,
AVOLOM_0,M062X,def2-TZVP,666.0,0.0,1.0,235.29,131.0,8.0,15072.0,-723.681537362228,
BEDBAR_0,M062X,def2-TZVP,346.0,1.0,1.0,133.09,46.4,8.0,13128.0,-469.178521963101,
BEWHIV_0,M062X,def2-TZVP,1025.0,0.0,1.0,376.43,228.2,8.0,108892.0,-1190.821721474573,
BINKUE_0,M062X,def2-TZVP,802.0,1.0,1.0,307.28,156.0,8.0,26521.0,-1083.3233334191,
BOWMEI_0,M062X,def2-TZVP,569.0,0.0,1.0,222.16,88.3,8.0,19425.0,-773.84157303719,
BUYRUK_0,M062X,def2-TZVP,1160.0,0.0,1.0,417.51,275.2,8.0,56636.0,-1296.578256021692,
CABRAZ_0,M062X,def2-TZVP,616.0,1.0,1.0,211.3,118.1,8.0,13089.0,-624.268697483097,
CAQXIF_0,M062X,def2-TZVP,1036.0,1.0,1.0,383.43,255.0,8.0,47935.0,-1275.760181782433,
CECZEQ_0,M062X,def2-TZVP,358.0,1.0,1.0,135.11,51.5,8.0,7744.0,-470.331903519103,
CEMCAZ_0,M062X,def2-TZVP,978.0,1.0,1.0,367.35,191.4,8.0,35839.0,-1150.649595302401,
CEMDII_0,M062X,def2-TZVP,1150.0,1.0,1.0,423.45,263.1,8.0,75386.0,-1307.915601076954,
CENJIP_0,M062X,def2-TZVP,874.0,1.0,1.0,303.42,190.2,8.0,36324.0,-942.092909082977,
CEZTIM_0,M062X,def2-TZVP,786.0,0.0,1.0,349.44,137.6,8.0,15416.0,-1983.312684186845,
COJDIO_0,M062X,def2-TZVP,900.0,1.0,1.0,333.37,195.5,8.0,36460.0,-1122.162991371936,
CUSSEQ_0,M062X,def2-TZVP,869.0,0.0,1.0,303.41,193.6,8.0,28839.0,-915.214003716397,
CUSSIU_0,M062X,def2-TZVP,912.0,0.0,1.0,317.45,209.5,8.0,47961.0,-950.676357990408,
DAVJEP_0,M062X,def2-TZVP,878.0,1.0,1.0,323.34,167.4,8.0,13855.0,-1000.559306441381,
DAVJIT_0,M062X,def2-TZVP,1050.0,1.0,1.0,379.44,214.6,8.0,49812.0,-1157.815248035906,
DAVJOZ_0,M062X,def2-TZVP,1222.0,1.0,1.0,435.55,286.0,8.0,60915.0,-1315.056745523412,
DEMMEO_0,M062X,def2-TZVP,711.0,1.0,1.0,265.25,127.1,8.0,40658.0,-849.832253889187,
DEMNUF_0,M062X,def2-TZVP,754.0,1.0,1.0,279.28,140.4,8.0,54535.0,-889.123647765489,
DEMPIV_0,M062X,def2-TZVP,767.0,0.0,1.0,305.33,138.3,8.0,34228.0,-1264.638684086784,
DOKLIA_0,M062X,def2-TZVP,1084.0,0.0,1.0,373.55,270.5,8.0,44110.0,-1107.906574606538,
EFIVOF_0,M062X,def2-TZVP,1184.0,0.0,1.0,421.53,286.6,8.0,88240.0,-1302.816355606634,
EJEZUP_0,M062X,def2-TZVP,618.0,0.0,1.0,291.06,103.9,8.0,40517.0,-1584.460839608691,
EKOZEJ_0,M062X,def2-TZVP,997.0,0.0,1.0,354.48,244.5,8.0,40965.0,-1280.265765220688,
EPADUX_0,M062X,def2-TZVP,422.0,0.0,1.0,187.07,52.8,8.0,16518.0,-733.389431796081,
FEHVOH_0,M062X,def2-TZVP,1370.0,1.0,1.0,495.62,303.4,8.0,51270.0,-1536.437570905472,
FOBHEJ_0,M062X,def2-TZVP,593.0,0.0,1.0,239.26,103.8,8.0,53804.0,-1078.100853801495,
FORZOB_0,M062X,def2-TZVP,950.0,1.0,1.0,359.36,221.6,8.0,43107.0,-1238.102400936826,
FUQMEL_0,M062X,def2-TZVP,724.0,-1.0,1.0,313.24,116.5,8.0,55734.0,-1431.481879449105,
GEVBIS_0,M062X,def2-TZVP,567.0,1.0,1.0,198.26,104.2,8.0,23317.0,-604.847369184916,
HADVEN_0,M062X,def2-TZVP,788.0,1.0,1.0,271.39,171.9,8.0,37417.0,-822.439558071289,
HAPWUS_0,M062X,def2-TZVP,703.0,0.0,1.0,263.38,137.7,8.0,40000.0,-1080.943223736438,
HOBNAP_0,M062X,def2-TZVP,839.0,0.0,1.0,296.38,172.9,8.0,23119.0,-891.818834212891,
