Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
ADOSBU_1_protonated,HF,6-31G*,304.0,0.0,1.0,273.19,299.2,16.0,44093.0,-978.77263831,-978.50126389,0.05769774,-978.55896163,39.2,64.65,93.95,143.71,
AMUDIX_1,HF,6-31G*,714.0,0.0,1.0,608.67,219.1,18.0,,,,,,,,,,Error termination in PROPINT
AYEYAG_1,HF,6-31G*,416.0,0.0,1.0,397.97,686.1,18.0,255456.0,-1578.64527973,-1578.33452104,0.07672092,-1578.41124196,-28.46,9.22,12.53,32.61,
BORMAL_1,HF,6-31G*,296.0,0.0,1.0,281.89,251.7,18.0,53089.0,-1114.52954768,-1114.31584969,0.05736517,-1114.37321485,-87.22,-18.13,49.56,52.01,
BOTLAX_3,HF,6-31G*,640.0,0.0,1.0,630.51,192.9,18.0,2294726.0,-3088.406165305357,,,,,,,,Optimization Did Not Converge
CAWXUV_2,HF,6-31G*,616.0,0.0,1.0,549.5,184.8,18.0,2563704.0,-2089.086925876658,,,,,,,,Optimization Did Not Converge
CEKLUZ_5_protonated,HF,6-31G*,572.0,0.0,1.0,572.23,1902.5,18.0,1479439.0,-2698.73992787,-2698.24134561,0.0867425,-2698.32808811,-77.38,-43.39,-23.82,23.45,
CERXOM,HF,6-31G*,440.0,0.0,1.0,380.32,874.7,18.0,250289.0,-1281.17792639,-1280.78653106,0.0709554,-1280.85748646,-20.78,26.99,40.44,64.81,
DHDIUL_5,HF,6-31G*,388.0,0.0,1.0,362.21,659.7,18.0,180171.0,-1403.88247958,-1403.49774894,0.06947159,-1403.56722053,-19.44,35.0,63.41,81.06,
DIVPIH_4_protonated,HF,6-31G*,434.0,0.0,1.0,399.25,163.6,18.0,823717.0,-1480.232294501829,,,,,,,,Optimization Did Not Converge
EBEFIA_1,HF,6-31G*,488.0,0.0,1.0,433.49,1452.2,18.0,617691.0,-1750.35449816,-1749.77770348,0.07498654,-1749.85269003,-447.2,-50.24,-21.02,32.8,
ERYTHR_4,HF,6-31G*,476.0,0.0,1.0,406.43,1413.7,10.0,400263.0,-1375.42860043,-1374.81373266,0.07936511,-1374.89309776,31.77,61.47,68.92,93.94,
GADKUV_1,HF,6-31G*,460.0,0.0,1.0,405.32,1037.2,18.0,255385.0,-1420.84195601,-1420.40866016,0.07541805,-1420.48407821,-36.37,-27.92,25.55,40.41,
