Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
ADOSBU_1_protonated,HF,,109.0,0.0,1.0,273.19,54.4,8.0,7942.0,-962.88430861,-962.61477853,0.05655668,-962.67133521,53.98,68.42,85.29,147.68,
AMUDIX_1,HF,,266.0,0.0,1.0,608.67,106.6,8.0,190110.0,,,,,,,,,
AYEYAG_1,HF,,149.0,0.0,1.0,397.97,110.2,8.0,24789.0,-1556.95649404,-1556.64725875,0.07514937,-1556.72240811,-76.21,32.98,37.51,48.17,
BORMAL_1,HF,,105.0,0.0,1.0,281.89,44.0,8.0,7312.0,-1098.85465736,-1098.64095336,0.05856077,-1098.69951413,-18.41,40.18,55.34,80.5,
BOTLAX_3,HF,,254.0,0.0,1.0,630.51,71.1,8.0,,,,,,,,,,Error termination in PROPINT
CAWXUV_2,HF,,234.0,0.0,1.0,549.5,74.4,8.0,,,,,,,,,,Error termination in PROPINT
CEKLUZ_5_protonated,HF,,223.0,0.0,1.0,572.23,65.3,8.0,77353.0,,,,,,,,,
CERXOM,HF,,159.0,0.0,1.0,380.32,143.0,8.0,29085.0,-1271.76082469,-1271.36885693,0.07244399,-1271.44130093,10.45,29.07,44.9,60.93,
DHDIUL_5,HF,,141.0,0.0,1.0,362.21,111.0,8.0,32012.0,-1385.69551857,-1385.31354507,0.07228435,-1385.38582942,32.04,54.45,59.43,73.7,
DIVPIH_4_protonated,HF,,156.0,0.0,1.0,399.25,44.3,8.0,24552.0,,,,,,,,,
EBEFIA_1,HF,,188.0,0.0,1.0,433.49,266.6,8.0,63848.0,-1739.49306345,-1738.91503077,0.07875215,-1738.99378292,14.32,31.97,46.77,72.18,
ERYTHR_4,HF,,177.0,0.0,1.0,406.43,239.5,8.0,75474.0,-1364.97166779,-1364.35875856,0.0783852,-1364.43714376,47.09,53.89,79.67,89.24,
GADKUV_1,HF,,167.0,0.0,1.0,405.32,170.5,8.0,34427.0,-1408.77169442,-1408.34342997,0.07552357,-1408.41895354,-102.55,-24.24,18.19,33.42,
GLCTSM_3,HF,,104.0,0.0,1.0,265.08,49.6,8.0,9274.0,-1242.82982671,-1242.57417448,0.06038643,-1242.63456092,29.27,64.6,93.42,102.63,
GOHKUJ_1,HF,,139.0,0.0,1.0,322.32,125.8,8.0,29105.0,-1092.1675207,-1091.69659077,0.07128235,-1091.76787312,36.15,50.22,73.94,74.77,
HIBYOG,HF,,181.0,0.0,1.0,435.23,200.0,8.0,53621.0,-2147.36836967,-2146.93758668,0.07490261,-2147.01248929,-71.75,-45.86,8.39,42.98,
HOQWUG_1,HF,,145.0,0.0,1.0,364.22,106.1,8.0,26912.0,-1312.30558334,-1311.98419309,0.06679273,-1312.05098582,-1023.45,-147.15,31.6,54.47,
HOSLEH_4,HF,,175.0,0.0,1.0,446.28,199.3,8.0,62109.0,-1693.09118114,-1692.62485017,0.08644864,-1692.71129881,11.42,26.23,31.78,38.97,
HUZDEL_1,HF,,123.0,0.0,1.0,292.25,87.9,8.0,18147.0,-1011.7104927,-1011.32699984,0.06588788,-1011.39288772,22.64,45.37,62.04,71.87,
ITINUU_4,HF,,246.0,0.0,1.0,629.44,82.7,8.0,126339.0,,,,,,,,,
IWIMUW_1,HF,,193.0,0.0,1.0,459.45,248.7,8.0,90068.0,-1840.2787348,-1839.8058584,0.08459996,-1839.89045836,-66.49,12.89,17.63,36.85,
IWUCUY,HF,,161.0,0.0,1.0,380.36,55.4,8.0,41274.0,,,,,,,,,
JAZVIP10_1,HF,,137.0,0.0,1.0,345.31,37.5,8.0,18041.0,,,,,,,,,
