Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
ADOSBU_1_protonated,HF,,109.0,0.0,1.0,273.19,54.4,8.0,7942.0,-962.88430861,-962.61477853,0.05655668,-962.67133521,53.98,68.42,85.29,147.68,
AMUDIX_1,HF,,266.0,0.0,1.0,608.67,106.6,8.0,190110.0,-2025.140331256066,,,,,,,,Optimization Did Not Converge
AYEYAG_1,HF,,149.0,0.0,1.0,397.97,110.6,8.0,27209.0,-1556.95650048,-1556.64611505,0.07660076,-1556.72271581,30.43,35.27,42.61,50.35,
BORMAL_1,HF,,105.0,0.0,1.0,281.89,44.3,8.0,7075.0,-1098.85465195,-1098.64003211,0.06044209,-1098.7004742,34.1,37.84,61.25,76.62,
BOTLAX_3,HF,,254.0,0.0,1.0,630.51,454.1,8.0,104476.0,-3056.05417762,-3055.55153276,0.0809275,-3055.63246025,-63.72,-43.43,-18.87,40.54,
CAWXUV_2,HF,,234.0,0.0,1.0,549.5,455.1,8.0,211248.0,-2064.89418438,-2064.26035852,0.09230493,-2064.35266345,-134.33,-123.49,-111.51,-98.48,
CEKLUZ_5_protonated,HF,,223.0,0.0,1.0,572.23,156.3,8.0,354559.0,-2667.630445482735,,,,,,,,Optimization Did Not Converge
CERXOM,HF,,159.0,0.0,1.0,380.32,143.0,8.0,29085.0,-1271.76082469,-1271.36885693,0.07244399,-1271.44130093,10.45,29.07,44.9,60.93,
DHDIUL_5,HF,,141.0,0.0,1.0,362.21,111.0,8.0,32012.0,-1385.69551857,-1385.31354507,0.07228435,-1385.38582942,32.04,54.45,59.43,73.7,
DIVPIH_4_protonated,HF,,156.0,0.0,1.0,399.25,129.3,8.0,52784.0,-1458.44298876,-1458.0944244,0.07286792,-1458.16729231,-43.36,14.73,39.44,47.07,
EBEFIA_1,HF,,188.0,0.0,1.0,433.49,266.6,8.0,63848.0,-1739.49306345,-1738.91503077,0.07875215,-1738.99378292,14.32,31.97,46.77,72.18,
ERYTHR_4,HF,,177.0,0.0,1.0,406.43,239.5,8.0,75474.0,-1364.97166779,-1364.35875856,0.0783852,-1364.43714376,47.09,53.89,79.67,89.24,
GADKUV_1,HF,,167.0,0.0,1.0,405.32,171.2,8.0,47463.0,-1408.77170041,-1408.3434509,0.07532725,-1408.41877815,-104.22,-19.46,30.37,35.56,
GLCTSM_3,HF,,104.0,0.0,1.0,265.08,49.6,8.0,9274.0,-1242.82982671,-1242.57417448,0.06038643,-1242.63456092,29.27,64.6,93.42,102.63,
GOHKUJ_1,HF,,139.0,0.0,1.0,322.32,125.8,8.0,29105.0,-1092.1675207,-1091.69659077,0.07128235,-1091.76787312,36.15,50.22,73.94,74.77,
HIBYOG,HF,,181.0,0.0,1.0,435.23,200.6,8.0,50156.0,-2147.36841418,-2146.93884789,0.07272748,-2147.01157538,-121.61,-42.47,-14.1,42.69,
HOQWUG_1,HF,,145.0,0.0,1.0,364.22,107.5,8.0,80664.0,-1311.98890977,-1311.66748457,0.06925559,-1311.73674016,34.66,54.27,57.26,61.06,
HOSLEH_4,HF,,175.0,0.0,1.0,446.28,199.3,8.0,62109.0,-1693.09118114,-1692.62485017,0.08644864,-1692.71129881,11.42,26.23,31.78,38.97,
HUZDEL_1,HF,,123.0,0.0,1.0,292.25,87.9,8.0,18147.0,-1011.7104927,-1011.32699984,0.06588788,-1011.39288772,22.64,45.37,62.04,71.87,
