Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ADOSBU_1_protonated,M062X,def2-SVP,335.0,0.0,1.0,273.19,638.9,8.0,9176.0,-969.49784496,-969.23494711,0.05823915,-969.29318626,49.89,65.64,109.69,144.07
AMUDIX_1,M062X,def2-SVP,856.0,0.0,1.0,608.67,3246.7,8.0,141694.0,-2007.57446921,-2006.72752552,0.10812474,-2006.83565026,30.29,31.88,52.29,53.97
AYEYAG_1,M062X,def2-SVP,447.0,0.0,1.0,397.97,1211.9,8.0,19708.0,-1548.77782568,-1548.47479355,0.07675647,-1548.55155003,32.62,37.23,42.97,54.52
BORMAL_1,M062X,def2-SVP,315.0,0.0,1.0,281.89,528.4,8.0,7901.0,-1093.4867442,-1093.27743236,0.06072815,-1093.33816052,34.91,45.36,67.08,75.29
BOTLAX_3,M062X,def2-SVP,695.0,0.0,1.0,630.51,3342.2,8.0,54045.0,-3066.4651473,-3065.97411472,0.08884817,-3066.06296289,34.2,41.09,52.58,56.45
CAWXUV_2,M062X,def2-SVP,710.0,0.0,1.0,549.5,3315.9,8.0,68425.0,-2074.93215365,-2074.30860852,0.10536303,-2074.41397155,15.73,24.54,27.28,31.46
CEKLUZ_5_protonated,M062X,def2-SVP,636.0,0.0,1.0,572.23,847.8,8.0,175051.0,-2661.96006338,-2661.47314214,0.09286107,-2661.56600321,24.85,39.95,43.0,50.03
CERXOM,M062X,def2-SVP,486.0,0.0,1.0,380.32,1563.5,8.0,19753.0,-1265.22232287,-1264.846485,0.07348946,-1264.91997446,19.77,37.17,57.7,65.28
DHDIUL_5,M062X,def2-SVP,440.0,0.0,1.0,362.21,1273.6,8.0,42862.0,-1377.5054709,-1377.13170153,0.07223592,-1377.20393745,36.88,57.52,60.72,84.88
DIVPIH_4_protonated,M062X,def2-SVP,471.0,0.0,1.0,399.25,1408.3,8.0,20644.0,-1461.62477564,-1461.28330412,0.07621698,-1461.3595211,17.89,34.18,39.18,53.31
EBEFIA_1,M062X,def2-SVP,579.0,0.0,1.0,433.49,2649.9,8.0,28113.0,-1729.64979299,-1729.09790201,0.08080963,-1729.17871164,29.13,38.4,48.42,62.78
ERYTHR_4,M062X,def2-SVP,576.0,0.0,1.0,406.43,2658.5,8.0,35002.0,-1353.96477032,-1353.37885193,0.08097486,-1353.45982679,54.52,61.29,75.75,77.97
GADKUV_1,M062X,def2-SVP,515.0,0.0,1.0,405.32,1840.8,8.0,22490.0,-1399.63066799,-1399.21403081,0.07958843,-1399.29361924,17.61,27.5,31.12,47.59
GLCTSM_3,M062X,def2-SVP,302.0,0.0,1.0,265.08,512.2,8.0,16044.0,-1240.97078628,-1240.72234655,0.06009149,-1240.78243804,57.12,69.32,91.53,116.67
GOHKUJ_1,M062X,def2-SVP,452.0,0.0,1.0,322.32,1434.1,8.0,27744.0,-1083.62494884,-1083.17211011,0.07195268,-1083.24406278,43.67,65.9,76.38,95.69
HIBYOG,M062X,def2-SVP,514.0,0.0,1.0,435.23,1840.8,8.0,31404.0,-2144.7341192,-2144.31272119,0.07826183,-2144.39098302,17.84,32.75,51.05,58.1
HOQWUG_1,M062X,def2-SVP,438.0,0.0,1.0,364.22,1165.7,8.0,13258.0,-1301.81244565,-1301.49791416,0.07046862,-1301.56838279,25.08,43.26,46.13,74.49
HOSLEH_4,M062X,def2-SVP,544.0,0.0,1.0,446.28,2103.6,8.0,27182.0,-1682.48710219,-1682.03064059,0.08429184,-1682.11493243,32.63,42.25,48.14,52.09
HUZDEL_1,M062X,def2-SVP,394.0,0.0,1.0,292.25,1003.7,8.0,36809.0,-1003.99241608,-1003.62285445,0.06617267,-1003.68902712,41.86,59.24,60.45,91.28
ITINUU_4,M062X,def2-SVP,745.0,0.0,1.0,629.44,3297.4,8.0,129193.0,-2328.48186907,-2327.92372349,0.10920722,-2328.03293071,24.56,27.76,33.83,36.7
IWIMUW_1,M062X,def2-SVP,571.0,0.0,1.0,459.45,2354.2,8.0,19784.0,-1834.12138921,-1833.665725,0.08882513,-1833.75455014,16.09,23.06,34.2,44.03
IWUCUY,M062X,def2-SVP,518.0,0.0,1.0,380.36,1987.9,8.0,53081.0,-1307.5869221,-1307.0871299,0.08422696,-1307.17135685,33.51,45.82,48.34,53.26
JAZVIP10_1,M062X,def2-SVP,371.0,0.0,1.0,345.31,788.6,8.0,15197.0,-1839.68295131,-1839.41605094,0.06697169,-1839.48302263,41.9,47.33,56.1,72.38
