Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ADOSBU_1_protonated,M062X,def2-TZVP,675.0,0.0,1.0,273.19,1654.8,16.0,58034.0,-970.6078452,-970.34569738,0.05899821,-970.4046956,50.58,67.3,83.01,139.4
AMUDIX_1,M062X,def2-TZVP,1641.0,0.0,1.0,608.67,1509.7,16.0,1034465.0,-2009.83015122,-2008.98250073,0.10908572,-2009.09158645,25.79,34.45,51.59,55.19
AYEYAG_1,M062X,def2-TZVP,923.0,0.0,1.0,397.97,1584.4,16.0,196763.0,-1550.55926394,-1550.25837872,0.07846704,-1550.33684577,20.15,32.45,40.21,45.67
BORMAL_1,M062X,def2-TZVP,651.0,0.0,1.0,281.89,1665.1,16.0,59630.0,-1094.74447498,-1094.53648839,0.06103729,-1094.59752567,41.32,48.47,74.26,77.37
BOTLAX_3,M062X,def2-TZVP,1423.0,0.0,1.0,630.51,1508.5,16.0,723379.0,-3069.10626576,-3068.61602889,0.09283144,-3068.70886033,20.53,31.93,38.07,44.79
CAWXUV_2,M062X,def2-TZVP,1396.0,0.0,1.0,549.5,1493.4,16.0,748394.0,-2077.02212427,-2076.39888841,0.10554294,-2076.50443135,18.53,23.06,27.14,33.57
CEKLUZ_5_protonated,M062X,def2-TZVP,1280.0,0.0,1.0,572.23,1542.7,16.0,771059.0,-2664.57104812,-2664.08529286,0.09457695,-2664.17986982,21.65,32.55,42.18,47.14
CERXOM,M062X,def2-TZVP,984.0,0.0,1.0,380.32,1591.1,16.0,164684.0,-1266.62826167,-1266.25311742,0.0735892,-1266.32670662,25.81,35.79,55.95,64.34
DHDIUL_5,M062X,def2-TZVP,872.0,0.0,1.0,362.21,1822.1,12.0,192675.0,-1379.1026802,-1378.73032846,0.07426571,-1378.80459417,40.03,54.28,62.4,76.2
DIVPIH_4_protonated,M062X,def2-TZVP,966.0,0.0,1.0,399.25,1587.1,16.0,177317.0,-1463.29059858,-1462.95073641,0.07656528,-1463.02730169,16.65,37.27,47.52,56.96
EBEFIA_1,M062X,def2-TZVP,1111.0,0.0,1.0,433.49,1748.0,12.0,280876.0,-1731.33646953,-1730.7837193,0.08135376,-1730.86507306,28.43,40.1,42.06,53.62
ERYTHR_4,M062X,def2-TZVP,1092.0,0.0,1.0,406.43,1547.4,16.0,204334.0,-1355.49274856,-1354.90611336,0.08128472,-1354.98739808,46.76,58.18,74.91,80.3
