Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Error Code,Electronic Energy (HF)
ADOSBU_1_protonated,DLPNO-CCSD(T),cc-pVTZ,889.0,0.0,1.0,273.19,111.0,8.0,,Error termination in LEANSCF,
AMUDIX_1,DLPNO-CCSD(T),cc-pVTZ,2271.0,0.0,1.0,608.67,45234.2,8.0,305139.0,,-2006.530219113393
AYEYAG_1,DLPNO-CCSD(T),cc-pVTZ,1177.0,0.0,1.0,397.97,34090.4,4.0,26673.0,,-1548.18781871549
BORMAL_1,DLPNO-CCSD(T),cc-pVTZ,833.0,0.0,1.0,281.89,19519.2,4.0,13372.0,,-1093.061295596544
BOTLAX_3,DLPNO-CCSD(T),cc-pVTZ,1862.0,0.0,1.0,630.51,45120.6,8.0,244863.0,,-3064.5711090901
CAWXUV_2,DLPNO-CCSD(T),cc-pVTZ,1890.0,0.0,1.0,549.5,45089.1,8.0,184806.0,,-2073.658983051367
CEKLUZ_5_protonated,DLPNO-CCSD(T),cc-pVTZ,1701.0,0.0,1.0,572.23,28389.5,8.0,143088.0,,-2660.66044926022
CERXOM,DLPNO-CCSD(T),cc-pVTZ,1283.0,0.0,1.0,380.32,76668.3,4.0,108179.0,,-1264.457901498903
DHDIUL_5,DLPNO-CCSD(T),cc-pVTZ,1167.0,0.0,1.0,362.21,37220.8,4.0,36063.0,,-1377.010588563631
DIVPIH_4_protonated,DLPNO-CCSD(T),cc-pVTZ,1241.0,0.0,1.0,399.25,48987.3,4.0,31300.0,,-1460.944179949679
EBEFIA_1,DLPNO-CCSD(T),cc-pVTZ,1552.0,0.0,1.0,433.49,31035.2,8.0,134726.0,,-1728.69285620074
ERYTHR_4,DLPNO-CCSD(T),cc-pVTZ,1535.0,0.0,1.0,406.43,28082.5,8.0,102664.0,,-1353.305452134987
GADKUV_1,DLPNO-CCSD(T),cc-pVTZ,1361.0,0.0,1.0,405.32,58585.9,4.0,34422.0,,-1398.88713333527
GLCTSM_3,DLPNO-CCSD(T),cc-pVTZ,818.0,0.0,1.0,265.08,20330.1,4.0,14190.0,,-1240.38670677721
GOHKUJ_1,DLPNO-CCSD(T),cc-pVTZ,1207.0,0.0,1.0,322.32,33576.6,4.0,36990.0,,-1083.124524767937
HIBYOG,DLPNO-CCSD(T),cc-pVTZ,1385.0,0.0,1.0,435.23,30595.4,8.0,61222.0,,-2143.430479020465
HOQWUG_1,DLPNO-CCSD(T),cc-pVTZ,1155.0,0.0,1.0,364.22,47760.3,4.0,31883.0,,-1301.137090873806
HOSLEH_4,DLPNO-CCSD(T),cc-pVTZ,1439.0,0.0,1.0,446.28,17314.6,8.0,49232.0,,-1681.844720223269
HUZDEL_1,DLPNO-CCSD(T),cc-pVTZ,1051.0,0.0,1.0,292.25,31754.3,4.0,26583.0,,-1003.52052344446
ITINUU_4,DLPNO-CCSD(T),cc-pVTZ,1957.0,0.0,1.0,629.44,36671.1,8.0,290843.0,,-2327.457376376526
IWIMUW_1,DLPNO-CCSD(T),cc-pVTZ,1520.0,0.0,1.0,459.45,35043.9,8.0,207713.0,,-1832.977725384227
IWUCUY,DLPNO-CCSD(T),cc-pVTZ,1379.0,0.0,1.0,380.36,32832.2,4.0,29368.0,,-1306.987435137434
JAZVIP10_1,DLPNO-CCSD(T),cc-pVTZ,1007.0,0.0,1.0,345.31,33666.4,4.0,24011.0,,-1838.659299584357
JIZBUS_3,DLPNO-CCSD(T),cc-pVTZ,1523.0,0.0,1.0,428.39,28828.6,8.0,118474.0,,-1462.802826461606
JUFXIU_1,DLPNO-CCSD(T),cc-pVTZ,2115.0,0.0,1.0,586.58,43592.9,8.0,146517.0,,-2000.985261350495
JUJVIT,DLPNO-CCSD(T),cc-pVTZ,1187.0,0.0,1.0,334.28,40276.1,4.0,25127.0,,-1155.836917757019
KUNNOW,DLPNO-CCSD(T),cc-pVTZ,1368.0,0.0,1.0,410.76,24623.5,8.0,58037.0,,-1767.384821270893
LIYRUG_3,DLPNO-CCSD(T),cc-pVTZ,1187.0,0.0,1.0,346.25,35361.3,4.0,36699.0,,-1267.157213559767
LOGLAU_1_protonated,DLPNO-CCSD(T),cc-pVTZ,983.0,0.0,1.0,459.66,25068.6,4.0,21455.0,,-4039.750114776306
MAWGEY_1,DLPNO-CCSD(T),cc-pVTZ,2107.0,0.0,1.0,564.62,42577.6,8.0,309484.0,,-1852.821201694595
MCRZMA_4,DLPNO-CCSD(T),cc-pVTZ,1295.0,0.0,1.0,390.27,35081.9,4.0,31710.0,,-1451.560903399081
MDXSPP_4,DLPNO-CCSD(T),cc-pVTZ,909.0,0.0,1.0,257.21,32897.3,4.0,19853.0,,-866.829683967925
MICGIP_1,DLPNO-CCSD(T),cc-pVTZ,1795.0,0.0,1.0,524.44,28317.9,8.0,182019.0,,-1875.182677833354
MMALTS_2_protonated,DLPNO-CCSD(T),cc-pVTZ,1223.0,0.0,1.0,362.25,36863.3,4.0,29509.0,,-1342.275701417473
PXCHTR10_1,DLPNO-CCSD(T),cc-pVTZ,1223.0,0.0,1.0,346.29,40457.9,4.0,36954.0,,-1193.886245909586
QASZOA_1,DLPNO-CCSD(T),cc-pVTZ,1173.0,0.0,1.0,549.29,29043.5,4.0,26227.0,,-3562.045539475753
QILCOF_4,DLPNO-CCSD(T),cc-pVTZ,1439.0,0.0,1.0,418.36,30187.5,8.0,119048.0,,-1418.312691462682
RALYIN_1,DLPNO-CCSD(T),cc-pVTZ,1303.0,0.0,1.0,384.3,26645.1,8.0,54748.0,,-1343.865680969029
ROFGOJ_5,DLPNO-CCSD(T),cc-pVTZ,1919.0,0.0,1.0,584.44,44407.9,8.0,168949.0,,-2103.791056888036
SOKTIW_3,DLPNO-CCSD(T),cc-pVTZ,1716.0,0.0,1.0,477.54,32746.2,8.0,87912.0,,-1882.356208139555
TEGYEJ_1,DLPNO-CCSD(T),cc-pVTZ,1283.0,0.0,1.0,392.3,54434.9,4.0,96565.0,,-1371.920815367652
TIBWOQ_1_protonated,DLPNO-CCSD(T),cc-pVTZ,875.0,0.0,1.0,274.17,34048.7,4.0,18830.0,,-988.911864354341
UFATED_1,DLPNO-CCSD(T),cc-pVTZ,2049.0,0.0,1.0,614.33,42983.7,8.0,270670.0,,-2086.313588953
UGIBES_1,DLPNO-CCSD(T),cc-pVTZ,1851.0,0.0,1.0,508.52,44978.9,8.0,305781.0,,-1695.840632398297
URPOAD10_5,DLPNO-CCSD(T),cc-pVTZ,1786.0,0.0,1.0,579.35,34147.7,8.0,227750.0,,-2369.449276243628
UXADUV_4,DLPNO-CCSD(T),cc-pVTZ,967.0,0.0,1.0,294.18,35449.7,4.0,26173.0,,-1073.995003264505
XALKUQ_3,DLPNO-CCSD(T),cc-pVTZ,1623.0,0.0,1.0,478.37,24254.3,8.0,68231.0,,-1762.668605073555
XOPMIB_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1106.0,0.0,1.0,369.16,39050.2,4.0,27645.0,,-1611.276628032528
XUDFUX_2,DLPNO-CCSD(T),cc-pVTZ,1118.0,0.0,1.0,346.28,36803.8,4.0,30662.0,,-1549.365393285849
ZIFBOI_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1398.0,0.0,1.0,416.42,35336.3,8.0,50541.0,,-1664.517770379027
