Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ADOSBU_1_protonated,M062X,def2-SVP,326.0,-1.0,1.0,266.25,593.8,8.0,9067.0,-962.00694235,-961.74788083,0.05827829,-961.80615911,27.08,41.91,60.32,109.23
AMUDIX_1,M062X,def2-SVP,847.0,-1.0,1.0,601.73,3253.1,8.0,146430.0,-2000.0620364,-1999.21883356,0.10779702,-1999.32663058,19.77,31.63,34.52,41.61
AYEYAG_1,M062X,def2-SVP,438.0,-1.0,1.0,391.03,1150.3,8.0,25073.0,-1541.28837193,-1540.98898971,0.07591568,-1541.06490539,29.95,35.63,46.51,58.91
BORMAL_1,M062X,def2-SVP,306.0,-1.0,1.0,274.95,493.7,8.0,6037.0,-1085.98885135,-1085.7839744,0.05863319,-1085.8426076,52.97,66.68,76.0,79.67
BOTLAX_3,M062X,def2-SVP,686.0,-1.0,1.0,623.57,3346.2,8.0,43114.0,-3058.90780691,-3058.42218852,0.08689294,-3058.50908145,32.77,36.02,52.79,58.8
CAWXUV_2,M062X,def2-SVP,701.0,-1.0,1.0,542.56,838.2,8.0,165847.0,-2067.42330799,-2066.80522929,0.1004332,-2066.90566249,-102.53,16.52,27.34,36.73
CEKLUZ_5_protonated,M062X,def2-SVP,627.0,-1.0,1.0,565.29,2965.6,8.0,42741.0,-2654.48473547,-2654.00040907,0.09069566,-2654.09110472,33.92,38.02,43.44,49.98
CERXOM,M062X,def2-SVP,477.0,-1.0,1.0,373.38,1489.4,8.0,28388.0,-1257.72202072,-1257.35046243,0.07389693,-1257.42435936,18.92,39.44,62.58,67.93
DHDIUL_5,M062X,def2-SVP,431.0,-1.0,1.0,355.27,1271.5,8.0,14645.0,-1370.0162114,-1369.64639531,0.06822641,-1369.71462172,35.03,50.76,62.39,79.52
DIVPIH_4_protonated,M062X,def2-SVP,462.0,-1.0,1.0,392.31,859.8,8.0,61085.0,-1454.14939856,-1453.81412652,0.0737849,-1453.88791142,16.0,27.01,35.45,38.04
EBEFIA_1,M062X,def2-SVP,570.0,-1.0,1.0,426.55,2498.3,8.0,34906.0,-1722.14648705,-1721.5980605,0.08041068,-1721.67847118,24.38,37.21,50.01,57.72
ERYTHR_4,M062X,def2-SVP,567.0,-1.0,1.0,399.49,2535.9,8.0,33271.0,-1346.4671915,-1345.88887366,0.07768872,-1345.96656239,42.98,75.25,82.55,101.81
GADKUV_1,M062X,def2-SVP,506.0,-1.0,1.0,398.38,1733.3,8.0,35395.0,-1392.12767119,-1391.71512081,0.07726605,-1391.79238686,23.81,31.27,35.55,43.34
GLCTSM_3,M062X,def2-SVP,293.0,-1.0,1.0,258.14,476.2,8.0,10370.0,-1233.46701363,-1233.22090231,0.05914757,-1233.28004988,38.8,67.68,76.67,112.27
GOHKUJ_1,M062X,def2-SVP,443.0,-1.0,1.0,315.38,1370.3,8.0,16865.0,-1076.12495066,-1075.67564898,0.07024253,-1075.74589151,40.55,74.48,90.44,109.07
HIBYOG,M062X,def2-SVP,505.0,-1.0,1.0,428.29,1911.1,8.0,41160.0,-2137.22228564,-2136.80606905,0.07809361,-2136.88416266,15.88,26.55,47.68,48.98
HOQWUG_1,M062X,def2-SVP,429.0,-1.0,1.0,357.28,1123.4,8.0,18321.0,-1294.3323725,-1294.02178737,0.06981107,-1294.09159845,20.72,44.45,51.6,78.0
HOSLEH_4,M062X,def2-SVP,535.0,-1.0,1.0,439.34,2019.0,8.0,40082.0,-1674.98679788,-1674.53578132,0.08221261,-1674.61799393,39.38,54.14,63.74,72.96
HUZDEL_1,M062X,def2-SVP,385.0,-1.0,1.0,285.31,947.0,8.0,12618.0,-996.45416274,-996.0896944,0.06486676,-996.15456116,27.94,41.07,60.42,66.89
ITINUU_4,M062X,def2-SVP,736.0,-1.0,1.0,622.5,3300.4,8.0,59652.0,-2320.98990217,-2320.43624557,0.10827704,-2320.54452261,26.03,33.77,36.18,38.76
IWIMUW_1,M062X,def2-SVP,562.0,-1.0,1.0,452.51,2278.2,8.0,43212.0,-1826.60977376,-1826.15888803,0.0856803,-1826.24456832,25.62,37.78,53.41,61.19
IWUCUY,M062X,def2-SVP,509.0,-1.0,1.0,373.42,1888.1,8.0,28577.0,-1300.11078689,-1299.61568275,0.08382365,-1299.6995064,22.36,34.67,53.19,58.01
JAZVIP10_1,M062X,def2-SVP,362.0,-1.0,1.0,338.37,741.4,8.0,11394.0,-1832.16188432,-1831.89867485,0.06307561,-1831.96175046,27.97,62.9,79.88,81.2
JIZBUS_3,M062X,def2-SVP,565.0,-1.0,1.0,421.45,2424.4,8.0,24649.0,-1456.05336204,-1455.52567215,0.07930872,-1455.60498087,16.77,29.73,38.63,44.05
JUFXIU_1,M062X,def2-SVP,789.0,-1.0,1.0,579.64,3273.8,8.0,96733.0,-1994.44821194,-1993.69373317,0.10517741,-1993.79891058,23.86,25.5,35.79,41.97
JUJVIT,M062X,def2-SVP,437.0,-1.0,1.0,327.34,1294.2,8.0,13926.0,-1148.86735284,-1148.45285609,0.06898524,-1148.52184132,38.87,43.71,62.8,71.95
KUNNOW,M062X,def2-SVP,502.0,-1.0,1.0,403.82,1790.7,8.0,21636.0,-1760.80564652,-1760.35592292,0.07804096,-1760.43396388,35.33,49.31,55.79,67.13
LIYRUG_3,M062X,def2-SVP,437.0,-1.0,1.0,339.31,1279.4,8.0,21551.0,-1260.13675059,-1259.72651819,0.07007887,-1259.79659706,41.92,43.09,64.29,72.09
