Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ADOSBU_1_protonated,M062X,def2-TZVP,661.0,-1.0,1.0,266.25,1665.5,16.0,58911.0,-963.12128005,-962.86304126,0.05985514,-962.9228964,26.53,43.07,59.58,85.0
AMUDIX_1,M062X,def2-TZVP,1627.0,-1.0,1.0,601.73,1483.8,16.0,832987.0,-2002.33075145,-2001.48772272,0.10832954,-2001.59605226,17.63,21.54,31.24,44.51
AYEYAG_1,M062X,def2-TZVP,909.0,-1.0,1.0,391.03,1586.2,16.0,154722.0,-1543.07563806,-1542.77790411,0.07693374,-1542.85483785,26.15,29.39,47.96,51.95
BORMAL_1,M062X,def2-TZVP,637.0,-1.0,1.0,274.95,1675.1,16.0,42303.0,-1087.25029992,-1087.0467452,0.05941886,-1087.10616406,43.14,62.92,68.38,80.14
BOTLAX_3,M062X,def2-TZVP,1409.0,-1.0,1.0,623.57,1527.5,16.0,760450.0,-3061.56981051,-3061.08603966,0.08879248,-3061.17483214,21.52,30.99,46.54,51.06
CAWXUV_2,M062X,def2-TZVP,1382.0,-1.0,1.0,542.56,1443.3,14.0,502149.0,-2069.5072198,-2068.88916498,0.10237575,-2068.99154073,24.51,31.59,40.39,47.0
CEKLUZ_5_protonated,M062X,def2-TZVP,1266.0,-1.0,1.0,565.29,1512.7,16.0,264896.0,-2657.10163756,-2656.61916457,0.09313775,-2656.71230233,27.24,32.12,37.51,39.15
CERXOM,M062X,def2-TZVP,970.0,-1.0,1.0,373.38,1593.4,16.0,184561.0,-1259.12974562,-1258.75907595,0.07435204,-1258.833428,20.04,36.8,47.98,68.43
DHDIUL_5,M062X,def2-TZVP,858.0,-1.0,1.0,355.27,1620.8,16.0,120692.0,-1371.62213413,-1371.25386239,0.07002142,-1371.32388382,33.75,45.11,64.03,87.17
DIVPIH_4_protonated,M062X,def2-TZVP,952.0,-1.0,1.0,392.31,1594.0,16.0,136846.0,-1455.81741464,-1455.48425276,0.07456309,-1455.55881586,22.0,31.18,37.56,40.0
EBEFIA_1,M062X,def2-TZVP,1097.0,-1.0,1.0,426.55,1570.0,16.0,278603.0,-1723.84437239,-1723.29555896,0.08145488,-1723.37701384,16.93,25.45,41.77,49.13
ERYTHR_4,M062X,def2-TZVP,1078.0,-1.0,1.0,399.49,1571.7,16.0,305256.0,-1348.00508871,-1347.42529754,0.0780428,-1347.50334034,39.66,75.4,82.35,106.68
GADKUV_1,M062X,def2-TZVP,1019.0,-1.0,1.0,398.38,1567.3,16.0,191838.0,-1393.71154655,-1393.30014431,0.07843362,-1393.37857793,24.99,31.61,38.06,45.17
GLCTSM_3,M062X,def2-TZVP,580.0,-1.0,1.0,258.14,1602.7,16.0,73508.0,-1234.69467798,-1234.44987779,0.0597785,-1234.5096563,40.56,57.08,76.57,95.49
GOHKUJ_1,M062X,def2-TZVP,844.0,-1.0,1.0,315.38,1623.6,16.0,96436.0,-1077.36637238,-1076.91740006,0.07069797,-1076.98809804,48.46,67.71,77.1,104.32
HIBYOG,M062X,def2-TZVP,1006.0,-1.0,1.0,428.29,1564.6,16.0,335744.0,-2138.91880933,-2138.50354528,0.07917886,-2138.58272414,8.4,27.35,41.03,45.32
HOQWUG_1,M062X,def2-TZVP,884.0,-1.0,1.0,357.28,1596.9,16.0,152941.0,-1295.8069048,-1295.49798737,0.07019575,-1295.56818312,21.95,48.2,48.43,72.08
HOSLEH_4,M062X,def2-TZVP,1068.0,-1.0,1.0,439.34,1553.3,16.0,269954.0,-1676.93068199,-1676.48141377,0.08314114,-1676.56455491,38.72,50.11,62.24,69.09
HUZDEL_1,M062X,def2-TZVP,746.0,-1.0,1.0,285.31,1649.6,16.0,85742.0,-997.60762165,-997.24324792,0.06603153,-997.30927945,30.19,38.61,52.97,64.42
ITINUU_4,M062X,def2-TZVP,1508.0,-1.0,1.0,622.5,1491.2,16.0,457167.0,-2323.64883446,-2323.09819945,0.11093748,-2323.20913693,23.06,27.65,30.63,31.91
IWIMUW_1,M062X,def2-TZVP,1130.0,-1.0,1.0,452.51,1550.7,16.0,269864.0,-1828.35354374,-1827.90396799,0.08665001,-1827.990618,25.48,29.34,49.52,51.54
IWUCUY,M062X,def2-TZVP,980.0,-1.0,1.0,373.42,1591.6,16.0,191203.0,-1301.60928531,-1301.11464938,0.0856577,-1301.20030708,17.52,28.5,44.99,46.87
JAZVIP10_1,M062X,def2-TZVP,735.0,-1.0,1.0,338.37,1633.6,16.0,72866.0,-1833.706197,-1833.44286219,0.06359771,-1833.50645989,23.63,42.39,66.35,79.23
JIZBUS_3,M062X,def2-TZVP,1104.0,-1.0,1.0,421.45,1546.3,16.0,333499.0,-1457.71869286,-1457.19224942,0.07961659,-1457.27186601,15.96,24.67,29.48,36.02
JUFXIU_1,M062X,def2-TZVP,1529.0,-1.0,1.0,579.64,1499.6,16.0,649339.0,-1996.72384587,-1995.96964466,0.10634699,-1996.07599165,24.59,27.76,36.92,41.68
JUJVIT,M062X,def2-TZVP,851.0,-1.0,1.0,327.34,1622.0,16.0,126475.0,-1150.19309658,-1149.78006919,0.06932115,-1149.84939034,41.22,46.06,65.31,73.5
KUNNOW,M062X,def2-TZVP,987.0,-1.0,1.0,403.82,1589.4,16.0,174658.0,-1762.46079276,-1762.01287464,0.0785149,-1762.09138954,35.05,45.48,48.2,50.15
LIYRUG_3,M062X,def2-TZVP,851.0,-1.0,1.0,339.31,1618.7,16.0,115573.0,-1261.61101815,-1261.20189079,0.07161826,-1261.27350905,40.68,44.84,56.07,75.46
LOGLAU_1_protonated,M062X,def2-TZVP,686.0,-1.0,1.0,452.72,1653.5,16.0,82487.0,-4037.1547705,-4037.0345448,0.07016906,-4037.10471386,41.46,57.79,70.77,104.82
MAWGEY_1,M062X,def2-TZVP,1510.0,-1.0,1.0,557.68,1492.7,16.0,1087261.0,-1848.43109774,-1847.66034753,0.10743589,-1847.76778342,27.66,39.21,46.49,48.09
