Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ADOSBU_1_protonated,WB97M-D3BJ,def2-TZVP,661.0,-1.0,1.0,266.25,2131.0,8.0,70594.0,-963.76940545,-963.51225846,0.06021206,-963.57247052,21.56,38.74,57.06,70.83
AMUDIX_1,WB97M-D3BJ,def2-TZVP,1627.0,-1.0,1.0,601.73,4173.2,8.0,974892.0,-2003.76775367,-2002.926089,0.10917095,-2003.03525995,16.04,22.24,33.2,45.42
AYEYAG_1,WB97M-D3BJ,def2-TZVP,909.0,-1.0,1.0,391.03,2753.9,8.0,149936.0,-1544.06394256,-1543.76778464,0.07854121,-1543.84632585,22.04,26.92,28.39,30.96
BORMAL_1,WB97M-D3BJ,def2-TZVP,637.0,-1.0,1.0,274.95,1845.4,8.0,43398.0,-1087.93908637,-1087.73683975,0.06019354,-1087.79703328,24.5,57.36,64.44,75.31
BOTLAX_3,WB97M-D3BJ,def2-TZVP,1409.0,-1.0,1.0,623.57,4209.9,8.0,1085082.0,-3063.061564,-3062.57886319,0.08895794,-3062.66782112,29.31,31.74,45.59,50.91
CAWXUV_2,WB97M-D3BJ,def2-TZVP,1382.0,-1.0,1.0,542.56,4224.6,8.0,609686.0,-2070.78824332,-2070.17221876,0.10266789,-2070.27488665,-31.0,8.52,20.75,32.05
CEKLUZ_5_protonated,WB97M-D3BJ,def2-TZVP,1266.0,-1.0,1.0,565.29,2588.1,8.0,326978.0,-2658.48498294,-2658.00539999,0.0941802,-2658.09958019,22.23,26.51,33.94,34.88
CERXOM,WB97M-D3BJ,def2-TZVP,970.0,-1.0,1.0,373.38,2676.1,8.0,163045.0,-1260.02689187,-1259.6572417,0.07496467,-1259.73220637,19.72,32.19,43.79,56.65
DHDIUL_5,WB97M-D3BJ,def2-TZVP,858.0,-1.0,1.0,355.27,2747.7,8.0,132020.0,-1372.49167662,-1372.12624866,0.07052735,-1372.196776,34.64,45.16,57.14,85.13
DIVPIH_4_protonated,WB97M-D3BJ,def2-TZVP,952.0,-1.0,1.0,392.31,2739.3,8.0,133639.0,-1456.78676376,-1456.45343597,0.07512842,-1456.5285644,14.64,29.05,35.35,50.52
EBEFIA_1,WB97M-D3BJ,def2-TZVP,1097.0,-1.0,1.0,426.55,2651.6,8.0,196516.0,-1724.85356076,-1724.30605268,0.08232694,-1724.38837962,12.85,17.82,37.87,46.05
ERYTHR_4,WB97M-D3BJ,def2-TZVP,1078.0,-1.0,1.0,399.49,2651.7,8.0,255301.0,-1348.94378289,-1348.36484616,0.07875456,-1348.44360072,42.47,71.98,79.78,102.89
GADKUV_1,WB97M-D3BJ,def2-TZVP,1019.0,-1.0,1.0,398.38,2680.8,8.0,207487.0,-1394.67238898,-1394.26228608,0.07932613,-1394.34161221,20.68,29.35,33.51,50.0
GLCTSM_3,WB97M-D3BJ,def2-TZVP,580.0,-1.0,1.0,258.14,1603.8,8.0,75967.0,-1235.31891943,-1235.07609882,0.06401606,-1235.14011488,19.23,20.72,29.26,54.05
GOHKUJ_1,WB97M-D3BJ,def2-TZVP,844.0,-1.0,1.0,315.38,2750.7,8.0,126876.0,-1078.1188249,-1077.67141467,0.07258503,-1077.7439997,50.38,62.2,71.52,80.15
HIBYOG,WB97M-D3BJ,def2-TZVP,1006.0,-1.0,1.0,428.29,2681.7,8.0,393096.0,-2139.90233123,-2139.48790811,0.07820696,-2139.56611507,27.49,38.87,47.84,54.21
HOQWUG_1,WB97M-D3BJ,def2-TZVP,884.0,-1.0,1.0,357.28,2750.1,8.0,124594.0,-1296.6848912,-1296.37641089,0.07093333,-1296.44734423,19.07,44.33,45.28,65.21
HOSLEH_4,WB97M-D3BJ,def2-TZVP,1068.0,-1.0,1.0,439.34,2645.4,8.0,269610.0,-1678.00904753,-1677.56185072,0.08414571,-1677.64599643,34.91,45.38,54.14,65.66
HUZDEL_1,WB97M-D3BJ,def2-TZVP,746.0,-1.0,1.0,285.31,2786.1,8.0,89607.0,-998.32331143,-997.95924097,0.06657145,-998.02581242,31.69,38.61,52.92,66.14
ITINUU_4,WB97M-D3BJ,def2-TZVP,1508.0,-1.0,1.0,622.5,2569.7,8.0,470063.0,-2325.19533835,-2324.64751363,0.11229387,-2324.7598075,25.51,27.69,30.19,32.14
IWIMUW_1,WB97M-D3BJ,def2-TZVP,1130.0,-1.0,1.0,452.51,2625.9,8.0,310852.0,-1829.42605464,-1828.9772457,0.08723766,-1829.06448336,26.2,30.72,46.74,49.74
IWUCUY,WB97M-D3BJ,def2-TZVP,980.0,-1.0,1.0,373.42,2679.6,8.0,274964.0,-1302.50969774,-1302.01642307,0.08617188,-1302.10259494,17.52,27.18,44.49,52.36
JAZVIP10_1,WB97M-D3BJ,def2-TZVP,735.0,-1.0,1.0,338.37,2706.4,8.0,94122.0,-1834.52560392,-1834.26302825,0.06405693,-1834.32708518,19.72,37.28,67.79,78.06
