Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF)
ADOSBU_1_protonated,DLPNO-CCSD(T),cc-pVTZ,852.0,-1.0,1.0,266.25,35776.1,4.0,17688.0,-961.568019750129
AMUDIX_1,DLPNO-CCSD(T),cc-pVTZ,2234.0,-1.0,1.0,601.73,46162.7,8.0,174348.0,-1999.066551011403
AYEYAG_1,DLPNO-CCSD(T),cc-pVTZ,1140.0,-1.0,1.0,391.03,29398.1,4.0,28943.0,-1540.737346723929
BORMAL_1,DLPNO-CCSD(T),cc-pVTZ,796.0,-1.0,1.0,274.95,18167.5,4.0,13491.0,-1085.592890468645
BOTLAX_3,DLPNO-CCSD(T),cc-pVTZ,1825.0,-1.0,1.0,623.57,46734.1,8.0,100570.0,-3057.109894744899
CAWXUV_2,DLPNO-CCSD(T),cc-pVTZ,1853.0,-1.0,1.0,542.56,46488.0,8.0,109107.0,-2066.182611652427
CEKLUZ_5_protonated,DLPNO-CCSD(T),cc-pVTZ,1664.0,-1.0,1.0,565.29,25895.9,8.0,75051.0,-2653.230897471373
CERXOM,DLPNO-CCSD(T),cc-pVTZ,1246.0,-1.0,1.0,373.38,83985.6,4.0,114376.0,-1256.980530174001
DHDIUL_5,DLPNO-CCSD(T),cc-pVTZ,1130.0,-1.0,1.0,355.27,37364.1,4.0,27867.0,-1369.558021995045
DIVPIH_4_protonated,DLPNO-CCSD(T),cc-pVTZ,1204.0,-1.0,1.0,392.31,48810.7,4.0,34196.0,-1453.500491731027
EBEFIA_1,DLPNO-CCSD(T),cc-pVTZ,1515.0,-1.0,1.0,426.55,30418.5,8.0,132788.0,-1721.226551651132
ERYTHR_4,DLPNO-CCSD(T),cc-pVTZ,1498.0,-1.0,1.0,399.49,26957.0,8.0,91919.0,-1345.841171496199
GADKUV_1,DLPNO-CCSD(T),cc-pVTZ,1324.0,-1.0,1.0,398.38,60630.6,4.0,37687.0,-1391.420237416546
GLCTSM_3,DLPNO-CCSD(T),cc-pVTZ,781.0,-1.0,1.0,258.14,16472.8,4.0,8199.0,-1232.920057228194
GOHKUJ_1,DLPNO-CCSD(T),cc-pVTZ,1170.0,-1.0,1.0,315.38,32727.5,4.0,36475.0,-1075.651036825222
HIBYOG,DLPNO-CCSD(T),cc-pVTZ,1348.0,-1.0,1.0,428.29,56679.2,4.0,101337.0,-2135.958877441972
HOQWUG_1,DLPNO-CCSD(T),cc-pVTZ,1118.0,-1.0,1.0,357.28,40230.9,4.0,28257.0,-1293.703273724515
HOSLEH_4,DLPNO-CCSD(T),cc-pVTZ,1402.0,-1.0,1.0,439.34,16579.7,8.0,56630.0,-1674.370985736351
HUZDEL_1,DLPNO-CCSD(T),cc-pVTZ,1014.0,-1.0,1.0,285.31,28230.6,4.0,20820.0,-996.048173457477
ITINUU_4,DLPNO-CCSD(T),cc-pVTZ,1920.0,-1.0,1.0,622.5,37343.2,8.0,179864.0,-2319.999216882413
IWIMUW_1,DLPNO-CCSD(T),cc-pVTZ,1483.0,-1.0,1.0,452.51,38372.9,8.0,100375.0,-1825.503978981389
IWUCUY,DLPNO-CCSD(T),cc-pVTZ,1342.0,-1.0,1.0,373.42,31937.8,4.0,28025.0,-1299.543034654423
JAZVIP10_1,DLPNO-CCSD(T),cc-pVTZ,970.0,-1.0,1.0,338.37,35363.2,4.0,25831.0,-1831.176255993292
JIZBUS_3,DLPNO-CCSD(T),cc-pVTZ,1486.0,-1.0,1.0,421.45,25528.5,8.0,61269.0,-1455.357520859454
JUFXIU_1,DLPNO-CCSD(T),cc-pVTZ,2078.0,-1.0,1.0,579.64,42279.3,8.0,226048.0,-1993.522606675307
JUJVIT,DLPNO-CCSD(T),cc-pVTZ,1150.0,-1.0,1.0,327.34,41326.0,4.0,24483.0,-1148.346068868646
KUNNOW,DLPNO-CCSD(T),cc-pVTZ,1331.0,-1.0,1.0,403.82,48180.1,4.0,31228.0,-1759.903628665243
LIYRUG_3,DLPNO-CCSD(T),cc-pVTZ,1150.0,-1.0,1.0,339.31,33867.7,4.0,24337.0,-1259.683286424492
LOGLAU_1_protonated,DLPNO-CCSD(T),cc-pVTZ,946.0,-1.0,1.0,452.72,25485.0,4.0,17551.0,-4032.316024559813
MAWGEY_1,DLPNO-CCSD(T),cc-pVTZ,2070.0,-1.0,1.0,557.68,40898.2,8.0,320213.0,-1845.381620016936
MCRZMA_4,DLPNO-CCSD(T),cc-pVTZ,1258.0,-1.0,1.0,383.33,35888.5,4.0,29561.0,-1444.077712488373
MDXSPP_4,DLPNO-CCSD(T),cc-pVTZ,872.0,-1.0,1.0,250.27,28228.1,4.0,11948.0,-859.356164931558
MICGIP_1,DLPNO-CCSD(T),cc-pVTZ,1758.0,-1.0,1.0,517.5,27212.7,8.0,142920.0,-1867.701863315272
MMALTS_2_protonated,DLPNO-CCSD(T),cc-pVTZ,1186.0,-1.0,1.0,355.31,35168.0,4.0,34892.0,-1334.827069756789
PXCHTR10_1,DLPNO-CCSD(T),cc-pVTZ,1186.0,-1.0,1.0,339.35,38637.6,4.0,33013.0,-1186.403991894067
QASZOA_1,DLPNO-CCSD(T),cc-pVTZ,1136.0,-1.0,1.0,542.35,25220.3,4.0,21176.0,-3554.614336398798
QILCOF_4,DLPNO-CCSD(T),cc-pVTZ,1402.0,-1.0,1.0,411.42,29847.0,8.0,69450.0,-1410.836285345951
SOKTIW_3,DLPNO-CCSD(T),cc-pVTZ,1679.0,-1.0,1.0,470.6,35639.2,8.0,197305.0,-1874.868456825321
TEGYEJ_1,DLPNO-CCSD(T),cc-pVTZ,1246.0,-1.0,1.0,385.36,66689.1,4.0,175261.0,-1364.427634903113
TIBWOQ_1_protonated,DLPNO-CCSD(T),cc-pVTZ,838.0,-1.0,1.0,267.23,34334.9,4.0,18925.0,-981.452478753921
UFATED_1,DLPNO-CCSD(T),cc-pVTZ,2012.0,-1.0,1.0,607.39,41934.0,8.0,261471.0,-2078.854062961688
URPOAD10_5,DLPNO-CCSD(T),cc-pVTZ,1749.0,-1.0,1.0,572.41,36189.4,8.0,132697.0,-2361.998414808804
UXADUV_4,DLPNO-CCSD(T),cc-pVTZ,930.0,-1.0,1.0,287.24,33237.4,4.0,21370.0,-1066.534757310201
XALKUQ_3,DLPNO-CCSD(T),cc-pVTZ,1586.0,-1.0,1.0,471.43,25009.7,8.0,81204.0,-1755.194003735518
XOPMIB_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1069.0,-1.0,1.0,362.22,37985.6,4.0,26850.0,-1603.823094883594
XUDFUX_2,DLPNO-CCSD(T),cc-pVTZ,1081.0,-1.0,1.0,339.34,32710.9,4.0,25265.0,-1541.900055149603
ZIFBOI_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1361.0,-1.0,1.0,409.48,37945.7,8.0,82289.0,-1657.068720012081
