Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ARFMAD_1,M062X,def2-SVP,449.0,-1.0,1.0,357.28,1322.6,8.0,28270.0,-1255.2941701,-1254.92314419,0.06810111,-1254.9912453,31.78,45.61,62.32,88.13
BAGNIG,M062X,def2-SVP,549.0,-1.0,1.0,407.39,2214.1,8.0,27107.0,-1312.40578858,-1311.9325722,0.07822446,-1312.01079666,35.67,48.3,53.73,69.99
BOTFEW_5,M062X,def2-SVP,442.0,-1.0,1.0,396.96,1170.8,8.0,26278.0,-1548.33845266,-1548.04924656,0.07458034,-1548.1238269,34.38,48.58,62.74,64.03
CATGUB_1,M062X,def2-SVP,330.0,-1.0,1.0,272.18,607.9,8.0,10541.0,-969.02927405,-968.77980657,0.05829979,-968.83810636,44.92,72.58,93.76,128.3
CEMYUP_1,M062X,def2-SVP,423.0,-1.0,1.0,311.28,1205.1,8.0,14108.0,-1077.13713765,-1076.72338433,0.06557004,-1076.78895437,40.09,53.34,76.29,88.77
CIBBAQ_1,M062X,def2-SVP,373.0,-1.0,1.0,392.99,730.7,8.0,25585.0,-2049.41328531,-2049.22927804,0.06462521,-2049.29390325,65.91,87.5,97.43,97.94
CMXPIC10,M062X,def2-SVP,515.0,-1.0,1.0,411.3,1823.3,8.0,18563.0,-1457.32866401,-1456.91224095,0.08260224,-1456.99484318,11.51,13.74,41.0,43.72
DEHQOW_1,M062X,def2-SVP,335.0,-1.0,1.0,271.19,635.1,8.0,13177.0,-952.99272567,-952.73185403,0.05929953,-952.79115356,42.26,71.15,79.21,92.11
DEMXEY_3,M062X,def2-SVP,368.0,-1.0,1.0,302.2,797.7,8.0,10821.0,-1083.47213947,-1083.18787944,0.06384881,-1083.25172824,45.95,62.01,86.79,104.78
EGAPIO_2,M062X,def2-SVP,507.0,-1.0,1.0,403.28,1833.1,8.0,39545.0,-1494.77478736,-1494.32585365,0.07867018,-1494.40452383,36.07,44.26,50.71,62.99
EJEDUS,M062X,def2-SVP,521.0,-1.0,1.0,387.37,1956.2,8.0,21874.0,-1269.49551168,-1269.03667861,0.0785084,-1269.11518701,20.81,26.52,38.99,48.27
EVULEO02_4,M062X,def2-SVP,351.0,-1.0,1.0,265.2,752.5,8.0,54684.0,-926.11010733,-925.79278207,0.0673866,-925.86016866,23.31,38.95,46.97,75.71
FEVVEI,M062X,def2-SVP,651.0,-1.0,1.0,497.48,3183.0,8.0,41232.0,-1574.86649489,-1574.36368911,0.08451295,-1574.44820205,20.35,23.64,35.12,50.91
FIYDIA_4,M062X,def2-SVP,278.0,-1.0,1.0,249.06,420.2,8.0,13778.0,-1185.18032467,-1184.96389592,0.0559716,-1185.01986752,74.18,85.53,115.02,137.0
FODNUK_2,M062X,def2-SVP,427.0,-1.0,1.0,329.25,1203.4,8.0,21691.0,-1191.99728152,-1191.60365768,0.06939158,-1191.67304927,38.24,46.55,73.98,86.54
FUCWIJ_1,M062X,def2-SVP,354.0,-1.0,1.0,286.2,726.3,8.0,10211.0,-1008.26899527,-1007.98861975,0.06091587,-1008.04953562,39.65,59.5,91.88,110.26
GUANSH10_4,M062X,def2-SVP,344.0,-1.0,1.0,288.18,667.3,8.0,14611.0,-1044.15417143,-1043.89896176,0.05933791,-1043.95829967,46.02,55.83,88.29,104.01
HECCAT_1,M062X,def2-SVP,381.0,-1.0,1.0,331.27,852.0,8.0,9441.0,-1464.27004973,-1463.99269105,0.0637407,-1464.05643175,43.88,52.38,74.11,105.96
HIPADS_1,M062X,def2-SVP,416.0,-1.0,1.0,330.26,1103.1,8.0,15947.0,-1161.97024937,-1161.62651988,0.06809536,-1161.69461524,54.44,66.19,85.05,86.93
HOSLOR_1_protonated,M062X,def2-SVP,539.0,-1.0,1.0,445.28,2094.0,8.0,32918.0,-1682.04265541,-1681.59774109,0.08584032,-1681.68358141,4.8,33.01,46.18,48.52
IJUTUF_1,M062X,def2-SVP,349.0,-1.0,1.0,287.2,696.7,8.0,10848.0,-1024.34563168,-1024.07856004,0.06164182,-1024.14020186,39.19,59.49,88.32,121.98
