Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ARFMAD_1,M062X,def2-TZVP,897.0,-1.0,1.0,357.28,1600.2,16.0,213651.0,-1256.73120652,-1256.36066634,0.06984625,-1256.43051259,40.87,46.21,55.68,74.07
BAGNIG,M062X,def2-TZVP,1088.0,-1.0,1.0,407.39,1574.3,16.0,197512.0,-1313.85910637,-1313.38629997,0.07772497,-1313.46402494,40.14,54.91,60.33,70.53
BOTFEW_5,M062X,def2-TZVP,917.0,-1.0,1.0,396.96,1589.1,16.0,102115.0,-1550.12063806,-1549.83418974,0.07590334,-1549.91009308,36.3,39.96,47.67,63.55
CATGUB_1,M062X,def2-TZVP,669.0,-1.0,1.0,272.18,1652.8,16.0,80029.0,-970.14024055,-969.89145511,0.0589783,-969.95043341,47.69,71.73,87.76,124.89
CEMYUP_1,M062X,def2-TZVP,809.0,-1.0,1.0,311.28,1630.9,16.0,129526.0,-1078.38105829,-1077.96701891,0.06607226,-1078.03309118,40.33,50.83,74.75,88.12
CIBBAQ_1,M062X,def2-TZVP,794.0,-1.0,1.0,392.99,1631.8,16.0,112524.0,-2051.31023841,-2051.12812219,0.06816569,-2051.19628788,50.43,55.2,66.9,86.77
CMXPIC10,M062X,def2-TZVP,1033.0,-1.0,1.0,411.3,1562.2,16.0,160246.0,-1458.99164006,-1458.57678646,0.08201645,-1458.65880291,12.7,22.48,38.14,56.74
DEHQOW_1,M062X,def2-TZVP,675.0,-1.0,1.0,271.19,1671.0,16.0,63921.0,-954.08241894,-953.82198463,0.05885182,-953.88083646,47.23,71.78,87.02,122.38
DEMXEY_3,M062X,def2-TZVP,743.0,-1.0,1.0,302.2,1643.6,16.0,103122.0,-1084.71620988,-1084.43232809,0.06355927,-1084.49588736,50.62,60.87,85.21,103.42
EGAPIO_2,M062X,def2-TZVP,995.0,-1.0,1.0,403.28,1582.6,16.0,274889.0,-1496.51054732,-1496.06361667,0.08157447,-1496.14519114,24.24,38.25,40.9,46.84
EJEDUS,M062X,def2-TZVP,1026.0,-1.0,1.0,387.37,1571.8,16.0,164897.0,-1270.91551573,-1270.45738013,0.07905038,-1270.53643051,24.95,26.81,38.3,46.08
EVULEO02_4,M062X,def2-TZVP,680.0,-1.0,1.0,265.2,1653.7,16.0,62985.0,-927.18271606,-926.86564329,0.06844131,-926.9340846,27.47,34.61,51.03,62.27
FEVVEI,M062X,def2-TZVP,1324.0,-1.0,1.0,497.48,1508.0,16.0,336546.0,-1576.58402067,-1576.08243312,0.08467144,-1576.16710456,22.98,26.24,35.98,48.3
FIYDIA_4,M062X,def2-TZVP,551.0,-1.0,1.0,249.06,1412.5,16.0,42076.0,-1186.33272678,-1186.1170102,0.05682081,-1186.173831,70.23,83.41,115.53,130.43
FODNUK_2,M062X,def2-TZVP,828.0,-1.0,1.0,329.25,1622.8,16.0,174080.0,-1193.38411978,-1192.99107066,0.07087355,-1193.06194421,41.58,46.47,66.86,88.88
FUCWIJ_1,M062X,def2-TZVP,712.0,-1.0,1.0,286.2,1638.9,16.0,63438.0,-1009.42407274,-1009.14436725,0.06119546,-1009.20556271,45.33,59.62,77.72,112.16
GUANSH10_4,M062X,def2-TZVP,700.0,-1.0,1.0,288.18,2413.2,8.0,64910.0,-1045.35559238,-1045.10043583,0.05959626,-1045.16003209,35.93,53.43,85.0,96.95
HECCAT_1,M062X,def2-TZVP,774.0,-1.0,1.0,331.27,1634.0,16.0,80947.0,-1465.62634472,-1465.34954471,0.06398072,-1465.41352543,44.58,47.69,71.24,105.71
HIPADS_1,M062X,def2-TZVP,829.0,-1.0,1.0,330.26,1620.4,16.0,115433.0,-1163.30278206,-1162.95981641,0.06908635,-1163.02890276,51.5,59.97,83.39,85.36
HOSLOR_1_protonated,M062X,def2-TZVP,1076.0,-1.0,1.0,445.28,1545.4,16.0,162134.0,-1683.99123755,-1683.54796831,0.08595459,-1683.6339229,14.93,44.66,47.15,49.3
IJUTUF_1,M062X,def2-TZVP,706.0,-1.0,1.0,287.2,1647.2,16.0,66094.0,-1025.52045346,-1025.25400588,0.06206205,-1025.31606793,41.95,62.07,81.68,121.43
INOSIN11_1,M062X,def2-TZVP,663.0,-1.0,1.0,273.16,1663.5,16.0,56349.0,-990.01960642,-989.7826246,0.057551,-989.84017561,53.47,71.82,88.63,129.01
JAWJIA_1,M062X,def2-TZVP,774.0,-1.0,1.0,318.2,1634.4,16.0,84061.0,-1159.95935079,-1159.6697055,0.06682133,-1159.73652683,43.07,54.55,75.13,85.77
JEXZER01_1,M062X,def2-TZVP,859.0,-1.0,1.0,349.24,1610.3,16.0,117663.0,-1305.7792336,-1305.37838279,0.07232726,-1305.45071005,39.28,61.19,84.54,98.74
JEYDAS_4_protonated,M062X,def2-TZVP,582.0,-1.0,1.0,265.06,1595.5,8.0,34408.0,-1261.54489726,-1261.32558627,0.06065567,-1261.38624194,30.55,49.5,70.47,114.51
KEHZAY_1,M062X,def2-TZVP,780.0,-1.0,1.0,334.27,1636.7,16.0,102518.0,-1482.90503574,-1482.61688884,0.06794289,-1482.68483172,45.92,57.12,75.15,85.11
KEKBUZ,M062X,def2-TZVP,971.0,-1.0,1.0,423.18,1584.5,16.0,174760.0,-1988.35405435,-1987.98347292,0.07758685,-1988.06105976,19.67,28.92,46.63,61.73
KEYGUT,M062X,def2-TZVP,1286.0,-1.0,1.0,485.47,4008.3,8.0,697204.0,-1576.9928306,-1576.46200814,0.09376627,-1576.5557744,9.61,16.48,17.86,28.34
LOZFEL_2,M062X,def2-TZVP,1346.0,-1.0,1.0,515.49,1511.1,16.0,632028.0,-1772.43246467,-1771.78116778,0.08979455,-1771.87096233,28.68,30.09,49.6,59.52
MODVOR_1,M062X,def2-TZVP,890.0,-1.0,1.0,361.25,1598.6,16.0,119537.0,-1343.85416168,-1343.44792127,0.07484747,-1343.52276873,24.61,36.05,58.29,65.36
NAYDUO,M062X,def2-TZVP,1280.0,-1.0,1.0,498.42,2570.9,8.0,264267.0,-1708.19998503,-1707.68429146,0.09552905,-1707.77982051,24.03,26.39,28.72,45.06
NUKXAS_1,M062X,def2-TZVP,1150.0,-1.0,1.0,443.41,1537.8,16.0,371730.0,-1489.99606069,-1489.50827297,0.08201454,-1489.59028752,14.07,22.37,33.66,40.26
OWOSOK_1,M062X,def2-TZVP,804.0,-1.0,1.0,329.2,1627.0,16.0,109399.0,-1228.12005852,-1227.77173651,0.06729625,-1227.83903276,25.11,41.93,55.86,81.96
RUMXUV_1,M062X,def2-TZVP,737.0,-1.0,1.0,320.25,1639.3,16.0,73939.0,-1443.60356419,-1443.3454767,0.06485114,-1443.41032784,33.92,57.88,66.67,78.95
SHOMYC_1,M062X,def2-TZVP,564.0,-1.0,1.0,234.11,1435.1,16.0,45121.0,-862.24873429,-862.04661919,0.05536656,-862.10198576,56.31,86.73,93.06,130.9
SITMIR_1,M062X,def2-TZVP,978.0,-1.0,1.0,391.3,1567.4,16.0,203433.0,-1369.89681364,-1369.53158488,0.07429713,-1369.60588201,25.08,36.1,43.01,56.22
SITVIA_1,M062X,def2-TZVP,718.0,-1.0,1.0,285.21,1650.5,16.0,72294.0,-993.37120187,-993.08061719,0.06191982,-993.14253702,46.89,61.46,75.63,105.47
TISGIL,M062X,def2-TZVP,1138.0,-1.0,1.0,425.42,1558.7,16.0,290291.0,-1347.9319381,-1347.47168844,0.08144855,-1347.55313699,27.4,27.78,38.83,42.66
VATGON_1,M062X,def2-TZVP,1050.0,-1.0,1.0,415.34,1571.1,16.0,209959.0,-1496.111073,-1495.60508266,0.0824453,-1495.68752796,39.36,50.07,60.34,69.46
VIYJEU,M062X,def2-TZVP,1176.0,-1.0,1.0,469.34,1529.4,16.0,327993.0,-1644.64262287,-1644.21844512,0.08700957,-1644.30545469,15.43,24.66,35.18,36.46
WEKKUT_3,M062X,def2-TZVP,866.0,-1.0,1.0,341.28,1605.2,16.0,125343.0,-1181.52261935,-1181.15801195,0.06883036,-1181.22684231,33.31,47.49,61.9,78.09
XEBQAY_1,M062X,def2-TZVP,1198.0,-1.0,1.0,475.39,1540.1,16.0,262220.0,-1728.95961025,-1728.38577805,0.08921551,-1728.47499356,23.04,33.25,41.63,45.54
XENSUH,M062X,def2-TZVP,1002.0,-1.0,1.0,397.79,1564.7,16.0,143772.0,-1615.78975792,-1615.39293236,0.07611028,-1615.46904264,19.88,31.47,42.65,48.84
XIYTEG,M062X,def2-TZVP,1112.0,-1.0,1.0,415.42,1557.0,16.0,259239.0,-1349.54036202,-1349.02306033,0.08387318,-1349.10693351,19.74,22.64,26.8,37.45
XOPMIB_3,M062X,def2-TZVP,836.0,-1.0,1.0,368.16,1618.9,16.0,109888.0,-1613.26512198,-1612.976429,0.06988349,-1613.04631249,30.17,44.33,68.63,80.59
XUQJEZ_2,M062X,def2-TZVP,879.0,-1.0,1.0,348.27,1602.4,16.0,98972.0,-1201.18375953,-1200.84893123,0.06883835,-1200.91776958,39.79,46.41,50.72,65.33
YEPNUC_1_protonated,M062X,def2-TZVP,1236.0,-1.0,1.0,503.35,1551.0,16.0,509037.0,-1877.12553674,-1876.58842344,0.09259332,-1876.68101677,29.55,38.6,45.21,61.81
YOXFOG_1,M062X,def2-TZVP,847.0,-1.0,1.0,347.22,1606.3,16.0,149391.0,-1304.58973179,-1304.21161933,0.06947642,-1304.28109575,44.82,52.32,64.03,80.14
YUJYEI_3,M062X,def2-TZVP,1077.0,-1.0,1.0,458.25,1571.8,16.0,342651.0,-1768.5167749,-1768.1283394,0.08019902,-1768.20853842,26.51,36.53,45.99,51.35
ZAYTOI_1,M062X,def2-TZVP,706.0,-1.0,1.0,287.19,1642.1,16.0,64951.0,-1029.32016107,-1029.05353575,0.06094773,-1029.11448348,45.07,61.82,77.75,118.88
