Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
ARFMAD_1,WB97M-D3BJ,def2-TZVP,897.0,-1.0,1.0,357.28,4423.8,8.0,206402.0,-1257.5794394,-1257.20981464,0.06973889,-1257.27955353,38.48,40.9,65.85,69.27,
BAGNIG,WB97M-D3BJ,def2-TZVP,1088.0,-1.0,1.0,407.39,2637.6,8.0,204665.0,-1314.7936495,-1314.3222251,0.07825974,-1314.40048484,35.96,53.64,56.3,68.95,
BOTFEW_5,WB97M-D3BJ,def2-TZVP,917.0,-1.0,1.0,396.96,2683.5,8.0,120519.0,-1551.10802276,-1550.82133363,0.076723,-1550.89805663,22.14,29.0,43.07,57.92,
CATGUB_1,WB97M-D3BJ,def2-TZVP,669.0,-1.0,1.0,272.18,2181.5,8.0,58393.0,-970.78855632,-970.54097459,0.05971078,-970.60068538,43.64,69.8,85.14,120.63,
CEMYUP_1,WB97M-D3BJ,def2-TZVP,809.0,-1.0,1.0,311.28,2707.5,8.0,105045.0,-1079.10366925,-1078.69128043,0.06684887,-1078.75812929,37.69,48.9,71.29,86.25,
CIBBAQ_1,WB97M-D3BJ,def2-TZVP,794.0,-1.0,1.0,392.99,2706.2,8.0,80171.0,-2052.28611718,-2052.10546768,0.06923268,-2052.17470035,21.07,47.75,66.5,82.04,
CMXPIC10,WB97M-D3BJ,def2-TZVP,1033.0,-1.0,1.0,411.3,2616.3,8.0,165137.0,-1459.96781664,-1459.5548976,0.08267736,-1459.63757496,15.87,20.12,36.88,54.58,
DEHQOW_1,WB97M-D3BJ,def2-TZVP,675.0,-1.0,1.0,271.19,2446.6,8.0,69654.0,-954.7234695,-954.46412982,0.05907782,-954.52320764,42.37,70.02,86.55,121.83,
DEMXEY_3,WB97M-D3BJ,def2-TZVP,743.0,-1.0,1.0,302.2,2741.1,8.0,100741.0,-1085.44094568,-1085.15820886,0.06392527,-1085.22213413,44.23,58.3,82.45,100.35,
EGAPIO_2,WB97M-D3BJ,def2-TZVP,995.0,-1.0,1.0,403.28,2621.1,8.0,207946.0,-1497.47627707,-1497.03149224,0.08198492,-1497.11347715,23.7,34.96,39.48,50.08,
EJEDUS,WB97M-D3BJ,def2-TZVP,1026.0,-1.0,1.0,387.37,2611.6,8.0,163261.0,-1271.81155645,-1271.35482343,0.07991785,-1271.43474128,21.16,22.1,37.64,46.03,
EVULEO02_4,WB97M-D3BJ,def2-TZVP,680.0,-1.0,1.0,265.2,2495.8,8.0,92819.0,-927.82146588,-927.50518601,0.06712471,-927.57231073,21.21,26.45,42.58,68.37,
FEVVEI,WB97M-D3BJ,def2-TZVP,1324.0,-1.0,1.0,497.48,1543.4,16.0,155943.0,-1577.6584108,-1577.15954389,0.08606503,-1577.24560892,17.54,20.51,30.53,41.37,
FIYDIA_4,WB97M-D3BJ,def2-TZVP,551.0,-1.0,1.0,249.06,1407.6,8.0,48979.0,-1186.92598271,-1186.71143539,0.05751203,-1186.76894742,46.35,66.85,107.79,120.83,
FODNUK_2,WB97M-D3BJ,def2-TZVP,828.0,-1.0,1.0,329.25,2710.6,8.0,146115.0,-1194.16287359,-1193.77207555,0.07179214,-1193.84386769,33.84,44.74,60.87,79.45,
FUCWIJ_1,WB97M-D3BJ,def2-TZVP,712.0,-1.0,1.0,286.2,2673.8,8.0,78953.0,-1010.10156428,-1009.82323396,0.06168266,-1009.88491662,41.6,57.15,77.38,108.0,
GUANSH10_4,WB97M-D3BJ,def2-TZVP,700.0,-1.0,1.0,288.18,2419.9,8.0,84117.0,-1046.04969519,-1045.79583724,0.06033051,-1045.85616775,27.71,50.76,79.64,94.9,
HECCAT_1,WB97M-D3BJ,def2-TZVP,774.0,-1.0,1.0,331.27,2730.8,8.0,78983.0,-1466.40587718,-1466.13036934,0.06446194,-1466.19483128,42.0,44.3,69.31,103.6,
HIPADS_1,WB97M-D3BJ,def2-TZVP,829.0,-1.0,1.0,330.26,2704.3,8.0,114322.0,-1164.08755855,-1163.74608307,0.07015091,-1163.81623398,49.6,58.64,80.55,83.99,
HOSLOR_1_protonated,WB97M-D3BJ,def2-TZVP,1076.0,-1.0,1.0,445.28,1554.5,16.0,117093.0,-1684.96469261,-1684.52335231,0.08549383,-1684.60884613,31.02,45.81,49.26,58.03,
IJUTUF_1,WB97M-D3BJ,def2-TZVP,706.0,-1.0,1.0,287.2,2480.5,8.0,67989.0,-1026.20716541,-1025.94181748,0.0624157,-1026.00423318,38.07,61.9,82.23,120.28,
INOSIN11_1,WB97M-D3BJ,def2-TZVP,663.0,-1.0,1.0,273.16,2105.7,8.0,64079.0,-990.67448542,-990.43872317,0.05800463,-990.4967278,49.38,70.05,84.7,122.35,
JAWJIA_1,WB97M-D3BJ,def2-TZVP,774.0,-1.0,1.0,318.2,2725.6,8.0,162961.0,-1160.72690879,-1160.43825323,0.06803527,-1160.5062885,35.87,47.72,62.75,73.69,
JEXZER01_1,WB97M-D3BJ,def2-TZVP,859.0,-1.0,1.0,349.24,2691.5,8.0,145713.0,-1306.61429624,-1306.21605363,0.07301945,-1306.28907308,37.11,58.4,79.46,90.48,
JEYDAS_4_protonated,WB97M-D3BJ,def2-TZVP,582.0,-1.0,1.0,265.06,1592.9,8.0,27972.0,-1262.17836145,-1261.96030822,0.06076048,-1262.02106869,47.53,55.47,72.01,113.83,
KEHZAY_1,WB97M-D3BJ,def2-TZVP,780.0,-1.0,1.0,334.27,2730.9,8.0,123343.0,-1483.69460541,-1483.40748012,0.06881516,-1483.47629528,39.89,43.35,56.05,69.3,
KEKBUZ,WB97M-D3BJ,def2-TZVP,971.0,-1.0,1.0,423.18,2630.4,8.0,272615.0,-1989.35026791,-1988.980866,0.07836952,-1989.05923553,18.58,26.16,40.73,57.1,
KEYGUT,WB97M-D3BJ,def2-TZVP,1286.0,-1.0,1.0,485.47,4198.2,8.0,278602.0,-1578.12159028,-1577.59234527,0.09350571,-1577.68585098,15.69,15.92,35.11,37.96,
LOZFEL_2,,,,,,,,,,,,,,,,,,.OUT File not found
MODVOR_1,WB97M-D3BJ,def2-TZVP,890.0,-1.0,1.0,361.25,2694.7,8.0,157631.0,-1344.71650629,-1344.31245902,0.07548604,-1344.38794506,24.74,33.51,42.48,55.55,
NAYDUO,WB97M-D3BJ,def2-TZVP,1280.0,-1.0,1.0,498.42,4182.4,8.0,492431.0,-1709.39033141,-1708.87591179,0.09667255,-1708.97258434,20.89,23.68,24.87,35.77,
NUKXAS_1,WB97M-D3BJ,def2-TZVP,1150.0,-1.0,1.0,443.41,2575.5,8.0,243466.0,-1491.04200531,-1490.55568836,0.08307399,-1490.63876235,10.51,19.63,19.99,33.04,
OWOSOK_1,WB97M-D3BJ,def2-TZVP,804.0,-1.0,1.0,329.2,2718.5,8.0,132813.0,-1228.90628733,-1228.56004331,0.06802033,-1228.62806365,22.19,38.01,53.29,74.58,
RUMXUV_1,WB97M-D3BJ,def2-TZVP,737.0,-1.0,1.0,320.25,2711.2,8.0,165628.0,-1444.3645577,-1444.10706756,0.06465708,-1444.17172463,42.32,54.57,74.94,82.5,
SHOMYC_1,WB97M-D3BJ,def2-TZVP,564.0,-1.0,1.0,234.11,1442.1,8.0,42293.0,-862.81486031,-862.61371536,0.05573445,-862.66944981,52.38,84.13,89.25,127.79,
SITMIR_1,WB97M-D3BJ,def2-TZVP,978.0,-1.0,1.0,391.3,2625.5,8.0,168060.0,-1370.83075616,-1370.46684304,0.07517826,-1370.5420213,21.17,27.8,40.96,50.57,
SITVIA_1,WB97M-D3BJ,def2-TZVP,718.0,-1.0,1.0,285.21,2670.4,8.0,66807.0,-994.04174514,-993.75270295,0.06222643,-993.81492938,42.05,59.38,72.39,101.6,
TISGIL,WB97M-D3BJ,def2-TZVP,1138.0,-1.0,1.0,425.42,2577.2,8.0,236025.0,-1348.91677111,-1348.45760217,0.08214098,-1348.53974315,20.16,26.32,40.88,43.46,
VATGON_1,WB97M-D3BJ,def2-TZVP,1050.0,-1.0,1.0,415.34,1555.5,16.0,100600.0,-1496.97135818,-1496.46881145,0.08460166,-1496.55341311,28.14,38.79,51.08,56.68,
