Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF)
ARFMAD_1,DLPNO-CCSD(T),cc-pVTZ,1189.0,-1.0,1.0,357.28,50482.6,4.0,32106.0,-1254.675413822847
BAGNIG,DLPNO-CCSD(T),cc-pVTZ,1453.0,-1.0,1.0,407.39,45050.5,8.0,123466.0,-1311.574129897741
BOTFEW_5,DLPNO-CCSD(T),cc-pVTZ,1163.0,-1.0,1.0,396.96,33556.6,4.0,33395.0,-1547.74359034833
CATGUB_1,DLPNO-CCSD(T),cc-pVTZ,875.0,-1.0,1.0,272.18,37048.3,4.0,19114.0,-968.55421745359
CEMYUP_1,DLPNO-CCSD(T),cc-pVTZ,1129.0,-1.0,1.0,311.28,33724.2,4.0,30254.0,-1076.658178923051
CIBBAQ_1,DLPNO-CCSD(T),cc-pVTZ,1003.0,-1.0,1.0,392.99,28462.6,4.0,28460.0,-2048.359104643807
CMXPIC10,DLPNO-CCSD(T),cc-pVTZ,1361.0,-1.0,1.0,411.3,24494.0,8.0,45652.0,-1456.611163922393
DEHQOW_1,DLPNO-CCSD(T),cc-pVTZ,889.0,-1.0,1.0,271.19,38435.2,4.0,19640.0,-952.512316398569
DEMXEY_3,DLPNO-CCSD(T),cc-pVTZ,975.0,-1.0,1.0,302.2,39214.9,4.0,27076.0,-1082.95746763458
EGAPIO_2,DLPNO-CCSD(T),cc-pVTZ,1345.0,-1.0,1.0,403.28,22606.5,8.0,76098.0,-1494.203844586412
EJEDUS,DLPNO-CCSD(T),cc-pVTZ,1381.0,-1.0,1.0,387.37,30237.3,8.0,56977.0,-1268.744210371076
EVULEO02_4,DLPNO-CCSD(T),cc-pVTZ,937.0,-1.0,1.0,265.2,25111.2,4.0,18714.0,-925.709329072535
FEVVEI,DLPNO-CCSD(T),cc-pVTZ,1713.0,-1.0,1.0,497.48,45029.5,8.0,156517.0,-1573.745166694168
FIYDIA_4,DLPNO-CCSD(T),cc-pVTZ,754.0,-1.0,1.0,249.06,20774.6,4.0,11359.0,-1184.612480680322
FODNUK_2,DLPNO-CCSD(T),cc-pVTZ,1137.0,-1.0,1.0,329.25,35332.7,4.0,29245.0,-1191.52715745538
FUCWIJ_1,DLPNO-CCSD(T),cc-pVTZ,939.0,-1.0,1.0,286.2,39251.7,4.0,23515.0,-1007.769148261838
GUANSH10_4,DLPNO-CCSD(T),cc-pVTZ,911.0,-1.0,1.0,288.18,42364.9,4.0,25818.0,-1043.666027670714
HECCAT_1,DLPNO-CCSD(T),cc-pVTZ,1020.0,-1.0,1.0,331.27,45388.7,4.0,30410.0,-1463.430136566907
HIPADS_1,DLPNO-CCSD(T),cc-pVTZ,1103.0,-1.0,1.0,330.26,45701.6,4.0,48405.0,-1161.412362001633
HOSLOR_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1425.0,-1.0,1.0,445.28,17479.6,8.0,62045.0,-1681.393691362852
