Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ARFMAD_1,M062X,def2-SVP,440.0,-2.0,1.0,350.34,1244.1,8.0,18767.0,-1247.78590201,-1247.42039132,0.06798775,-1247.48837908,32.87,41.78,48.44,57.35
BAGNIG,M062X,def2-SVP,540.0,-2.0,1.0,400.45,2102.4,8.0,43482.0,-1304.88561545,-1304.41618954,0.07901079,-1304.49520033,18.6,36.53,43.07,45.6
BOTFEW_5,M062X,def2-SVP,433.0,-2.0,1.0,390.02,1112.0,8.0,15488.0,-1540.83981643,-1540.55529024,0.07319315,-1540.62848339,31.41,35.1,51.38,58.39
CEMYUP_1,M062X,def2-SVP,414.0,-2.0,1.0,304.34,1142.5,8.0,21743.0,-1069.59654226,-1069.18702935,0.06488166,-1069.251911,37.16,50.54,71.41,89.19
CIBBAQ_1,M062X,def2-SVP,364.0,-2.0,1.0,386.05,683.2,8.0,7664.0,-2041.9457558,-2041.76457399,0.06289332,-2041.8274673,66.53,70.79,90.86,97.63
CMXPIC10,M062X,def2-SVP,506.0,-2.0,1.0,404.36,1752.5,8.0,21238.0,-1449.8133946,-1449.40056541,0.08034298,-1449.4809084,14.79,19.02,23.17,31.52
DEHQOW_1,M062X,def2-SVP,326.0,-2.0,1.0,264.25,600.2,8.0,15072.0,-945.44291021,-945.18627252,0.05521372,-945.24148624,31.61,58.97,80.24,122.38
DEMXEY_3,M062X,def2-SVP,359.0,-2.0,1.0,295.26,748.9,8.0,9302.0,-1075.96394328,-1075.68444179,0.06145443,-1075.74589622,34.77,47.86,62.48,116.69
EGAPIO_2,M062X,def2-SVP,498.0,-2.0,1.0,396.34,1732.4,8.0,21253.0,-1487.26424391,-1486.8188217,0.07604039,-1486.89486209,36.87,47.59,53.18,64.82
EJEDUS,M062X,def2-SVP,512.0,-2.0,1.0,380.43,1855.0,8.0,16156.0,-1261.96122153,-1261.50673453,0.07910211,-1261.58583664,14.39,21.78,25.33,32.11
EVULEO02_4,M062X,def2-SVP,342.0,-2.0,1.0,258.26,708.8,8.0,16641.0,-918.60682363,-918.29311504,0.06411689,-918.35723193,39.14,51.67,60.49,74.2
FEVVEI,M062X,def2-SVP,642.0,-2.0,1.0,490.54,3117.9,8.0,31277.0,-1567.33137013,-1566.83349914,0.08569613,-1566.91919527,14.31,21.16,27.86,29.96
FIYDIA_4,M062X,def2-SVP,269.0,-2.0,1.0,242.12,387.0,8.0,6943.0,-1177.67820768,-1177.4666998,0.05523509,-1177.52193488,38.32,70.55,93.13,115.02
FODNUK_2,M062X,def2-SVP,418.0,-2.0,1.0,322.31,1144.2,8.0,24249.0,-1184.49666898,-1184.10725519,0.06845313,-1184.17570832,25.07,37.01,47.42,70.6
FUCWIJ_1,M062X,def2-SVP,345.0,-2.0,1.0,279.26,688.3,8.0,15040.0,-1000.70994867,-1000.43683174,0.05762339,-1000.49445513,50.61,55.2,71.89,109.26
GUANSH10_4,M062X,def2-SVP,335.0,-2.0,1.0,281.24,625.7,8.0,14035.0,-1036.64230846,-1036.39220368,0.05724077,-1036.44944445,32.89,49.2,80.01,114.96
HIPADS_1,M062X,def2-SVP,407.0,-2.0,1.0,323.32,1041.5,8.0,11357.0,-1154.41640208,-1154.07849105,0.06508763,-1154.14357868,38.13,53.23,70.24,82.18
HOSLOR_1_protonated,M062X,def2-SVP,530.0,-2.0,1.0,438.34,1953.1,8.0,24713.0,-1674.52323521,-1674.08598495,0.08381945,-1674.1698044,16.68,34.64,38.3,47.5
IJUTUF_1,M062X,def2-SVP,340.0,-2.0,1.0,280.26,655.9,8.0,13602.0,-1016.82102568,-1016.55934762,0.05958082,-1016.61892844,31.07,48.89,71.44,108.23
INOSIN11_1,M062X,def2-SVP,316.0,-2.0,1.0,266.22,545.7,8.0,7006.0,-981.33764897,-981.10580144,0.05408432,-981.15988576,54.86,61.32,81.63,127.9
JAWJIA_1,M062X,def2-SVP,373.0,-2.0,1.0,311.26,819.1,8.0,18747.0,-1151.1208812,-1150.83530964,0.06409498,-1150.89940462,27.72,48.07,57.69,74.36
JEXZER01_1,M062X,def2-SVP,432.0,-2.0,1.0,342.3,1230.7,8.0,14876.0,-1296.74092043,-1296.34416144,0.07045101,-1296.41461246,17.56,25.6,38.2,58.69
JEYDAS_4_protonated,M062X,def2-SVP,283.0,-2.0,1.0,258.12,430.4,8.0,6018.0,-1252.86092939,-1252.64293941,0.05520866,-1252.69814807,65.11,73.2,78.48,96.42
KEHZAY_1,M062X,def2-SVP,377.0,-2.0,1.0,327.33,834.2,8.0,13668.0,-1474.0103051,-1473.72531192,0.06552858,-1473.79084051,37.06,51.35,81.63,87.57
KEKBUZ,M062X,def2-SVP,476.0,-2.0,1.0,416.24,1473.5,8.0,27612.0,-1979.00768659,-1978.64058126,0.07696563,-1978.71754689,33.7,40.16,47.66,59.43
KEYGUT,M062X,def2-SVP,634.0,-2.0,1.0,478.53,3120.3,8.0,24188.0,-1567.71043948,-1567.18287331,0.09266391,-1567.27553722,11.16,18.34,24.13,29.54
LOZFEL_2,M062X,def2-SVP,684.0,-2.0,1.0,508.55,3335.5,8.0,64479.0,-1762.92120515,-1762.27815777,0.08522257,-1762.36338034,17.02,28.7,42.42,55.55
MODVOR_1,M062X,def2-SVP,446.0,-2.0,1.0,354.31,1324.0,8.0,18075.0,-1334.76965703,-1334.36587517,0.06967424,-1334.43554941,27.77,38.05,63.19,84.39
NUKXAS_1,M062X,def2-SVP,568.0,-2.0,1.0,436.47,2378.9,8.0,22849.0,-1480.77436607,-1480.29021259,0.07864707,-1480.36885966,14.11,26.45,32.75,36.77
OWOSOK_1,M062X,def2-SVP,398.0,-2.0,1.0,322.26,985.8,8.0,11830.0,-1219.18680107,-1218.84348889,0.06350034,-1218.90698922,38.98,46.62,50.66,68.96
RUMXUV_1,M062X,def2-SVP,353.0,-2.0,1.0,313.31,703.6,8.0,14515.0,-1434.7341112,-1434.47842362,0.06019374,-1434.53861736,48.08,57.35,71.95,113.37
SITVIA_1,M062X,def2-SVP,350.0,-2.0,1.0,278.27,710.5,8.0,10991.0,-984.67905177,-984.3925916,0.05944021,-984.4520318,25.6,35.29,67.29,81.39
TISGIL,M062X,def2-SVP,558.0,-2.0,1.0,418.48,2237.3,8.0,24457.0,-1338.91901149,-1338.46281759,0.08149301,-1338.5443106,16.6,22.87,28.86,36.34
VATGON_1,M062X,def2-SVP,532.0,-2.0,1.0,408.4,2069.7,8.0,23120.0,-1486.84753383,-1486.34501854,0.08584967,-1486.43086821,14.18,40.41,45.39,49.47
VIYJEU,M062X,def2-SVP,566.0,-2.0,1.0,462.4,869.2,8.0,38174.0,-1635.26619337,-1634.84456839,0.08907378,-1634.93364217,11.31,13.9,18.45,28.38
WEKKUT_3,M062X,def2-SVP,426.0,-2.0,1.0,334.34,1161.1,8.0,21205.0,-1172.62962607,-1172.2698314,0.064793,-1172.33462441,50.17,55.1,60.84,76.91
XEBQAY_1,M062X,def2-SVP,608.0,-2.0,1.0,468.45,2895.3,8.0,31960.0,-1719.46692838,-1718.8972794,0.08872222,-1718.98600161,21.59,22.52,30.97,39.84
XENSUH,M062X,def2-SVP,491.0,-2.0,1.0,390.85,1616.0,8.0,17255.0,-1606.81846163,-1606.4249093,0.07690792,-1606.50181721,16.45,19.52,25.91,31.52
XIYTEG,M062X,def2-SVP,560.0,-2.0,1.0,408.48,2360.6,8.0,34832.0,-1340.49986829,-1339.98656662,0.08446779,-1340.07103441,9.81,14.67,19.23,35.01
