Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ARFMAD_1,M062X,def2-TZVP,883.0,-2.0,1.0,350.34,1598.0,16.0,137450.0,-1249.23107862,-1248.86588745,0.0674241,-1248.93331155,36.34,41.85,55.89,65.64
BAGNIG,M062X,def2-TZVP,1074.0,-2.0,1.0,400.45,1562.3,16.0,277926.0,-1306.35118408,-1305.8829429,0.0794936,-1305.9624365,21.14,29.59,31.25,49.48
BOTFEW_5,M062X,def2-TZVP,903.0,-2.0,1.0,390.02,1588.2,16.0,100108.0,-1542.63375161,-1542.3507509,0.07407534,-1542.42482624,28.55,34.54,53.85,57.95
CEMYUP_1,M062X,def2-TZVP,795.0,-2.0,1.0,304.34,1631.4,16.0,111342.0,-1070.85424933,-1070.44375715,0.06585733,-1070.50961449,32.79,43.53,60.18,70.65
CIBBAQ_1,M062X,def2-TZVP,780.0,-2.0,1.0,386.05,1570.8,16.0,54309.0,-2043.854978,-2043.67527935,0.06297649,-2043.73825585,66.62,72.79,86.43,97.43
CMXPIC10,M062X,def2-TZVP,1019.0,-2.0,1.0,404.36,1574.3,16.0,228649.0,-1451.49654455,-1451.08553117,0.08062085,-1451.16615202,16.78,20.44,31.16,35.52
DEHQOW_1,M062X,def2-TZVP,661.0,-2.0,1.0,264.25,1654.0,16.0,56559.0,-946.54349823,-946.2867147,0.05586307,-946.34257776,35.77,48.51,94.46,104.07
DEMXEY_3,M062X,def2-TZVP,729.0,-2.0,1.0,295.26,1639.9,16.0,78827.0,-1077.21425366,-1076.93579946,0.06207606,-1076.99787552,28.85,50.35,61.71,116.49
EGAPIO_2,M062X,def2-TZVP,981.0,-2.0,1.0,396.34,1569.4,16.0,140186.0,-1489.00399755,-1488.56043801,0.0772421,-1488.63768012,36.54,45.1,57.54,63.92
EJEDUS,M062X,def2-TZVP,1012.0,-2.0,1.0,380.43,1575.4,16.0,120440.0,-1263.39287494,-1262.93949492,0.08033676,-1263.01983168,13.67,15.2,24.23,29.97
EVULEO02_4,M062X,def2-TZVP,666.0,-2.0,1.0,258.26,1655.1,16.0,92603.0,-919.69503624,-919.38123591,0.06514338,-919.44637929,24.93,33.47,50.67,61.58
FEVVEI,M062X,def2-TZVP,1310.0,-2.0,1.0,490.54,1526.0,16.0,285173.0,-1569.06298074,-1568.56615944,0.08560722,-1568.65176666,16.8,22.53,31.81,33.24
FIYDIA_4,M062X,def2-TZVP,537.0,-2.0,1.0,242.12,1318.6,16.0,45101.0,-1178.84588993,-1178.63511202,0.05564689,-1178.6907589,56.26,66.95,86.61,119.9
FODNUK_2,M062X,def2-TZVP,814.0,-2.0,1.0,322.31,1626.7,16.0,110342.0,-1185.89610571,-1185.50733768,0.06931521,-1185.57665289,25.52,45.12,54.58,74.56
FUCWIJ_1,M062X,def2-TZVP,698.0,-2.0,1.0,279.26,1648.4,16.0,89426.0,-1001.87350816,-1001.59939245,0.05854023,-1001.65793268,35.91,53.73,66.54,105.84
GUANSH10_4,M062X,def2-TZVP,686.0,-2.0,1.0,281.24,1654.2,16.0,53589.0,-1037.8551351,-1037.60444445,0.05772213,-1037.66216657,31.96,46.19,77.83,102.59
HIPADS_1,M062X,def2-TZVP,815.0,-2.0,1.0,323.32,1625.2,16.0,97593.0,-1155.75835747,-1155.41975459,0.06599253,-1155.48574713,49.27,53.6,67.26,78.87
HOSLOR_1_protonated,M062X,def2-TZVP,1062.0,-2.0,1.0,438.34,1546.6,16.0,158729.0,-1676.48542216,-1676.04983379,0.08419186,-1676.13402566,20.16,34.64,43.68,47.87
IJUTUF_1,M062X,def2-TZVP,692.0,-2.0,1.0,280.26,1651.0,16.0,93273.0,-1018.00561769,-1017.74426021,0.05972066,-1017.80398087,25.56,46.83,53.76,98.86
INOSIN11_1,M062X,def2-TZVP,649.0,-2.0,1.0,266.22,1660.1,16.0,51883.0,-982.48388091,-982.25122444,0.05462057,-982.30584501,55.51,64.82,84.99,125.01
JAWJIA_1,M062X,def2-TZVP,760.0,-2.0,1.0,311.26,1681.1,16.0,102517.0,-1152.45970731,-1152.1751263,0.06493061,-1152.24005691,30.08,44.91,59.72,65.86
JEXZER01_1,M062X,def2-TZVP,845.0,-2.0,1.0,342.3,1617.0,16.0,102706.0,-1298.27300945,-1297.87851108,0.07176832,-1297.95027941,21.8,29.52,37.71,54.09
JEYDAS_4_protonated,M062X,def2-TZVP,568.0,-2.0,1.0,258.12,1520.2,16.0,51855.0,-1254.11785459,-1253.90079723,0.05619273,-1253.95698997,53.16,61.45,71.08,82.29
KEHZAY_1,M062X,def2-TZVP,766.0,-2.0,1.0,327.33,1639.1,16.0,146279.0,-1475.40464077,-1475.12026894,0.06620796,-1475.1864769,29.58,41.77,70.89,78.4
KEKBUZ,M062X,def2-TZVP,957.0,-2.0,1.0,416.24,1591.9,16.0,336281.0,-1980.83330218,-1980.465691,0.07778442,-1980.54347542,24.05,27.56,42.81,45.22
KEYGUT,M062X,def2-TZVP,1272.0,-2.0,1.0,478.53,2580.4,8.0,190745.0,-1569.47021847,-1568.94383738,0.09367729,-1569.03751467,14.23,18.46,20.13,26.26
LOZFEL_2,M062X,def2-TZVP,1332.0,-2.0,1.0,508.55,1532.7,16.0,377737.0,-1764.94816514,-1764.302594,0.08648671,-1764.38908071,27.78,33.45,39.04,53.92
MODVOR_1,M062X,def2-TZVP,876.0,-2.0,1.0,354.31,2731.1,8.0,122354.0,-1336.34317724,-1335.94275845,0.07225964,-1336.0150181,29.18,35.4,45.65,63.0
NUKXAS_1,M062X,def2-TZVP,1136.0,-2.0,1.0,436.47,1542.5,16.0,187875.0,-1482.44833302,-1481.96508331,0.07912831,-1482.04421162,16.51,29.16,35.79,39.67
OWOSOK_1,M062X,def2-TZVP,790.0,-2.0,1.0,322.26,1642.7,16.0,117895.0,-1220.62896359,-1220.28701256,0.06451021,-1220.35152277,35.48,42.51,52.13,66.52
RUMXUV_1,M062X,def2-TZVP,723.0,-2.0,1.0,313.31,1647.6,16.0,118305.0,-1436.07452373,-1435.82029573,0.06066941,-1435.88096514,40.9,61.77,72.57,110.56
SITVIA_1,M062X,def2-TZVP,704.0,-2.0,1.0,278.27,1647.8,16.0,83661.0,-985.82873312,-985.54176883,0.05964285,-985.60141168,26.46,37.3,61.8,84.41
TISGIL,M062X,def2-TZVP,1124.0,-2.0,1.0,418.48,1548.7,16.0,192321.0,-1340.41108746,-1339.95551604,0.08184739,-1340.03736343,18.15,26.09,27.55,32.47
VATGON_1,M062X,def2-TZVP,1036.0,-2.0,1.0,408.4,1572.8,16.0,147005.0,-1488.59601213,-1488.09479174,0.08661075,-1488.18140249,8.46,31.34,34.51,43.58
VIYJEU,M062X,def2-TZVP,1162.0,-2.0,1.0,462.4,1540.1,16.0,185790.0,-1637.13746268,-1636.71726538,0.08859801,-1636.8058634,13.4,15.16,19.38,32.87
WEKKUT_3,M062X,def2-TZVP,852.0,-2.0,1.0,334.34,1618.4,16.0,164974.0,-1173.98282706,-1173.6224202,0.06586999,-1173.68829019,42.54,46.16,59.3,70.97
XEBQAY_1,M062X,def2-TZVP,1184.0,-2.0,1.0,468.45,1552.5,16.0,272087.0,-1721.48429981,-1720.91566047,0.08939124,-1721.00505171,22.03,26.57,34.18,44.59
XENSUH,M062X,def2-TZVP,988.0,-2.0,1.0,390.85,1567.1,16.0,118942.0,-1608.26392036,-1607.87128146,0.07695886,-1607.94824032,19.69,23.62,26.42,35.64
XIYTEG,M062X,def2-TZVP,1098.0,-2.0,1.0,408.48,1543.1,16.0,217897.0,-1342.01941558,-1341.50640408,0.08466024,-1341.59106432,9.49,20.0,24.42,33.24
XOPMIB_3,M062X,def2-TZVP,822.0,-2.0,1.0,361.22,1623.8,16.0,116497.0,-1605.74948818,-1605.46649531,0.0689744,-1605.5354697,16.88,29.15,48.1,57.12
YEPNUC_1_protonated,M062X,def2-TZVP,1222.0,-2.0,1.0,496.41,1550.5,16.0,258891.0,-1869.63963173,-1869.10477587,0.09023863,-1869.19501451,24.56,31.9,43.75,48.57
YOXFOG_1,M062X,def2-TZVP,833.0,-2.0,1.0,340.28,1615.2,16.0,111652.0,-1297.07963761,-1296.7076973,0.06935344,-1296.77705074,34.71,43.56,66.61,72.14
YUJYEI_3,M062X,def2-TZVP,1063.0,-2.0,1.0,451.31,1560.2,16.0,251875.0,-1761.00367506,-1760.62017839,0.0786928,-1760.69887119,32.12,33.04,42.06,46.34
ZAYTOI_1,M062X,def2-TZVP,692.0,-2.0,1.0,280.25,1652.8,16.0,84092.0,-1021.78175567,-1021.5194362,0.05808729,-1021.57752349,39.44,56.15,72.2,111.65
