Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ARFMAD_1,WB97M-D3BJ,def2-TZVP,883.0,-2.0,1.0,350.34,2786.5,8.0,138144.0,-1250.07348846,-1249.70923776,0.06781572,-1249.77705348,35.24,46.99,55.91,61.25
BAGNIG,WB97M-D3BJ,def2-TZVP,1074.0,-2.0,1.0,400.45,2694.5,8.0,266063.0,-1307.28360907,-1306.81707214,0.08007837,-1306.89715051,19.47,29.28,36.31,47.32
BOTFEW_5,WB97M-D3BJ,def2-TZVP,903.0,-2.0,1.0,390.02,2786.2,8.0,131192.0,-1543.61914423,-1543.33679939,0.07455195,-1543.41135134,26.94,29.96,52.35,59.89
CEMYUP_1,WB97M-D3BJ,def2-TZVP,795.0,-2.0,1.0,304.34,2806.6,8.0,111696.0,-1071.57368787,-1071.16447502,0.06642133,-1071.23089636,25.69,45.26,54.3,68.87
CIBBAQ_1,WB97M-D3BJ,def2-TZVP,780.0,-2.0,1.0,386.05,2748.3,8.0,42708.0,-2044.82523906,-2044.64716943,0.06348471,-2044.71065413,63.72,70.66,83.9,93.9
CMXPIC10,WB97M-D3BJ,def2-TZVP,1019.0,-2.0,1.0,404.36,2694.3,8.0,277418.0,-1452.47180953,-1452.06264304,0.08095549,-1452.14359853,15.54,20.42,28.33,30.17
DEHQOW_1,WB97M-D3BJ,def2-TZVP,661.0,-2.0,1.0,264.25,2132.6,8.0,50648.0,-947.18218467,-946.92641409,0.05602497,-946.98243906,35.28,46.56,94.08,102.5
DEMXEY_3,WB97M-D3BJ,def2-TZVP,729.0,-2.0,1.0,295.26,2690.1,8.0,86036.0,-1077.93441584,-1077.65646313,0.06219262,-1077.71865575,29.59,47.43,74.29,115.39
EGAPIO_2,WB97M-D3BJ,def2-TZVP,981.0,-2.0,1.0,396.34,2711.3,8.0,171886.0,-1489.96223279,-1489.52083219,0.07822403,-1489.59905623,29.85,40.68,50.97,55.06
EJEDUS,WB97M-D3BJ,def2-TZVP,1012.0,-2.0,1.0,380.43,2702.2,8.0,142538.0,-1264.28720686,-1263.83520763,0.08136278,-1263.91657041,11.51,17.18,19.62,21.48
EVULEO02_4,WB97M-D3BJ,def2-TZVP,666.0,-2.0,1.0,258.26,2362.4,8.0,62796.0,-920.31810817,-920.00571654,0.06555968,-920.07127622,28.82,39.65,45.37,57.77
FEVVEI,WB97M-D3BJ,def2-TZVP,1310.0,-2.0,1.0,490.54,2607.6,8.0,269565.0,-1570.21534879,-1569.71903183,0.08670141,-1569.80573323,16.14,16.42,19.38,21.97
FIYDIA_4,WB97M-D3BJ,def2-TZVP,537.0,-2.0,1.0,242.12,1308.1,8.0,28495.0,-1179.43811581,-1179.22868072,0.05594773,-1179.28462845,35.2,61.45,77.79,106.76
