Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF)
ARFMAD_1,DLPNO-CCSD(T),cc-pVTZ,1152.0,-2.0,1.0,350.34,50167.3,4.0,31197.0,-1247.200894334905
BAGNIG,DLPNO-CCSD(T),cc-pVTZ,1416.0,-2.0,1.0,400.45,45042.2,8.0,245694.0,-1304.089414561568
BOTFEW_5,DLPNO-CCSD(T),cc-pVTZ,1126.0,-2.0,1.0,390.02,31412.5,4.0,23441.0,-1540.28334379102
CEMYUP_1,DLPNO-CCSD(T),cc-pVTZ,1092.0,-2.0,1.0,304.34,32791.4,4.0,33760.0,-1069.155257307231
CIBBAQ_1,DLPNO-CCSD(T),cc-pVTZ,966.0,-2.0,1.0,386.05,29298.7,4.0,24044.0,-2040.932457751418
CMXPIC10,DLPNO-CCSD(T),cc-pVTZ,1324.0,-2.0,1.0,404.36,47143.5,4.0,26784.0,-1449.139307496776
DEHQOW_1,DLPNO-CCSD(T),cc-pVTZ,852.0,-2.0,1.0,264.25,40758.6,4.0,19247.0,-944.997847185243
DEMXEY_3,DLPNO-CCSD(T),cc-pVTZ,938.0,-2.0,1.0,295.26,39068.8,4.0,26529.0,-1075.480351966593
EGAPIO_2,DLPNO-CCSD(T),cc-pVTZ,1308.0,-2.0,1.0,396.34,39747.0,4.0,36197.0,-1486.721669720732
EJEDUS,DLPNO-CCSD(T),cc-pVTZ,1344.0,-2.0,1.0,380.43,28914.1,8.0,80212.0,-1261.248349476323
EVULEO02_4,DLPNO-CCSD(T),cc-pVTZ,900.0,-2.0,1.0,258.26,23874.9,4.0,17951.0,-918.234579870603
FEVVEI,DLPNO-CCSD(T),cc-pVTZ,1676.0,-2.0,1.0,490.54,45043.7,8.0,220331.0,-1566.251298190453
FIYDIA_4,DLPNO-CCSD(T),cc-pVTZ,717.0,-2.0,1.0,242.12,20144.6,4.0,11279.0,-1177.152416061205
FODNUK_2,DLPNO-CCSD(T),cc-pVTZ,1100.0,-2.0,1.0,322.31,32463.7,4.0,21904.0,-1184.062732276187
FUCWIJ_1,DLPNO-CCSD(T),cc-pVTZ,902.0,-2.0,1.0,279.26,39995.3,4.0,24267.0,-1000.243260735043
GUANSH10_4,DLPNO-CCSD(T),cc-pVTZ,874.0,-2.0,1.0,281.24,40799.5,4.0,22968.0,-1036.187696716971
HIPADS_1,DLPNO-CCSD(T),cc-pVTZ,1066.0,-2.0,1.0,323.32,48569.7,4.0,35039.0,-1153.894569504145
HOSLOR_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1388.0,-2.0,1.0,438.34,17028.8,8.0,39823.0,-1673.915372819502
IJUTUF_1,DLPNO-CCSD(T),cc-pVTZ,888.0,-2.0,1.0,280.26,36138.4,4.0,21849.0,-1016.357425169116
INOSIN11_1,DLPNO-CCSD(T),cc-pVTZ,824.0,-2.0,1.0,266.22,35373.6,4.0,20732.0,-980.90441469446
JAWJIA_1,DLPNO-CCSD(T),cc-pVTZ,974.0,-2.0,1.0,311.26,39903.5,4.0,22537.0,-1150.621677795305
JEXZER01_1,DLPNO-CCSD(T),cc-pVTZ,1136.0,-2.0,1.0,342.3,33263.3,4.0,23665.0,-1296.313158086697
JEYDAS_4_protonated,DLPNO-CCSD(T),cc-pVTZ,753.0,-2.0,1.0,258.12,21473.3,4.0,12227.0,-1252.317674249403
