Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
BAZQEZ_2_protonated,HF,6-31G*,324.0,1.0,1.0,280.22,380.0,16.0,57128.0,-955.94930225,-955.63574829,0.0630906,-955.69883888,18.56,39.78,70.96,77.38,
BIBXIT_1_protonated,HF,6-31G*,292.0,1.0,1.0,266.16,276.6,8.0,48142.0,-986.07591629,-985.80190264,0.05805589,-985.85995853,-23.1,51.54,86.88,131.31,
CABZOV_protonated,HF,6-31G*,320.0,1.0,1.0,271.25,413.8,16.0,60675.0,-904.63043149,-904.26015316,0.06238271,-904.32253587,18.75,29.14,63.02,70.0,
CABZUB_1_protonated,HF,6-31G*,332.0,1.0,1.0,289.24,443.7,16.0,68379.0,-1004.93696314,-1004.57446585,0.06395218,-1004.63841803,20.59,39.54,57.41,79.94,
CATGUB_1_protonated,HF,6-31G*,306.0,1.0,1.0,274.19,311.6,10.0,46541.0,-979.27374273,-978.98851736,0.05874002,-979.04725738,39.09,60.8,79.48,142.35,
CIBWEQ_3_protonated,HF,6-31G*,380.0,1.0,1.0,333.28,656.9,8.0,198332.0,-1175.0537416,-1174.63220743,0.06593797,-1174.6981454,-10.79,34.42,61.94,90.59,
CIMDUX01_3_protonated,HF,6-31G*,268.0,1.0,1.0,267.07,151.7,8.0,203683.0,-1280.250465093429,,,,,,,,Optimization Did Not Converge
CIWCAN_4_protonated,HF,6-31G*,322.0,1.0,1.0,277.22,367.4,16.0,56470.0,-932.72833343,-932.42513571,0.062125,-932.48726071,27.73,57.41,68.3,94.3,
COXNEI_3_protonated,HF,6-31G*,336.0,1.0,1.0,324.64,388.5,10.0,64586.0,-1519.11233713,-1518.83000195,0.063788,-1518.89378995,32.62,45.58,74.39,89.05,
COYPAH_4_protonated,HF,6-31G*,358.0,1.0,1.0,325.22,160.5,8.0,410144.0,-1204.14615273557,,,,,,,,Optimization Did Not Converge
DABWUY10,HF,6-31G*,368.0,1.0,1.0,320.28,619.1,8.0,130074.0,-1114.4913189,-1114.05718016,0.0670556,-1114.12423576,33.12,51.69,60.96,64.89,
DEHQOW_1_protonated,HF,6-31G*,308.0,1.0,1.0,273.2,325.4,8.0,52515.0,-964.09925093,-963.80169243,0.05923318,-963.86092561,7.4,63.45,91.88,139.65,
DEMXEY_3_protonated,HF,6-31G*,338.0,1.0,1.0,304.22,421.8,8.0,79251.0,-1095.84421126,-1095.52193938,0.06460342,-1095.5865428,11.34,44.28,73.41,91.89,
FEFZEX_1_protonated,HF,6-31G*,366.0,1.0,1.0,333.24,601.3,16.0,105011.0,-1251.71030598,-1251.29736539,0.0714801,-1251.36884549,28.35,32.89,49.14,74.34,
FIDZID,HF,6-31G*,386.0,1.0,1.0,334.31,721.2,8.0,333172.0,-1154.15662068,-1153.70062219,0.0696057,-1153.7702279,-46.92,12.4,43.75,60.78,
FODNUK_1_protonated,HF,6-31G*,370.0,1.0,1.0,331.26,640.1,10.0,129627.0,-1214.48692184,-1214.04924124,0.0727092,-1214.12195044,25.46,43.55,54.45,81.44,
FUCWIJ_1_protonated,HF,6-31G*,324.0,1.0,1.0,288.22,380.6,16.0,58930.0,-1018.95663131,-1018.63834118,0.06143729,-1018.69977848,38.51,51.96,76.93,106.26,
FULQUY_protonated,HF,6-31G*,392.0,1.0,1.0,339.32,787.3,10.0,178648.0,-1178.6324401,-1178.14020414,0.07412593,-1178.21433007,30.08,36.97,40.27,57.16,
GAPRHM10_2_protonated,HF,6-31G*,370.0,1.0,1.0,335.25,637.1,8.0,173854.0,-1252.87240202,-1252.43957396,0.07057572,-1252.51014968,-313.48,-94.44,47.98,54.54,
HANNOZ_2_protonated,HF,6-31G*,268.0,1.0,1.0,240.16,236.3,16.0,37382.0,-878.67757072,-878.38992548,0.06056433,-878.45048981,41.66,54.62,75.25,88.33,
HECCAT_1_protonated,HF,6-31G*,354.0,1.0,1.0,333.28,158.7,8.0,411619.0,-1479.001931862519,,,,,,,,Optimization Did Not Converge
IJUTUF_1_protonated,HF,6-31G*,322.0,1.0,1.0,289.21,365.2,10.0,57736.0,-1034.13597516,-1033.83315567,0.06157348,-1033.89472914,40.76,57.13,73.13,132.0,
INOSIN11_1_protonated,HF,6-31G*,304.0,1.0,1.0,275.18,299.2,16.0,44372.0,-1001.34622985,-1001.07289061,0.05837905,-1001.13126966,15.25,57.07,63.25,141.5,
IRASAV_4,HF,6-31G*,392.0,1.0,1.0,341.3,603.0,8.0,97855.0,-1135.93542648,-1135.59825559,0.06546179,-1135.66371738,-152.11,-123.03,9.78,41.2,
JAWJIA_1_protonated,HF,6-31G*,352.0,1.0,1.0,320.22,469.9,8.0,108383.0,-1172.84614955,-1172.51999519,0.06535057,-1172.58534576,-34.89,31.22,63.79,76.19,
KAHROA,HF,6-31G*,262.0,1.0,1.0,219.2,205.8,8.0,48910.0,-693.71869232,-693.46323892,0.05049809,-693.51373701,83.09,110.08,148.31,150.18,
KATVUW,HF,6-31G*,368.0,1.0,1.0,316.29,621.0,16.0,107965.0,-1076.09290696,-1075.66292065,0.06779272,-1075.73071337,35.03,46.31,72.46,78.06,
KECVAP_1_protonated,HF,6-31G*,340.0,1.0,1.0,339.32,157.4,8.0,377888.0,-1800.004867367896,,,,,,,,Optimization Did Not Converge
KEHZAY_1_protonated,HF,6-31G*,356.0,1.0,1.0,336.29,483.3,8.0,119412.0,-1495.27089499,-1494.94560888,0.06386366,-1495.00947254,-45.49,-43.33,47.59,68.17,
MDXSPP_1_protonated,HF,6-31G*,300.0,1.0,1.0,258.22,328.1,8.0,81937.0,-880.08004505,-879.75338971,0.05603271,-879.80942243,-60.5,-15.11,53.51,68.85,
MEBFAB_2_protonated,HF,6-31G*,268.0,1.0,1.0,236.18,235.2,8.0,46023.0,-833.35096468,-833.06449183,0.05849422,-833.12298606,-116.3,33.24,48.61,65.29,
OHEYEF_2,HF,6-31G*,390.0,1.0,1.0,344.31,767.1,8.0,227190.0,-1232.15878217,-1231.67019416,0.07164858,-1231.74184274,-38.17,33.17,45.43,60.27,
OQISAK_2_protonated,HF,6-31G*,302.0,1.0,1.0,269.19,342.8,10.0,50809.0,-980.16277257,-979.82665102,0.0639671,-979.89061812,26.8,38.65,67.39,69.91,
OWOSOK_1_protonated,HF,6-31G*,362.0,1.0,1.0,331.22,563.6,16.0,96166.0,-1250.53880388,-1250.14946304,0.06696633,-1250.21642936,21.14,44.07,49.56,101.58,
PEYXAT,HF,6-31G*,382.0,1.0,1.0,343.23,591.0,8.0,122560.0,-1248.48608486,-1248.13630986,0.06985784,-1248.2061677,-37.83,13.35,33.71,48.24,
POXTRB10_1,HF,6-31G*,298.0,1.0,1.0,285.22,154.1,8.0,251397.0,-1338.710073738046,,,,,,,,Optimization Did Not Converge
RIRWOG_3_protonated,HF,6-31G*,352.0,1.0,1.0,316.21,468.3,8.0,104289.0,-1148.18532047,-1147.86124833,0.06560041,-1147.92684873,-74.94,31.5,49.58,66.82,
RUMXUV_1_protonated,HF,6-31G*,338.0,1.0,1.0,322.26,405.4,16.0,68214.0,-1455.63739884,-1455.34280663,0.06417002,-1455.40697664,35.26,60.71,78.42,88.85,
SHOMYC_1_protonated,HF,6-31G*,260.0,1.0,1.0,236.13,196.7,16.0,27072.0,-876.32585808,-876.08855981,0.05551979,-876.1440796,43.55,88.46,100.23,145.22,
SICNOJ_protonated,HF,6-31G*,286.0,1.0,1.0,246.21,292.7,16.0,44946.0,-841.53625934,-841.21835852,0.06294169,-841.28130021,8.35,33.96,51.11,74.94,
THPRIB_1_protonated,HF,6-31G*,308.0,1.0,1.0,291.25,309.0,16.0,43427.0,-1323.83584221,-1323.56435484,0.05940185,-1323.62375669,11.86,61.64,73.28,128.3,
ULEROS_protonated,HF,6-31G*,354.0,1.0,1.0,312.26,559.9,8.0,331482.0,-1114.34511074,-1113.93049257,0.06505804,-1113.99555061,-126.23,-110.5,32.36,79.3,
UXADUV_1,HF,6-31G*,326.0,1.0,1.0,295.19,395.4,16.0,58363.0,-1094.3803419,-1094.04704995,0.05468964,-1094.10173959,86.14,119.01,136.33,151.58,
VELWEO,HF,6-31G*,298.0,1.0,1.0,247.25,317.0,8.0,80440.0,-773.12309389,-772.80586341,0.05625728,-772.86212069,59.58,100.99,121.88,131.22,
WEKKUT_3_protonated,HF,6-31G*,390.0,1.0,1.0,343.3,674.9,10.0,107366.0,-1191.73797547,-1191.33168725,0.06862015,-1191.40030739,18.9,53.81,64.48,79.48,
WINQUG_protonated,HF,6-31G*,398.0,1.0,1.0,331.35,766.7,16.0,130445.0,-1054.25336407,-1053.80083259,0.0769195,-1053.87775209,13.74,21.1,23.47,25.32,
YABLOC,HF,6-31G*,274.0,1.0,1.0,237.2,271.1,16.0,37497.0,-819.45086295,-819.12117461,0.05724195,-819.17841656,47.48,75.1,77.3,136.99,
YEBBEM,HF,6-31G*,384.0,1.0,1.0,335.29,697.0,8.0,194836.0,-1176.26276879,-1175.8113701,0.07037298,-1175.88174308,16.42,48.84,68.79,80.89,
YUPJOJ,HF,6-31G*,214.0,1.0,1.0,183.15,142.2,16.0,17948.0,-632.64297861,-632.36269167,0.04830715,-632.41099881,65.22,91.93,176.39,197.68,
ZADJIX_1,HF,6-31G*,326.0,1.0,1.0,287.21,394.9,16.0,63503.0,-1017.61057072,-1017.2788061,0.06152098,-1017.34032708,17.47,63.26,87.61,114.32,
