Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
BAZQEZ_2_protonated,HF,,117.0,1.0,1.0,280.22,68.6,8.0,13825.0,-948.30713252,-947.99241979,0.06193118,-948.05435097,34.48,37.93,74.16,98.68,
BIBXIT_1_protonated,HF,,105.0,1.0,1.0,266.16,50.9,8.0,7721.0,-971.07233404,-970.79823087,0.05819678,-970.85642766,51.57,59.48,76.81,138.6,
CABZOV_protonated,HF,,117.0,1.0,1.0,271.25,77.2,8.0,12501.0,-898.8524256,-898.48261841,0.06107639,-898.54369481,31.83,49.72,81.29,97.59,
CABZUB_1_protonated,HF,,121.0,1.0,1.0,289.24,81.5,8.0,13361.0,-1000.86279359,-1000.50121424,0.06336609,-1000.56458033,29.87,38.97,55.93,71.26,
CATGUB_1_protonated,HF,,110.0,1.0,1.0,274.19,57.0,8.0,8689.0,-963.41044889,-963.12807129,0.05751805,-963.18558934,53.59,70.07,93.52,142.35,
CIBWEQ_3_protonated,HF,,139.0,1.0,1.0,333.28,114.7,8.0,26324.0,-1164.71825609,-1164.29710665,0.06676785,-1164.3638745,30.68,38.2,62.34,101.94,
CIMDUX01_3_protonated,HF,,104.0,1.0,1.0,267.07,49.4,8.0,7507.0,-1265.84726964,-1265.5939888,0.05964472,-1265.65363352,44.15,66.44,84.27,102.94,
CIWCAN_4_protonated,HF,,116.0,1.0,1.0,277.22,66.9,8.0,11373.0,-924.67795713,-924.37543078,0.06092607,-924.43635685,31.03,46.55,74.02,103.15,
COXNEI_3_protonated,HF,,128.0,1.0,1.0,324.64,77.4,8.0,11910.0,-1499.80926856,-1499.5286703,0.06326268,-1499.59193299,21.05,30.64,74.97,82.88,
COYPAH_4_protonated,HF,,130.0,1.0,1.0,325.22,91.0,8.0,37280.0,-1188.06244082,-1187.70374449,0.06649604,-1187.77024053,-78.75,22.43,54.69,67.51,
DABWUY10,HF,,135.0,1.0,1.0,320.28,111.8,8.0,26057.0,-1103.59393139,-1103.16829233,0.06698076,-1103.23527309,21.73,30.39,47.43,69.15,
DEHQOW_1_protonated,HF,,111.0,1.0,1.0,273.2,59.7,8.0,8837.0,-950.27325496,-949.97714629,0.05771301,-950.03485929,41.62,71.09,88.03,141.47,
DEMXEY_3_protonated,HF,,122.0,1.0,1.0,304.22,75.0,8.0,13757.0,-1078.51944014,-1078.20056713,0.06355265,-1078.26411977,27.5,60.21,67.91,107.6,
FEFZEX_1_protonated,HF,,134.0,1.0,1.0,333.24,105.9,8.0,19703.0,-1236.56705355,-1236.15845237,0.0711451,-1236.22959747,32.37,44.88,60.53,83.69,
FIDZID,HF,,142.0,1.0,1.0,334.31,128.4,8.0,31230.0,-1143.13988821,-1142.6923618,0.07168196,-1142.76404376,15.63,26.38,57.52,67.12,
FODNUK_1_protonated,HF,,136.0,1.0,1.0,331.26,114.5,8.0,28415.0,-1200.87507359,-1200.44232382,0.07275556,-1200.51507939,3.34,33.87,74.93,83.78,
FUCWIJ_1_protonated,HF,,117.0,1.0,1.0,288.22,68.4,8.0,11093.0,-1003.08378045,-1002.77106836,0.06069892,-1002.83176729,54.05,65.66,79.6,110.11,
FULQUY_protonated,HF,,145.0,1.0,1.0,339.32,141.4,8.0,34998.0,-1168.13421505,-1167.64532996,0.07325601,-1167.71858597,29.49,54.43,60.09,64.69,
GAPRHM10_2_protonated,HF,,136.0,1.0,1.0,335.25,147.8,8.0,145400.0,-1237.696910120975,,,,,,,,Optimization Did Not Converge
HANNOZ_2_protonated,HF,,97.0,1.0,1.0,240.16,46.3,8.0,9826.0,-867.62118497,-867.33836764,0.06129612,-867.39966376,21.8,43.2,60.1,74.14,
HECCAT_1_protonated,HF,,135.0,1.0,1.0,333.28,91.9,8.0,23893.0,-1463.4685018,-1463.16117601,0.06467528,-1463.22585129,8.19,58.82,65.31,94.4,
IJUTUF_1_protonated,HF,,116.0,1.0,1.0,289.21,65.8,8.0,10603.0,-1016.27419633,-1015.97329222,0.06023076,-1016.03352298,44.82,61.76,87.34,136.62,
INOSIN11_1_protonated,HF,,109.0,1.0,1.0,275.18,54.4,8.0,7590.0,-985.94105854,-985.67077173,0.05736458,-985.72813631,38.62,73.47,93.27,136.43,
IRASAV_4,HF,,141.0,1.0,1.0,341.3,104.5,8.0,21131.0,-1116.60943794,-1116.27868471,0.0694518,-1116.34813652,26.04,31.18,41.66,59.9,
JAWJIA_1_protonated,HF,,127.0,1.0,1.0,320.22,83.7,8.0,32467.0,-1153.73011914,-1153.41445998,0.06680402,-1153.481264,-31.46,-15.55,33.89,44.33,
KAHROA,HF,,94.0,1.0,1.0,219.2,39.1,8.0,12617.0,-686.05283458,-685.80140263,0.04965987,-685.85106251,93.4,137.21,149.98,159.46,
