Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BAZQEZ_2_protonated,M062X,def2-SVP,364.0,1.0,1.0,280.22,789.2,8.0,16600.0,-942.7372162,-942.43337258,0.06313202,-942.4965046,37.0,42.51,70.97,89.27
BIBXIT_1_protonated,M062X,def2-SVP,326.0,1.0,1.0,266.16,609.3,8.0,9027.0,-972.86176063,-972.59346987,0.05998172,-972.65345159,50.52,54.93,93.91,135.2
CABZOV_protonated,M062X,def2-SVP,375.0,1.0,1.0,271.25,888.8,8.0,13503.0,-891.02300474,-890.66719821,0.06282216,-890.73002037,33.1,48.04,67.09,88.36
CABZUB_1_protonated,M062X,def2-SVP,384.0,1.0,1.0,289.24,954.3,8.0,9465.0,-990.15535438,-989.80692155,0.06469761,-989.87161916,28.43,45.73,61.33,76.27
CATGUB_1_protonated,M062X,def2-SVP,340.0,1.0,1.0,274.19,665.6,8.0,12837.0,-969.99875324,-969.72140642,0.05996826,-969.78137468,48.57,74.07,88.5,124.98
CIBWEQ_3_protonated,M062X,def2-SVP,441.0,1.0,1.0,333.28,1319.7,8.0,18312.0,-1155.7106307,-1155.30352615,0.06845564,-1155.37198179,31.42,41.33,61.66,102.31
CIMDUX01_3_protonated,M062X,def2-SVP,302.0,1.0,1.0,267.07,511.9,8.0,12804.0,-1261.27732527,-1261.02987867,0.06112589,-1261.09100457,51.61,70.24,94.91,117.75
CIWCAN_4_protonated,M062X,def2-SVP,359.0,1.0,1.0,277.22,762.6,8.0,16095.0,-921.67078296,-921.37868704,0.06267166,-921.4413587,39.01,47.31,64.01,99.97
COXNEI_3_protonated,M062X,def2-SVP,367.0,1.0,1.0,324.64,781.9,8.0,13512.0,-1504.6111421,-1504.33656424,0.0649348,-1504.40149904,40.38,52.27,80.29,86.86
COYPAH_4_protonated,M062X,def2-SVP,407.0,1.0,1.0,325.22,1048.9,8.0,13650.0,-1185.62853276,-1185.27598981,0.06943178,-1185.34542159,25.92,48.98,72.69,85.97
DABWUY10,M062X,def2-SVP,432.0,1.0,1.0,320.28,1267.1,8.0,14316.0,-1097.74511304,-1097.33117851,0.06764429,-1097.39882279,35.27,45.35,60.71,70.48
DEHQOW_1_protonated,M062X,def2-SVP,345.0,1.0,1.0,273.2,700.1,8.0,12564.0,-953.96369209,-953.67477308,0.06055669,-953.73532977,48.41,73.26,83.81,124.51
DEMXEY_3_protonated,M062X,def2-SVP,378.0,1.0,1.0,304.22,864.8,8.0,14745.0,-1084.44110526,-1084.12893263,0.06551111,-1084.19444374,40.46,58.91,88.85,100.64
FEFZEX_1_protonated,M062X,def2-SVP,427.0,1.0,1.0,333.24,1221.0,8.0,13043.0,-1228.86516378,-1228.465492,0.07169853,-1228.53719054,40.3,43.08,62.92,87.42
FIDZID,M062X,def2-SVP,456.0,1.0,1.0,334.31,1438.9,8.0,39348.0,-1136.9892752,-1136.55285323,0.07175751,-1136.62461075,38.75,45.71,46.8,54.22
FODNUK_1_protonated,M062X,def2-SVP,437.0,1.0,1.0,331.26,1311.4,8.0,17199.0,-1192.96959028,-1192.5474475,0.07287796,-1192.62032546,27.52,33.27,75.1,85.76
FUCWIJ_1_protonated,M062X,def2-SVP,364.0,1.0,1.0,288.22,797.4,8.0,10618.0,-1009.23773767,-1008.92946128,0.06238581,-1008.99184709,48.77,58.54,88.3,107.85
FULQUY_protonated,M062X,def2-SVP,471.0,1.0,1.0,339.32,1615.6,8.0,20190.0,-1159.33700934,-1158.86609075,0.0751517,-1158.94124244,28.16,48.19,51.71,67.35
GAPRHM10_2_protonated,M062X,def2-SVP,437.0,1.0,1.0,335.25,1318.4,8.0,13948.0,-1230.08120145,-1229.65938402,0.07401997,-1229.73340399,37.37,44.36,55.58,62.11
HANNOZ_2_protonated,M062X,def2-SVP,308.0,1.0,1.0,240.16,550.4,8.0,15014.0,-864.59529641,-864.31812767,0.06085381,-864.37898148,49.03,66.72,74.75,86.45
HECCAT_1_protonated,M062X,def2-SVP,391.0,1.0,1.0,333.28,922.0,8.0,14458.0,-1465.23677867,-1464.93151937,0.06496829,-1464.99648766,44.39,53.03,75.53,109.28
IJUTUF_1_protonated,M062X,def2-SVP,359.0,1.0,1.0,289.21,758.4,8.0,11525.0,-1025.31617149,-1025.02114206,0.06338288,-1025.08452493,40.41,64.45,90.2,119.79
INOSIN11_1_protonated,M062X,def2-SVP,335.0,1.0,1.0,275.18,636.4,8.0,11626.0,-989.85012967,-989.58477995,0.0591575,-989.64393745,50.96,71.09,89.55,125.43
IRASAV_4,M062X,def2-SVP,429.0,1.0,1.0,341.3,1123.7,8.0,14707.0,-1133.70032883,-1133.37080565,0.06701791,-1133.43782357,30.56,40.21,55.24,67.77
JAWJIA_1_protonated,M062X,def2-SVP,392.0,1.0,1.0,320.22,943.8,8.0,11676.0,-1159.59829969,-1159.2797505,0.06746754,-1159.34721804,42.35,57.72,76.04,90.72
KAHROA,M062X,def2-SVP,293.0,1.0,1.0,219.2,502.6,8.0,5409.0,-690.08125591,-689.83547005,0.04947669,-689.88494674,39.69,114.53,164.33,218.76
KATVUW,M062X,def2-SVP,432.0,1.0,1.0,316.29,1259.4,8.0,17436.0,-1060.68357337,-1060.27374995,0.06834319,-1060.34209314,31.8,46.11,62.67,74.97
KECVAP_1_protonated,M062X,def2-SVP,371.0,1.0,1.0,339.32,822.7,8.0,10047.0,-1785.98699037,-1785.71592155,0.06629269,-1785.78221423,31.75,49.83,79.25,93.19
KEHZAY_1_protonated,M062X,def2-SVP,396.0,1.0,1.0,336.29,956.3,8.0,11731.0,-1482.50068757,-1482.18379874,0.06804528,-1482.25184402,42.77,57.27,82.56,89.01
MDXSPP_1_protonated,M062X,def2-SVP,346.0,1.0,1.0,258.22,721.9,8.0,9031.0,-867.76491768,-867.44842397,0.05992946,-867.50835344,30.47,47.45,67.99,93.21
MEBFAB_2_protonated,M062X,def2-SVP,308.0,1.0,1.0,236.18,548.3,8.0,6977.0,-823.63699837,-823.36036089,0.05979564,-823.42015654,39.5,52.0,69.69,74.38
OHEYEF_2,M062X,def2-SVP,466.0,1.0,1.0,344.31,1535.7,8.0,37034.0,-1212.37123662,-1211.90471602,0.07283755,-1211.97755357,38.56,50.63,64.83,77.08
OQISAK_2_protonated,M062X,def2-SVP,351.0,1.0,1.0,269.19,868.9,8.0,14409.0,-963.02457652,-962.70081206,0.06432456,-962.76513663,39.75,52.28,65.0,79.9
OWOSOK_1_protonated,M062X,def2-SVP,417.0,1.0,1.0,331.22,1123.5,8.0,13450.0,-1227.66809517,-1227.29058026,0.06772715,-1227.35830742,32.47,47.69,57.26,100.49
PEYXAT,M062X,def2-SVP,425.0,1.0,1.0,343.23,1141.6,8.0,16669.0,-1227.30725249,-1226.9691567,0.07206615,-1227.04122285,24.79,35.04,47.19,52.82
POXTRB10_1,M062X,def2-SVP,335.0,1.0,1.0,285.22,649.9,8.0,23343.0,-1320.56775864,-1320.29265304,0.06248989,-1320.35514293,47.1,55.95,83.19,90.01
RIRWOG_3_protonated,M062X,def2-SVP,392.0,1.0,1.0,316.21,935.3,8.0,17179.0,-1130.11232918,-1129.79655369,0.06887455,-1129.86542823,34.05,49.31,63.12,90.09
RUMXUV_1_protonated,M062X,def2-SVP,372.0,1.0,1.0,322.26,812.3,8.0,10902.0,-1443.2400779,-1442.95298838,0.06488309,-1443.01787147,41.1,58.41,79.46,97.45
SHOMYC_1_protonated,M062X,def2-SVP,288.0,1.0,1.0,236.13,453.5,8.0,5758.0,-862.21979199,-861.98904763,0.05600741,-862.04505504,58.99,93.72,104.0,141.64
SICNOJ_protonated,M062X,def2-SVP,332.0,1.0,1.0,246.21,659.1,8.0,101549.0,-829.69013344,-829.38263308,0.06160679,-829.44423987,52.9,60.84,85.7,95.84
THPRIB_1_protonated,M062X,def2-SVP,339.0,1.0,1.0,291.25,656.1,8.0,10814.0,-1312.75066557,-1312.48714274,0.06012491,-1312.54726765,41.26,69.63,85.82,119.72
ULEROS_protonated,M062X,def2-SVP,418.0,1.0,1.0,312.26,1162.6,8.0,15344.0,-1096.81533602,-1096.41421995,0.07012365,-1096.48434359,23.55,33.05,58.07,87.43
UXADUV_1,M062X,def2-SVP,369.0,1.0,1.0,295.19,824.6,8.0,12808.0,-1074.95146755,-1074.63132626,0.05708081,-1074.68840707,71.53,78.5,113.02,139.92
VELWEO,M062X,def2-SVP,341.0,1.0,1.0,247.25,702.4,8.0,68830.0,-768.69213041,-768.38886002,0.05692009,-768.44578011,87.1,99.76,124.37,134.85
WEKKUT_3_protonated,M062X,def2-SVP,445.0,1.0,1.0,343.3,1320.3,8.0,20280.0,-1181.15241729,-1180.75948586,0.07002533,-1180.82951119,41.72,54.92,65.26,67.69
WINQUG_protonated,M062X,def2-SVP,465.0,1.0,1.0,331.35,1498.9,8.0,17980.0,-1042.83669482,-1042.40219672,0.07473608,-1042.4769328,20.6,36.16,50.06,71.5
YABLOC,M062X,def2-SVP,323.0,1.0,1.0,237.2,635.2,8.0,27659.0,-808.9020525,-808.58552469,0.05853439,-808.64405908,42.93,56.56,103.85,118.64
YEBBEM,M062X,def2-SVP,451.0,1.0,1.0,335.29,1388.6,8.0,13251.0,-1156.88771671,-1156.45719138,0.07034772,-1156.5275391,29.28,64.72,74.38,81.84
