Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BAZQEZ_2_protonated,M062X,def2-TZVP,724.0,1.0,1.0,280.22,1645.5,16.0,108820.0,-943.7884886,-943.48564345,0.06398602,-943.54962947,31.29,46.96,74.99,91.22
BIBXIT_1_protonated,M062X,def2-TZVP,650.0,1.0,1.0,266.16,1666.2,16.0,51496.0,-973.96964268,-973.7024967,0.06060063,-973.76309733,48.04,55.36,88.94,138.5
CABZOV_protonated,M062X,def2-TZVP,723.0,1.0,1.0,271.25,1646.0,16.0,67058.0,-892.01974561,-891.664039,0.06309863,-891.72713763,30.28,54.92,69.18,83.23
CABZUB_1_protonated,M062X,def2-TZVP,748.0,1.0,1.0,289.24,1651.0,16.0,71240.0,-991.2734597,-990.92526554,0.06501582,-990.99028136,27.8,54.56,60.17,78.38
CATGUB_1_protonated,M062X,def2-TZVP,681.0,1.0,1.0,274.19,1656.1,16.0,54566.0,-971.09400228,-970.81769743,0.06034447,-970.87804191,48.86,68.56,87.02,137.13
CIBWEQ_3_protonated,M062X,def2-TZVP,859.0,1.0,1.0,333.28,1607.8,16.0,99295.0,-1157.01566969,-1156.60987021,0.06914311,-1156.67901332,34.68,38.53,65.8,94.2
CIMDUX01_3_protonated,M062X,def2-TZVP,594.0,1.0,1.0,267.07,1687.2,16.0,90535.0,-1262.51329698,-1262.26657757,0.06175546,-1262.32833303,35.5,67.36,82.78,96.0
CIWCAN_4_protonated,M062X,def2-TZVP,718.0,1.0,1.0,277.22,1639.0,16.0,75294.0,-922.69637064,-922.40492677,0.06254728,-922.46747405,42.2,48.43,68.84,103.51
COXNEI_3_protonated,M062X,def2-TZVP,743.0,1.0,1.0,324.64,1646.7,16.0,73075.0,-1505.94951901,-1505.67616398,0.06548958,-1505.74165356,41.8,44.09,77.92,87.26
COYPAH_4_protonated,M062X,def2-TZVP,804.0,1.0,1.0,325.22,1626.9,16.0,97413.0,-1186.98021696,-1186.62874705,0.07088844,-1186.69963549,25.96,37.39,59.41,64.23
DABWUY10,M062X,def2-TZVP,834.0,1.0,1.0,320.28,1627.4,16.0,110262.0,-1098.98965557,-1098.57615621,0.0678988,-1098.64405501,36.27,52.92,66.26,73.58
DEHQOW_1_protonated,M062X,def2-TZVP,687.0,1.0,1.0,273.2,1656.9,16.0,73684.0,-955.03763291,-954.7497171,0.06093904,-954.81065615,50.7,68.65,88.66,138.67
DEMXEY_3_protonated,M062X,def2-TZVP,755.0,1.0,1.0,304.22,1646.8,16.0,82151.0,-1085.66904219,-1085.35788614,0.0659516,-1085.42383774,45.07,50.28,81.7,101.15
FEFZEX_1_protonated,M062X,def2-TZVP,828.0,1.0,1.0,333.24,1616.1,16.0,88791.0,-1230.2830466,-1229.8852364,0.07345398,-1229.95869038,39.94,42.7,57.23,82.96
FIDZID,M062X,def2-TZVP,877.0,1.0,1.0,334.31,1608.2,16.0,200976.0,-1138.272242,-1137.83627561,0.0733864,-1137.90966201,15.16,31.29,38.87,42.43
FODNUK_1_protonated,M062X,def2-TZVP,840.0,1.0,1.0,331.26,1621.6,16.0,103527.0,-1194.34224684,-1193.92089859,0.07392263,-1193.99482122,32.39,41.56,69.83,78.41
FUCWIJ_1_protonated,M062X,def2-TZVP,724.0,1.0,1.0,288.22,1647.6,16.0,73569.0,-1010.37723684,-1010.06985357,0.06275039,-1010.13260396,48.79,57.15,77.3,111.98
FULQUY_protonated,M062X,def2-TZVP,895.0,1.0,1.0,339.32,1600.5,16.0,148649.0,-1160.6543627,-1160.18343966,0.07617212,-1160.25961178,30.26,33.96,42.71,63.48
GAPRHM10_2_protonated,M062X,def2-TZVP,840.0,1.0,1.0,335.25,1625.2,16.0,90335.0,-1231.50343593,-1231.08344036,0.0756812,-1231.15912156,30.96,42.77,54.25,58.85
HANNOZ_2_protonated,M062X,def2-TZVP,600.0,1.0,1.0,240.16,1687.1,16.0,80657.0,-865.5853086,-865.30875108,0.06148411,-865.3702352,50.59,53.8,69.14,77.82
HECCAT_1_protonated,M062X,def2-TZVP,786.0,1.0,1.0,333.28,1645.5,16.0,76266.0,-1466.57778881,-1466.2736249,0.06543269,-1466.33905759,44.74,49.45,75.52,106.96
IJUTUF_1_protonated,M062X,def2-TZVP,718.0,1.0,1.0,289.21,1642.0,16.0,71699.0,-1026.47483822,-1026.18093794,0.06332978,-1026.24426771,44.74,60.14,83.19,125.42
INOSIN11_1_protonated,M062X,def2-TZVP,675.0,1.0,1.0,275.18,1654.6,16.0,57321.0,-990.97136194,-990.70698004,0.05919283,-990.76617287,51.1,66.25,88.32,137.58
IRASAV_4,M062X,def2-TZVP,873.0,1.0,1.0,341.3,1598.6,16.0,95511.0,-1134.95521912,-1134.62704677,0.06728155,-1134.69432832,33.47,36.98,49.87,63.08
JAWJIA_1_protonated,M062X,def2-TZVP,786.0,1.0,1.0,320.22,1651.7,16.0,84373.0,-1160.91262339,-1160.5952469,0.06876299,-1160.66400989,40.24,51.17,74.58,79.35
KAHROA,M062X,def2-TZVP,582.0,1.0,1.0,219.2,1637.6,8.0,90989.0,-690.9058425,-690.66142195,0.05137308,-690.71279502,89.34,119.52,137.01,145.39
