Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BAZQEZ_2_protonated,WB97M-D3BJ,def2-TZVP,724.0,1.0,1.0,280.22,2755.9,8.0,114715.0,-944.44663268,-944.14446077,0.06470093,-944.20916171,29.15,43.16,72.23,82.72
BIBXIT_1_protonated,WB97M-D3BJ,def2-TZVP,650.0,1.0,1.0,266.16,2105.5,8.0,64697.0,-974.61155746,-974.34555081,0.06120547,-974.40675628,44.51,52.13,87.34,133.05
CABZOV_protonated,WB97M-D3BJ,def2-TZVP,723.0,1.0,1.0,271.25,2935.5,8.0,70642.0,-892.64834522,-892.29364674,0.06377535,-892.35742209,23.3,39.93,66.17,80.97
CABZUB_1_protonated,WB97M-D3BJ,def2-TZVP,748.0,1.0,1.0,289.24,3045.6,8.0,73751.0,-991.94984603,-991.60271735,0.06564914,-991.66836649,23.38,37.92,57.36,75.43
CATGUB_1_protonated,WB97M-D3BJ,def2-TZVP,681.0,1.0,1.0,274.19,2337.5,8.0,72246.0,-971.74716557,-971.47214769,0.06106742,-971.53321511,47.42,66.74,83.35,130.92
CIBWEQ_3_protonated,WB97M-D3BJ,def2-TZVP,859.0,1.0,1.0,333.28,3000.6,8.0,173259.0,-1157.80006904,-1157.39536904,0.06920193,-1157.46457097,30.16,37.2,69.14,96.3
CIMDUX01_3_protonated,WB97M-D3BJ,def2-TZVP,594.0,1.0,1.0,267.07,1713.0,8.0,112455.0,-1263.15139124,-1262.90616192,0.06211619,-1262.96827811,32.84,61.53,78.78,93.43
CIWCAN_4_protonated,WB97M-D3BJ,def2-TZVP,718.0,1.0,1.0,277.22,2672.9,8.0,67068.0,-923.34783354,-923.05727099,0.06352687,-923.12079786,33.03,44.07,64.03,90.78
COXNEI_3_protonated,WB97M-D3BJ,def2-TZVP,743.0,1.0,1.0,324.64,2886.4,8.0,82464.0,-1506.71169124,-1506.43951929,0.06630356,-1506.50582285,36.87,43.11,75.49,84.28
COYPAH_4_protonated,WB97M-D3BJ,def2-TZVP,804.0,1.0,1.0,325.22,3031.5,8.0,92444.0,-1187.76301136,-1187.41302094,0.07205376,-1187.4850747,21.64,30.14,43.59,58.36
