Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF)
BAZQEZ_2_protonated,DLPNO-CCSD(T),cc-pVTZ,967.0,1.0,1.0,280.22,45872.5,4.0,31010.0,-942.207206404523
BIBXIT_1_protonated,DLPNO-CCSD(T),cc-pVTZ,867.0,1.0,1.0,266.16,27300.1,4.0,17996.0,-972.436234000659
CABZOV_protonated,DLPNO-CCSD(T),cc-pVTZ,1001.0,1.0,1.0,271.25,34294.6,4.0,26134.0,-890.538148399856
CABZUB_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1023.0,1.0,1.0,289.24,35643.5,4.0,23443.0,-989.669109267738
CATGUB_1_protonated,DLPNO-CCSD(T),cc-pVTZ,903.0,1.0,1.0,274.19,35453.1,4.0,20373.0,-969.522358122457
CIBWEQ_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1173.0,1.0,1.0,333.28,38947.1,4.0,30066.0,-1155.158003215695
CIMDUX01_3_protonated,DLPNO-CCSD(T),cc-pVTZ,818.0,1.0,1.0,267.07,20988.2,4.0,13788.0,-1260.699873056835
CIWCAN_4_protonated,DLPNO-CCSD(T),cc-pVTZ,953.0,1.0,1.0,277.22,43118.8,4.0,23124.0,-921.132025112975
COXNEI_3_protonated,DLPNO-CCSD(T),cc-pVTZ,984.0,1.0,1.0,324.64,38082.8,4.0,25789.0,-1503.804306867443
COYPAH_4_protonated,DLPNO-CCSD(T),cc-pVTZ,1081.0,1.0,1.0,325.22,34285.8,4.0,26568.0,-1185.125615548003
DABWUY10,DLPNO-CCSD(T),cc-pVTZ,1151.0,1.0,1.0,320.28,31906.1,4.0,26642.0,-1097.211683942739
DEHQOW_1_protonated,DLPNO-CCSD(T),cc-pVTZ,917.0,1.0,1.0,273.2,37755.5,4.0,21123.0,-953.481620665087
DEMXEY_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1003.0,1.0,1.0,304.22,39133.2,4.0,21294.0,-1083.924824789457
FEFZEX_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1137.0,1.0,1.0,333.24,31368.7,4.0,25086.0,-1228.404719937316
FIDZID,DLPNO-CCSD(T),cc-pVTZ,1215.0,1.0,1.0,334.31,38061.1,4.0,104370.0,-1136.436050393939
FODNUK_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1165.0,1.0,1.0,331.26,34071.4,4.0,29221.0,-1192.501015204673
FUCWIJ_1_protonated,DLPNO-CCSD(T),cc-pVTZ,967.0,1.0,1.0,288.22,38424.9,4.0,19101.0,-1008.736782396801
FULQUY_protonated,DLPNO-CCSD(T),cc-pVTZ,1257.0,1.0,1.0,339.32,38689.7,4.0,41055.0,-1158.814530435563
GAPRHM10_2_protonated,DLPNO-CCSD(T),cc-pVTZ,1165.0,1.0,1.0,335.25,29635.4,4.0,27913.0,-1229.634218305684
HANNOZ_2_protonated,DLPNO-CCSD(T),cc-pVTZ,823.0,1.0,1.0,240.16,20523.0,4.0,15826.0,-864.231960260568
HECCAT_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1048.0,1.0,1.0,333.28,45448.9,4.0,25970.0,-1464.396201276367
IJUTUF_1_protonated,DLPNO-CCSD(T),cc-pVTZ,953.0,1.0,1.0,289.21,37353.5,4.0,23981.0,-1024.817544014848
INOSIN11_1_protonated,DLPNO-CCSD(T),cc-pVTZ,889.0,1.0,1.0,275.18,34199.0,4.0,22111.0,-989.381863952057
IRASAV_4,DLPNO-CCSD(T),cc-pVTZ,1133.0,1.0,1.0,341.3,49483.6,4.0,28032.0,-1133.011810889961
JAWJIA_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1039.0,1.0,1.0,320.22,39102.2,4.0,26476.0,-1159.063516162171
KAHROA,DLPNO-CCSD(T),cc-pVTZ,781.0,1.0,1.0,219.2,48997.1,4.0,25881.0,-689.687396188652
KATVUW,DLPNO-CCSD(T),cc-pVTZ,1151.0,1.0,1.0,316.29,39677.6,4.0,43788.0,-1060.138539224165
KECVAP_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1007.0,1.0,1.0,339.32,40459.9,4.0,24890.0,-1784.88484114288
KEHZAY_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1062.0,1.0,1.0,336.29,43172.3,4.0,33903.0,-1481.661452633107
MDXSPP_1_protonated,DLPNO-CCSD(T),cc-pVTZ,923.0,1.0,1.0,258.22,34234.4,4.0,19982.0,-867.302113733499
MEBFAB_2_protonated,DLPNO-CCSD(T),cc-pVTZ,823.0,1.0,1.0,236.18,19649.5,4.0,14974.0,-823.262422835789
OHEYEF_2,DLPNO-CCSD(T),cc-pVTZ,1243.0,1.0,1.0,344.31,27560.7,4.0,24551.0,-1211.858960518686
OQISAK_2_protonated,DLPNO-CCSD(T),cc-pVTZ,937.0,1.0,1.0,269.19,24258.8,4.0,16762.0,-962.623533325218
OWOSOK_1_protonated,DLPNO-CCSD(T),cc-pVTZ,1109.0,1.0,1.0,331.22,33392.7,4.0,30657.0,-1227.203306063196
PEYXAT,DLPNO-CCSD(T),cc-pVTZ,1125.0,1.0,1.0,343.23,34018.3,4.0,23667.0,-1226.723362363472
POXTRB10_1,DLPNO-CCSD(T),cc-pVTZ,904.0,1.0,1.0,285.22,19794.5,4.0,15320.0,-1319.860399604603
RIRWOG_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1039.0,1.0,1.0,316.21,40207.6,4.0,23923.0,-1129.573546033356
RUMXUV_1_protonated,DLPNO-CCSD(T),cc-pVTZ,998.0,1.0,1.0,322.26,38718.8,4.0,24088.0,-1442.428278915999
SHOMYC_1_protonated,DLPNO-CCSD(T),cc-pVTZ,767.0,1.0,1.0,236.13,21870.9,4.0,15185.0,-861.848179652218
SICNOJ_protonated,DLPNO-CCSD(T),cc-pVTZ,887.0,1.0,1.0,246.21,33042.6,4.0,17236.0,-829.262573229389
THPRIB_1_protonated,DLPNO-CCSD(T),cc-pVTZ,912.0,1.0,1.0,291.25,37626.7,4.0,24129.0,-1311.978085140639
ULEROS_protonated,DLPNO-CCSD(T),cc-pVTZ,1115.0,1.0,1.0,312.26,31049.9,4.0,26647.0,-1096.332033559179
UXADUV_1,DLPNO-CCSD(T),cc-pVTZ,981.0,1.0,1.0,295.19,36131.9,4.0,23707.0,-1074.494556420218
VELWEO,DLPNO-CCSD(T),cc-pVTZ,909.0,1.0,1.0,247.25,59069.6,4.0,28768.0,-768.18146064772
WEKKUT_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1181.0,1.0,1.0,343.3,50411.6,4.0,44370.0,-1180.546398794919
WINQUG_protonated,DLPNO-CCSD(T),cc-pVTZ,1237.0,1.0,1.0,331.35,50840.9,4.0,25324.0,-1042.180127500874
YABLOC,DLPNO-CCSD(T),cc-pVTZ,865.0,1.0,1.0,237.2,20069.3,4.0,13727.0,-808.511555545779
YEBBEM,DLPNO-CCSD(T),cc-pVTZ,1201.0,1.0,1.0,335.29,28842.8,4.0,29163.0,-1156.338084512339
YUPJOJ,DLPNO-CCSD(T),cc-pVTZ,693.0,1.0,1.0,183.15,12384.7,4.0,6458.0,-621.817463566427
ZADJIX_1,DLPNO-CCSD(T),cc-pVTZ,981.0,1.0,1.0,287.21,30502.0,4.0,21181.0,-1000.333325633167
