Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BAZQEZ_2_protonated,M062X,def2-SVP,355.0,0.0,1.0,273.28,738.8,8.0,11924.0,-935.25740341,-934.95773922,0.06160827,-935.0193475,24.97,36.05,44.56,67.91
BIBXIT_1_protonated,M062X,def2-SVP,317.0,0.0,1.0,259.22,568.8,8.0,8128.0,-965.37296269,-965.10775441,0.05838861,-965.16614302,40.82,44.26,86.71,115.29
CABZOV_protonated,M062X,def2-SVP,366.0,0.0,1.0,264.31,837.4,8.0,12075.0,-883.5360284,-883.18370824,0.06096909,-883.24467733,22.67,42.88,61.21,87.06
CABZUB_1_protonated,M062X,def2-SVP,375.0,0.0,1.0,282.3,873.8,8.0,8986.0,-982.66837906,-982.32339519,0.06276423,-982.38615942,23.21,39.93,54.42,84.3
CATGUB_1_protonated,M062X,def2-SVP,331.0,0.0,1.0,267.25,622.0,8.0,5946.0,-962.51712208,-962.24339424,0.05717378,-962.30056803,47.56,55.39,87.57,130.41
CIBWEQ_3_protonated,M062X,def2-SVP,432.0,0.0,1.0,326.34,1243.9,8.0,15851.0,-1148.2361365,-1147.83235799,0.06772463,-1147.90008262,31.73,45.43,62.47,92.86
CIMDUX01_3_protonated,M062X,def2-SVP,293.0,0.0,1.0,260.13,480.1,8.0,9580.0,-1253.80434837,-1253.55965179,0.05760628,-1253.61725807,40.09,79.69,95.47,111.47
CIWCAN_4_protonated,M062X,def2-SVP,350.0,0.0,1.0,270.28,715.3,8.0,11523.0,-914.19607496,-913.9075619,0.06095635,-913.96851825,34.25,56.62,77.38,81.28
COXNEI_3_protonated,M062X,def2-SVP,358.0,0.0,1.0,317.7,735.7,8.0,10373.0,-1497.13061187,-1496.85934015,0.0623981,-1496.92173825,44.02,46.49,83.83,87.57
COYPAH_4_protonated,M062X,def2-SVP,398.0,0.0,1.0,318.28,1001.5,8.0,10820.0,-1178.16223838,-1177.8139905,0.06855292,-1177.88254342,31.98,49.77,69.82,73.82
DABWUY10,M062X,def2-SVP,423.0,0.0,1.0,313.34,1191.1,8.0,14881.0,-1090.24965715,-1089.83988053,0.06736733,-1089.90724786,45.57,58.48,59.87,63.24
DEHQOW_1_protonated,M062X,def2-SVP,336.0,0.0,1.0,266.26,657.4,8.0,8627.0,-946.47950977,-946.19441702,0.05822234,-946.25263936,43.84,55.82,83.77,118.69
DEMXEY_3_protonated,M062X,def2-SVP,369.0,0.0,1.0,297.28,816.0,8.0,11856.0,-1076.96030131,-1076.65119445,0.06248639,-1076.71368084,45.3,49.42,87.21,101.51
FEFZEX_1_protonated,M062X,def2-SVP,418.0,0.0,1.0,326.3,1156.3,8.0,14670.0,-1221.37523354,-1220.97739336,0.06867218,-1221.04606554,32.97,52.35,69.31,87.43
FIDZID,M062X,def2-SVP,447.0,0.0,1.0,327.37,1366.8,8.0,20355.0,-1129.52968906,-1129.09695418,0.06996604,-1129.16692022,44.94,47.94,55.07,74.74
FODNUK_1_protonated,M062X,def2-SVP,428.0,0.0,1.0,324.32,1230.1,8.0,18692.0,-1185.50509897,-1185.08596485,0.07016712,-1185.15613197,39.83,48.51,68.81,86.47
FUCWIJ_1_protonated,M062X,def2-SVP,355.0,0.0,1.0,281.28,748.3,8.0,7293.0,-1001.75646823,-1001.45154886,0.05959841,-1001.51114727,46.29,51.35,88.36,107.24
FULQUY_protonated,M062X,def2-SVP,462.0,0.0,1.0,332.38,1536.5,8.0,20493.0,-1151.85609882,-1151.38872183,0.0727324,-1151.46145423,25.17,47.21,62.88,67.72
GAPRHM10_2_protonated,M062X,def2-SVP,428.0,0.0,1.0,328.31,1231.2,8.0,15551.0,-1222.59546372,-1222.17658947,0.07109263,-1222.24768209,29.09,58.51,65.37,80.22
HANNOZ_2_protonated,M062X,def2-SVP,299.0,0.0,1.0,233.22,511.8,8.0,9869.0,-857.12197862,-856.84858642,0.05964478,-856.9082312,28.52,51.2,59.07,84.75
HECCAT_1_protonated,M062X,def2-SVP,382.0,0.0,1.0,326.34,871.4,8.0,8081.0,-1457.75696868,-1457.4549956,0.06266574,-1457.51766134,35.37,43.68,67.96,101.6
IJUTUF_1_protonated,M062X,def2-SVP,350.0,0.0,1.0,282.27,718.5,8.0,8571.0,-1017.83290985,-1017.54121204,0.06027315,-1017.60148519,44.58,53.42,85.35,122.55
INOSIN11_1_protonated,M062X,def2-SVP,326.0,0.0,1.0,268.24,594.3,8.0,6532.0,-982.36978918,-982.10765837,0.05627762,-982.16393599,49.41,57.07,90.57,132.22
IRASAV_4,M062X,def2-SVP,420.0,0.0,1.0,334.36,1084.1,8.0,12748.0,-1126.22231523,-1125.89710906,0.06428767,-1125.96139673,43.93,50.52,60.1,76.48
JAWJIA_1_protonated,M062X,def2-SVP,383.0,0.0,1.0,313.28,1118.6,8.0,12603.0,-1152.11561971,-1151.80016983,0.06532416,-1151.86549399,37.51,45.86,77.75,84.75
KAHROA,M062X,def2-SVP,284.0,0.0,1.0,212.26,445.9,8.0,12103.0,-682.70569703,-682.4634467,0.04826905,-682.51171575,95.52,128.24,138.42,167.6
KATVUW,M062X,def2-SVP,423.0,0.0,1.0,309.35,1189.9,8.0,18370.0,-1053.20505597,-1052.79932876,0.06667152,-1052.86600027,36.95,50.0,68.49,87.75
KECVAP_1_protonated,M062X,def2-SVP,362.0,0.0,1.0,332.38,749.6,8.0,10592.0,-1778.50558679,-1778.2369109,0.06346048,-1778.30037138,38.87,48.93,86.89,96.9
KEHZAY_1_protonated,M062X,def2-SVP,387.0,0.0,1.0,329.35,904.4,8.0,11954.0,-1475.01808148,-1474.70456129,0.06623657,-1474.77079786,38.75,40.41,78.05,80.51
MDXSPP_1_protonated,M062X,def2-SVP,337.0,0.0,1.0,251.28,684.2,8.0,7208.0,-860.28081452,-859.96898161,0.05850509,-860.0274867,28.42,50.13,60.5,85.72
MEBFAB_2_protonated,M062X,def2-SVP,299.0,0.0,1.0,229.24,511.9,8.0,6561.0,-816.15372586,-815.88002249,0.05768515,-815.93770764,38.14,48.31,69.74,78.3
OHEYEF_2,M062X,def2-SVP,457.0,0.0,1.0,337.37,1467.9,8.0,22127.0,-1204.87685531,-1204.41356574,0.07274038,-1204.48630612,40.3,52.97,70.67,76.58
OQISAK_2_protonated,M062X,def2-SVP,342.0,0.0,1.0,262.25,708.3,8.0,7328.0,-955.53922183,-955.21898645,0.06239141,-955.28137785,33.01,39.85,64.51,78.23
OWOSOK_1_protonated,M062X,def2-SVP,408.0,0.0,1.0,324.28,1077.9,8.0,12696.0,-1220.18208163,-1219.80679598,0.06558344,-1219.87237941,50.76,63.13,73.66,109.52
PEYXAT,M062X,def2-SVP,416.0,0.0,1.0,336.29,1063.3,8.0,18282.0,-1219.82617806,-1219.49180033,0.06945822,-1219.56125855,12.65,32.02,50.26,56.61
POXTRB10_1,M062X,def2-SVP,326.0,0.0,1.0,278.28,606.4,8.0,17370.0,-1313.08063571,-1312.8087343,0.06100959,-1312.86974389,47.91,61.65,67.2,75.76
RIRWOG_3_protonated,M062X,def2-SVP,383.0,0.0,1.0,309.27,879.3,8.0,8586.0,-1122.63436284,-1122.3216403,0.06575712,-1122.38739742,18.23,25.18,68.79,70.78
RUMXUV_1_protonated,M062X,def2-SVP,363.0,0.0,1.0,315.32,813.6,8.0,11244.0,-1435.75814329,-1435.47438381,0.06291782,-1435.53730162,44.22,46.89,80.09,84.73
SHOMYC_1_protonated,M062X,def2-SVP,279.0,0.0,1.0,229.19,419.3,8.0,4932.0,-854.73590903,-854.50833273,0.05401222,-854.56234495,50.13,82.06,97.72,138.66
SICNOJ_protonated,M062X,def2-SVP,323.0,0.0,1.0,239.27,623.4,8.0,6253.0,-822.20257242,-821.89910796,0.06016872,-821.95927669,25.21,40.63,76.19,89.78
THPRIB_1_protonated,M062X,def2-SVP,330.0,0.0,1.0,284.31,607.5,8.0,6533.0,-1305.27071867,-1305.01034837,0.05731536,-1305.06766373,41.99,58.0,87.65,120.59
ULEROS_protonated,M062X,def2-SVP,409.0,0.0,1.0,305.32,1104.4,8.0,15763.0,-1089.32754616,-1088.92977338,0.07060859,-1089.00038197,28.33,35.89,66.2,72.94
UXADUV_1,M062X,def2-SVP,360.0,0.0,1.0,288.25,778.2,8.0,9327.0,-1067.46456238,-1067.14732342,0.0555364,-1067.20285982,42.75,84.94,103.42,116.05
VELWEO,M062X,def2-SVP,332.0,0.0,1.0,240.31,656.9,8.0,8527.0,-761.24648382,-760.94712504,0.05528992,-761.00241496,63.93,67.4,113.99,129.35
WEKKUT_3_protonated,M062X,def2-SVP,436.0,0.0,1.0,336.36,1251.4,8.0,14459.0,-1173.6677263,-1173.27800935,0.06758655,-1173.3455959,40.72,51.73,60.01,69.07
WINQUG_protonated,M062X,def2-SVP,456.0,0.0,1.0,324.41,1423.6,8.0,34427.0,-1035.36269252,-1034.93364304,0.07053953,-1035.00418256,40.48,50.25,60.49,69.68
YABLOC,M062X,def2-SVP,314.0,0.0,1.0,230.26,590.0,8.0,9459.0,-801.42049733,-801.10783301,0.057264,-801.16509701,42.74,61.16,81.74,108.31
YEBBEM,M062X,def2-SVP,442.0,0.0,1.0,328.35,1321.3,8.0,13253.0,-1149.38113578,-1148.95311615,0.07066581,-1149.02378196,17.76,35.96,50.97,59.12
YUPJOJ,M062X,def2-SVP,248.0,0.0,1.0,176.21,352.2,8.0,4152.0,-614.60892791,-614.34531977,0.04890601,-614.39422577,31.65,98.14,142.01,149.68
ZADJIX_1,M062X,def2-SVP,360.0,0.0,1.0,280.27,781.1,8.0,8946.0,-993.34475612,-993.03088811,0.06104544,-993.09193355,30.78,60.45,64.28,89.78
