Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BAZQEZ_2_protonated,M062X,def2-TZVP,710.0,0.0,1.0,273.28,1638.9,16.0,57662.0,-936.31284067,-936.01413509,0.06236204,-936.07649713,19.7,39.06,47.9,65.39
BIBXIT_1_protonated,M062X,def2-TZVP,636.0,0.0,1.0,259.22,1671.7,16.0,49768.0,-966.48501101,-966.2209497,0.05924061,-966.28019031,42.0,46.36,85.34,110.8
CABZOV_protonated,M062X,def2-TZVP,709.0,0.0,1.0,264.31,1645.3,16.0,59481.0,-884.53695341,-884.18471936,0.06129759,-884.24601695,27.2,53.77,62.11,77.31
CABZUB_1_protonated,M062X,def2-TZVP,734.0,0.0,1.0,282.3,1646.6,16.0,64596.0,-983.79066574,-983.44591118,0.06320662,-983.5091178,25.91,49.2,57.7,76.39
CATGUB_1_protonated,M062X,def2-TZVP,667.0,0.0,1.0,267.25,1658.0,16.0,46226.0,-963.61488519,-963.34227951,0.0580663,-963.40034581,47.05,58.59,85.61,123.55
CIBWEQ_3_protonated,M062X,def2-TZVP,845.0,0.0,1.0,326.34,1621.0,16.0,107680.0,-1149.54770085,-1149.14584477,0.06845441,-1149.21429918,31.52,40.49,54.83,82.27
CIMDUX01_3_protonated,M062X,def2-TZVP,580.0,0.0,1.0,260.13,1615.0,16.0,43276.0,-1255.03772903,-1254.79361756,0.05814295,-1254.85176051,48.83,83.3,96.48,117.11
CIWCAN_4_protonated,M062X,def2-TZVP,704.0,0.0,1.0,270.28,1649.0,16.0,65744.0,-915.2251292,-914.93767897,0.06158485,-914.99926382,32.18,54.1,57.98,74.94
COXNEI_3_protonated,M062X,def2-TZVP,729.0,0.0,1.0,317.7,1637.0,16.0,61509.0,-1498.47141519,-1498.20127862,0.06255608,-1498.2638347,44.53,46.67,85.0,88.17
COYPAH_4_protonated,M062X,def2-TZVP,790.0,0.0,1.0,318.28,1638.3,16.0,128456.0,-1179.51978879,-1179.17289807,0.07019343,-1179.24309149,21.71,32.82,55.23,69.58
DABWUY10,M062X,def2-TZVP,820.0,0.0,1.0,313.34,1616.5,16.0,92054.0,-1091.49984041,-1091.09114491,0.06790383,-1091.15904874,35.79,44.79,58.17,72.57
DEHQOW_1_protonated,M062X,def2-TZVP,673.0,0.0,1.0,266.26,1660.4,16.0,51189.0,-947.55599226,-947.27169171,0.05830583,-947.32999755,46.55,55.97,74.86,122.4
DEMXEY_3_protonated,M062X,def2-TZVP,741.0,0.0,1.0,297.28,1656.7,16.0,62928.0,-1078.19067632,-1077.88258453,0.06261795,-1077.94520248,46.14,48.98,88.33,101.27
FEFZEX_1_protonated,M062X,def2-TZVP,814.0,0.0,1.0,326.3,1629.1,16.0,105068.0,-1222.79760388,-1222.40161921,0.069766,-1222.47138521,22.71,48.5,63.29,78.42
FIDZID,M062X,def2-TZVP,863.0,0.0,1.0,327.37,1602.1,16.0,136301.0,-1130.81387323,-1130.38146444,0.07092349,-1130.45238793,32.86,41.73,52.09,70.43
FODNUK_1_protonated,M062X,def2-TZVP,826.0,0.0,1.0,324.32,1616.1,16.0,119705.0,-1186.88386025,-1186.46648993,0.07199187,-1186.5384818,22.79,39.41,54.19,75.0
FUCWIJ_1_protonated,M062X,def2-TZVP,710.0,0.0,1.0,281.28,1646.1,16.0,53140.0,-1002.89853456,-1002.59477279,0.06012596,-1002.65489875,44.68,52.6,81.0,105.48
FULQUY_protonated,M062X,def2-TZVP,881.0,0.0,1.0,332.38,1604.2,16.0,142168.0,-1153.17646881,-1152.70902182,0.07332999,-1152.78235181,30.94,50.97,55.58,65.58
GAPRHM10_2_protonated,M062X,def2-TZVP,826.0,0.0,1.0,328.31,1617.8,16.0,109381.0,-1224.01732623,-1223.60052609,0.0725115,-1223.67303759,26.7,46.32,56.58,76.21
HANNOZ_2_protonated,M062X,def2-TZVP,586.0,0.0,1.0,233.22,1695.1,16.0,52072.0,-858.11672361,-857.84377973,0.06039214,-857.90417187,29.77,48.91,57.69,73.49
HECCAT_1_protonated,M062X,def2-TZVP,772.0,0.0,1.0,326.34,1693.4,16.0,56986.0,-1459.10105781,-1458.80007791,0.06293333,-1458.86301124,41.75,47.88,71.68,101.24
IJUTUF_1_protonated,M062X,def2-TZVP,704.0,0.0,1.0,282.27,1644.4,16.0,57031.0,-1018.99412554,-1018.70352307,0.06089974,-1018.76442281,43.08,54.81,86.65,123.48
INOSIN11_1_protonated,M062X,def2-TZVP,661.0,0.0,1.0,268.24,1655.3,16.0,46727.0,-983.49373169,-983.23288241,0.05676523,-983.28964764,49.74,59.1,86.25,125.34
IRASAV_4,M062X,def2-TZVP,859.0,0.0,1.0,334.36,1645.6,16.0,114035.0,-1127.47849603,-1127.15495622,0.06479181,-1127.21974803,32.62,48.83,57.02,75.88
JAWJIA_1_protonated,M062X,def2-TZVP,772.0,0.0,1.0,313.28,1687.6,16.0,61289.0,-1153.4328296,-1153.1188269,0.06606411,-1153.18489101,35.82,41.51,75.03,83.16
KAHROA,M062X,def2-TZVP,568.0,0.0,1.0,212.26,1512.2,16.0,66179.0,-683.46213072,-683.22066491,0.04853717,-683.26920208,92.65,107.48,140.96,165.82
KATVUW,M062X,def2-TZVP,820.0,0.0,1.0,309.35,1618.5,16.0,103918.0,-1054.3954958,-1053.98955727,0.06639984,-1054.05595711,32.92,53.91,78.22,79.93
KECVAP_1_protonated,M062X,def2-TZVP,735.0,0.0,1.0,332.38,1639.2,16.0,74365.0,-1779.90017432,-1779.63279608,0.06444771,-1779.69724379,37.29,40.07,79.48,97.93
KEHZAY_1_protonated,M062X,def2-TZVP,778.0,0.0,1.0,329.35,1635.5,16.0,81921.0,-1476.3789655,-1476.06671218,0.06705275,-1476.13376493,34.42,43.17,77.99,80.99
MDXSPP_1_protonated,M062X,def2-TZVP,660.0,0.0,1.0,251.28,1665.3,16.0,47258.0,-861.25726813,-860.9460292,0.0591039,-861.00513311,32.63,46.93,54.28,83.26
MEBFAB_2_protonated,M062X,def2-TZVP,586.0,0.0,1.0,229.24,1695.3,16.0,45493.0,-817.09632223,-816.82359429,0.05864662,-816.88224091,25.86,43.91,61.81,77.72
OHEYEF_2,M062X,def2-TZVP,875.0,0.0,1.0,337.37,1603.3,16.0,203109.0,-1206.26966433,-1205.80770423,0.07399353,-1205.88169776,33.03,44.35,46.36,61.45
OQISAK_2_protonated,M062X,def2-TZVP,666.0,0.0,1.0,262.25,1657.2,16.0,48928.0,-956.64404481,-956.32399335,0.06284473,-956.38683808,30.82,39.81,63.0,74.61
OWOSOK_1_protonated,M062X,def2-TZVP,802.0,0.0,1.0,324.28,1622.2,16.0,69906.0,-1221.60082744,-1221.22771906,0.06632421,-1221.29404327,49.65,61.15,73.07,106.18
PEYXAT,M062X,def2-TZVP,840.0,0.0,1.0,336.29,1618.9,16.0,124834.0,-1221.21671213,-1220.88308562,0.06966214,-1220.95274776,22.95,43.09,44.42,53.01
POXTRB10_1,M062X,def2-TZVP,648.0,0.0,1.0,278.28,1670.7,16.0,59753.0,-1314.27732144,-1314.00630103,0.0612343,-1314.06753533,48.68,53.94,67.83,74.37
RIRWOG_3_protonated,M062X,def2-TZVP,772.0,0.0,1.0,309.27,1635.8,16.0,59653.0,-1123.91927268,-1123.60802098,0.06610914,-1123.67413012,23.1,34.09,66.75,73.69
RUMXUV_1_protonated,M062X,def2-TZVP,735.0,0.0,1.0,315.32,1646.4,16.0,63872.0,-1437.07776871,-1436.79500509,0.0631911,-1436.85819619,45.24,48.59,80.68,87.98
