Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BAZQEZ_2_protonated,WB97M-D3BJ,def2-TZVP,710.0,0.0,1.0,273.28,2600.1,8.0,50275.0,-936.96848792,-936.67065256,0.06262626,-936.73327883,20.2,25.25,41.48,69.19
BIBXIT_1_protonated,WB97M-D3BJ,def2-TZVP,636.0,0.0,1.0,259.22,2037.5,8.0,54940.0,-967.1239284,-966.86124227,0.05968603,-966.92092829,34.69,41.71,81.9,98.05
CABZOV_protonated,WB97M-D3BJ,def2-TZVP,709.0,0.0,1.0,264.31,2787.6,8.0,65597.0,-885.16183096,-884.81073195,0.06206011,-884.87279206,22.7,36.28,49.99,72.51
CABZUB_1_protonated,WB97M-D3BJ,def2-TZVP,734.0,0.0,1.0,282.3,2972.5,8.0,68395.0,-984.46330206,-984.11962993,0.06427999,-984.18390993,13.89,25.28,40.13,65.47
CATGUB_1_protonated,WB97M-D3BJ,def2-TZVP,667.0,0.0,1.0,267.25,2209.9,8.0,49844.0,-964.26502338,-963.99346934,0.0587883,-964.05225764,42.24,52.22,85.05,87.08
CIBWEQ_3_protonated,WB97M-D3BJ,def2-TZVP,845.0,0.0,1.0,326.34,3009.0,8.0,94834.0,-1150.32855517,-1149.92834715,0.06871661,-1149.99706376,29.7,44.98,57.26,78.27
CIMDUX01_3_protonated,WB97M-D3BJ,def2-TZVP,580.0,0.0,1.0,260.13,1602.3,8.0,38834.0,-1255.67114284,-1255.42844067,0.05827677,-1255.48671744,53.47,78.81,88.8,109.56
CIWCAN_4_protonated,WB97M-D3BJ,def2-TZVP,704.0,0.0,1.0,270.28,2531.3,8.0,72676.0,-915.87331801,-915.5866276,0.06215321,-915.64878081,24.55,49.27,58.08,72.0
COXNEI_3_protonated,WB97M-D3BJ,def2-TZVP,729.0,0.0,1.0,317.7,2656.5,8.0,66625.0,-1499.23030918,-1498.96115555,0.06275006,-1499.02390561,40.51,43.81,84.78,88.09
COYPAH_4_protonated,WB97M-D3BJ,def2-TZVP,790.0,0.0,1.0,318.28,3018.2,8.0,99028.0,-1180.30025522,-1179.95515167,0.07056076,-1180.02571243,20.28,40.36,50.0,64.15
