Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF)
BAZQEZ_2_protonated,DLPNO-CCSD(T),cc-pVTZ,930.0,0.0,1.0,273.28,43918.8,4.0,19638.0,-934.761908195372
BIBXIT_1_protonated,DLPNO-CCSD(T),cc-pVTZ,830.0,0.0,1.0,259.22,27255.0,4.0,19539.0,-964.980224726482
CABZOV_protonated,DLPNO-CCSD(T),cc-pVTZ,964.0,0.0,1.0,264.31,32235.2,4.0,16460.0,-883.084860939534
CABZUB_1_protonated,DLPNO-CCSD(T),cc-pVTZ,986.0,0.0,1.0,282.3,33401.2,4.0,18315.0,-982.215823728903
CATGUB_1_protonated,DLPNO-CCSD(T),cc-pVTZ,866.0,0.0,1.0,267.25,33214.6,4.0,16557.0,-962.073473648772
CIBWEQ_3_protonated,DLPNO-CCSD(T),cc-pVTZ,1136.0,0.0,1.0,326.34,37080.9,4.0,23754.0,-1147.718219391857
CIMDUX01_3_protonated,DLPNO-CCSD(T),cc-pVTZ,781.0,0.0,1.0,260.13,19181.1,4.0,12889.0,-1253.254451620271
CIWCAN_4_protonated,DLPNO-CCSD(T),cc-pVTZ,916.0,0.0,1.0,270.28,39658.2,4.0,21249.0,-913.690612662783
COXNEI_3_protonated,DLPNO-CCSD(T),cc-pVTZ,947.0,0.0,1.0,317.7,37630.3,4.0,24157.0,-1496.356098210694
COYPAH_4_protonated,DLPNO-CCSD(T),cc-pVTZ,1044.0,0.0,1.0,318.28,33759.3,4.0,22846.0,-1177.696944918303
DABWUY10,DLPNO-CCSD(T),cc-pVTZ,1114.0,0.0,1.0,313.34,30687.0,4.0,20247.0,-1089.748029938288
DEHQOW_1_protonated,DLPNO-CCSD(T),cc-pVTZ,880.0,0.0,1.0,266.26,36382.7,4.0,20969.0,-946.030291165015
DEMXEY_3_protonated,DLPNO-CCSD(T),cc-pVTZ,966.0,0.0,1.0,297.28,36880.3,4.0,22119.0,-1076.47633118674
