Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
AceticAcids,M062X,def2-TZVP,142.0,-1.0,1.0,59.04,40.0,8.0,645.0,-228.52109867,-228.46706281,0.03229947,-228.49936228,29.17,441.25,611.23,643.0
AlcoholAceticAcid,M062X,def2-TZVP,173.0,-1.0,1.0,75.04,53.0,8.0,962.0,-303.76518986,-303.70429272,0.0333681,-303.73766081,134.32,319.62,514.46,595.75
BenzoicAcid,M062X,def2-TZVP,309.0,-1.0,1.0,121.11,369.9,8.0,3648.0,-420.26610876,-420.15544037,0.03933234,-420.1947727,66.36,162.11,223.06,373.7
Ethanol,M062X,def2-TZVP,123.0,-1.0,1.0,45.06,38.5,8.0,569.0,-154.4054588,-154.33572042,0.02970155,-154.36542197,287.42,428.71,769.3,825.72
Methanol,M062X,def2-TZVP,80.0,-1.0,1.0,31.03,19.7,8.0,273.0,-115.08750663,-115.04786858,0.0260733,-115.07394188,1186.56,1186.84,1207.49,1445.45
NitroAceticAcid,M062X,def2-TZVP,229.0,-1.0,1.0,104.05,78.1,8.0,1576.0,-433.06226174,-433.00190528,0.03791411,-433.03981938,66.45,94.69,170.05,384.4
pAlcoholBenzoicAcid,M062X,def2-TZVP,340.0,-1.0,1.0,137.11,438.5,8.0,5743.0,-495.49897167,-495.38270987,0.04198791,-495.42469779,71.55,111.73,197.62,288.47
pAminoBenzoicAcid,M062X,def2-TZVP,346.0,-1.0,1.0,136.13,463.2,8.0,11992.0,-475.62323818,-475.49425289,0.04243552,-475.53668841,71.79,109.72,195.0,225.19
pAminoPhenol,M062X,def2-TZVP,284.0,-1.0,1.0,108.12,308.8,8.0,17602.0,-362.23904617,-362.12312776,0.03871862,-362.16184638,94.67,141.57,305.67,346.46
pBromoBenzoicAcid,M062X,def2-TZVP,351.0,-1.0,1.0,200.0,443.2,8.0,4811.0,-2993.87166497,-2993.76947559,0.04377315,-2993.81324874,71.96,80.05,157.24,244.99
pChloroPhenol,M062X,def2-TZVP,278.0,-1.0,1.0,127.54,279.3,8.0,2898.0,-766.50290404,-766.41324735,0.03842071,-766.45166806,114.57,260.11,276.13,377.23
pFluoroBenzoicAcid,M062X,def2-TZVP,334.0,-1.0,1.0,139.1,412.3,8.0,5951.0,-519.52499953,-519.42146519,0.04129377,-519.46275896,71.59,112.69,198.63,311.03
Phenol,M062X,def2-TZVP,247.0,-1.0,1.0,93.1,226.8,8.0,3325.0,-306.88844872,-306.79103702,0.03501646,-306.82605347,197.4,432.52,452.74,492.71
Phosphate,M062X,def2-TZVP,173.0,-1.0,1.0,96.99,48.7,8.0,913.0,-643.68068435,-643.63608567,0.0351085,-643.67119417,156.36,330.67,343.26,385.37
pNitroBenzoicAcid,M062X,def2-TZVP,396.0,-1.0,1.0,166.11,643.4,8.0,5742.0,-624.79909712,-624.68270156,0.04529429,-624.72799585,53.12,72.74,84.0,166.99
pNitroPhenol,M062X,def2-TZVP,334.0,-1.0,1.0,138.1,406.0,8.0,5416.0,-511.44448731,-511.34054379,0.04095871,-511.3815025,96.98,104.01,241.79,256.56
TrifluoroAceticAcid,M062X,def2-TZVP,217.0,-1.0,1.0,113.02,60.9,8.0,1541.0,-526.32406221,-526.29048693,0.03731744,-526.32780437,26.4,248.52,260.98,380.09
Trifluoroethanol,M062X,def2-TZVP,198.0,-1.0,1.0,99.04,61.2,8.0,1393.0,-452.22205573,-452.17226822,0.03556487,-452.20783309,135.81,232.23,344.06,418.42
Water,M062X,def2-TZVP,37.0,-1.0,1.0,17.01,13.7,8.0,143.0,-75.7756154,-75.76376679,0.01955867,-75.78332546,,,,
