Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
Argon,M062X,def2-TZVP,51.0,1.0,1.0,46.89,15.1,8.0,217.0,-534.81531304,-534.81094083,0.02521353,-534.83615437,,,,,
Carbonyl,M062X,def2-TZVP,76.0,1.0,1.0,34.95,16.0,8.0,415.0,-120.62999197,-120.61856386,0.02277315,-120.64133701,231.59,363.2,2386.3,,
Dimethylether,M062X,def2-TZVP,143.0,1.0,1.0,53.01,53.2,8.0,1050.0,-162.35710952,-162.26723254,0.03450756,-162.3017401,140.92,167.52,176.78,271.32,
Ethanol,M062X,def2-TZVP,143.0,1.0,1.0,53.01,53.2,8.0,1468.0,-162.37719599,-162.28761508,0.03413351,-162.32174859,120.5,126.16,291.12,394.96,
i-Propanol,M062X,def2-TZVP,186.0,1.0,1.0,67.03,147.6,8.0,2521.0,-201.69280433,-201.57405294,0.03707099,-201.61112393,94.13,136.62,240.56,293.22,
Imidazole,M062X,def2-TZVP,193.0,1.0,1.0,75.02,72.2,8.0,2088.0,-233.57950268,-233.49863898,0.03416317,-233.53280215,137.73,177.7,517.57,635.8,
Lithium,M062X,def2-TZVP,14.0,1.0,1.0,6.94,8.5,1.0,1.0,-7.282897579,,,,,,,,.XYZ File not found
Methanol,M062X,def2-TZVP,100.0,1.0,1.0,38.98,29.5,8.0,568.0,-123.06055241,-123.00050093,0.03091187,-123.0314128,121.79,212.44,419.29,588.18,
Pyrazine,M062X,def2-TZVP,224.0,1.0,1.0,87.03,186.5,8.0,3347.0,-271.64780122,-271.56141089,0.03585876,-271.59726965,128.34,160.41,363.07,448.11,
Pyridazine,M062X,def2-TZVP,224.0,1.0,1.0,87.03,186.5,8.0,4003.0,-271.64685601,-271.56037188,0.03507536,-271.59544724,172.26,270.18,391.6,409.79,
Pyridine,M062X,def2-TZVP,230.0,1.0,1.0,86.04,201.6,8.0,2908.0,-255.62305833,-255.52434448,0.03601471,-255.56035919,125.62,155.73,394.86,425.72,
Pyrimidine,M062X,def2-TZVP,224.0,1.0,1.0,87.03,186.5,8.0,2843.0,-271.65820797,-271.5715761,0.03585526,-271.60743135,130.03,165.28,359.34,421.71,
s-Triazine,M062X,def2-TZVP,218.0,1.0,1.0,88.02,82.6,8.0,2304.0,-287.69583957,-287.62126257,0.03576616,-287.65702873,131.17,173.09,357.46,364.47,
t-Butanol,M062X,def2-TZVP,229.0,1.0,1.0,81.06,226.9,8.0,4063.0,-241.00777919,-240.86008924,0.03972861,-240.89981786,87.89,143.22,224.75,282.82,
Water,M062X,def2-TZVP,57.0,1.0,1.0,24.96,14.0,8.0,441.0,-83.76811124,-83.73883269,0.02618902,-83.76502171,430.28,543.86,580.37,1668.57,
