Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
Argon,WB97M-D3BJ,def2-TZVP,51.0,1.0,1.0,46.89,25.6,8.0,223.0,-534.88191747,-534.87754311,0.02519509,-534.9027382,,,,,
Carbonyl,WB97M-D3BJ,def2-TZVP,76.0,1.0,1.0,34.95,26.1,8.0,247.0,-120.70955858,-120.69823467,0.02302392,-120.7212586,227.5,359.51,2343.95,,
Dimethylether,WB97M-D3BJ,def2-TZVP,143.0,1.0,1.0,53.01,48.5,8.0,1582.0,-162.46577025,-162.37646293,0.03474956,-162.41121249,126.46,164.77,167.84,254.66,
Ethanol,WB97M-D3BJ,def2-TZVP,143.0,1.0,1.0,53.01,48.3,8.0,1996.0,-162.48783856,-162.39867108,0.03427968,-162.43295076,113.2,119.76,283.67,382.85,
i-Propanol,WB97M-D3BJ,def2-TZVP,186.0,1.0,1.0,67.03,141.5,8.0,3173.0,-201.83495163,-201.71668069,0.03727632,-201.753957,91.63,121.22,236.86,287.73,
Imidazole,WB97M-D3BJ,def2-TZVP,193.0,1.0,1.0,75.02,67.1,8.0,2295.0,-233.74410987,-233.66348698,0.03423334,-233.69772032,134.49,177.88,505.98,622.23,
Lithium,,,,,,,,,,,,,,,,,,"Unknown Error, probably timeout"
Methanol,WB97M-D3BJ,def2-TZVP,100.0,1.0,1.0,38.98,27.0,8.0,1120.0,-123.13980166,-123.08012728,0.03105051,-123.11117779,106.3,209.43,409.73,568.22,
Pyrazine,WB97M-D3BJ,def2-TZVP,224.0,1.0,1.0,87.03,183.5,8.0,4203.0,-271.84315612,-271.75698721,0.03590526,-271.79289248,125.7,161.35,362.16,439.42,
Pyridazine,WB97M-D3BJ,def2-TZVP,224.0,1.0,1.0,87.03,183.5,8.0,4452.0,-271.84307648,-271.75680833,0.03518626,-271.79199458,168.83,256.36,388.45,407.33,
Pyridine,WB97M-D3BJ,def2-TZVP,230.0,1.0,1.0,86.04,199.0,8.0,3197.0,-255.81162303,-255.71306991,0.03604681,-255.74911672,122.73,157.46,394.58,422.8,
Pyrimidine,WB97M-D3BJ,def2-TZVP,224.0,1.0,1.0,87.03,183.9,8.0,2694.0,-271.85385196,-271.76742578,0.03591171,-271.80333749,126.67,165.64,356.07,418.48,
s-Triazine,WB97M-D3BJ,def2-TZVP,218.0,1.0,1.0,88.02,77.3,8.0,2938.0,-287.89879696,-287.82443588,0.03582455,-287.86026043,127.93,172.88,352.5,362.47,
t-Butanol,WB97M-D3BJ,def2-TZVP,229.0,1.0,1.0,81.06,220.3,8.0,5580.0,-241.18129069,-241.03417427,0.03998182,-241.07415609,88.02,138.12,218.14,271.2,
Water,WB97M-D3BJ,def2-TZVP,57.0,1.0,1.0,24.96,25.8,8.0,516.0,-83.8174074,-83.78827501,0.02624681,-83.81452182,418.98,537.78,557.37,1675.87,
