Identifier,Error Code,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
Argon,.XYZ File not found,M062X,def2-TZVP,37.0,0.0,1.0,39.95,15.1,1.0,2.0,-527.523159997117,,,,,,,
Carbonyl,,M062X,def2-TZVP,62.0,0.0,1.0,28.01,13.7,4.0,99.0,-113.32233341,-113.31383768,0.02241472,-113.3362524,,,,
Dimethylether,,M062X,def2-TZVP,129.0,0.0,1.0,46.07,48.4,4.0,5680.0,-155.01145077,-154.92558441,0.0298915,-154.95547591,215.16,266.67,428.6,986.89
Ethanol,,M062X,def2-TZVP,129.0,0.0,1.0,46.07,48.4,4.0,5219.0,-155.02733177,-154.94144112,0.03060097,-154.97204209,263.82,282.58,427.81,807.85
i-Propanol,,M062X,def2-TZVP,172.0,0.0,1.0,60.09,131.4,4.0,7441.0,-194.34010365,-194.22494293,0.03379777,-194.2587407,232.91,257.01,279.42,366.69
Imidazole,,M062X,def2-TZVP,179.0,0.0,1.0,68.08,66.5,4.0,1136.0,-226.21245252,-226.13571041,0.03085497,-226.16656538,562.0,657.02,691.36,761.21
Methanol,,M062X,def2-TZVP,86.0,0.0,1.0,32.04,26.1,4.0,3279.0,-115.71536992,-115.65925836,0.02703613,-115.6862945,306.83,1071.36,1117.48,1182.67
Pyrazine,,M062X,def2-TZVP,210.0,0.0,1.0,80.09,85.3,4.0,1606.0,-264.30326383,-264.22057969,0.03108696,-264.25166666,362.99,438.16,608.5,723.09
Pyridazine,,M062X,def2-TZVP,210.0,0.0,1.0,80.09,85.7,4.0,1641.0,-264.27264575,-264.19050604,0.03183232,-264.22233836,384.75,386.58,634.89,683.57
Pyridine,,M062X,def2-TZVP,216.0,0.0,1.0,79.1,201.5,4.0,1730.0,-248.26589486,-248.17116862,0.03191352,-248.20308214,389.69,420.45,613.7,670.03
Pyrimidine,,M062X,def2-TZVP,210.0,0.0,1.0,80.09,85.2,4.0,1601.0,-264.31049734,-264.22760803,0.03177002,-264.25937805,360.98,414.61,633.75,697.97
s-Triazine,,M062X,def2-TZVP,204.0,0.0,1.0,81.08,76.6,4.0,1455.0,-280.35850273,-280.28738075,0.03231169,-280.31969244,361.06,361.34,695.77,695.95
t-Butanol,,M062X,def2-TZVP,215.0,0.0,1.0,74.12,205.7,4.0,9788.0,-233.65303127,-233.50882596,0.0365087,-233.54533466,205.93,269.75,283.22,300.03
Water,,M062X,def2-TZVP,43.0,0.0,1.0,18.02,13.7,4.0,2046.0,-76.4262296,-76.40092449,0.02141524,-76.42233973,1608.24,3866.37,3973.88,
