Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CUBNUI_CREST1,WB97M-D3BJ,def2-TZVP,477.0,1.0,1.0,197.1,1015.3,8.0,22048.0,-728.34483424,-728.147244,0.05410952,-728.20135353,49.01,54.99,64.29,78.52
CUBNUI_CREST2,WB97M-D3BJ,def2-TZVP,477.0,1.0,1.0,197.1,1015.4,8.0,20034.0,-728.34479242,-728.14714687,0.05407201,-728.20121888,50.24,55.35,66.08,80.09
CUBNUI_CREST3,WB97M-D3BJ,def2-TZVP,477.0,1.0,1.0,197.1,1015.4,8.0,20063.0,-728.3447448,-728.14729595,0.0543669,-728.20166285,43.64,43.85,65.78,82.09
REGXAC_CREST1,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1586.5,8.0,122421.0,-951.94650921,-951.36488548,0.0686673,-951.43355277,61.46,72.34,103.39,108.61
REGXAC_CREST10,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.1,8.0,119738.0,-951.94263409,-951.36095518,0.06878752,-951.4297427,68.15,105.95,115.59,123.5
REGXAC_CREST11,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.8,8.0,128376.0,-951.93783196,-951.35663463,0.06930351,-951.42593814,69.34,89.65,105.48,117.36
REGXAC_CREST12,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1585.2,8.0,164009.0,-951.93419405,-951.35308219,0.0697235,-951.42280569,49.75,73.47,90.67,102.17
REGXAC_CREST13,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.3,8.0,132395.0,-951.93953894,-951.35817036,0.06947882,-951.42764918,47.11,94.99,108.55,112.0
REGXAC_CREST14,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.9,8.0,164553.0,-951.93941984,-951.35778427,0.0688212,-951.42660548,80.09,103.66,113.41,124.65
REGXAC_CREST15,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.0,8.0,174450.0,-951.94175574,-951.35974096,0.06887513,-951.42861609,79.5,98.4,116.26,133.53
REGXAC_CREST16,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.8,8.0,187250.0,-951.93347946,-951.35192347,0.06922842,-951.42115189,58.16,65.32,90.29,106.77
REGXAC_CREST17,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.9,8.0,149518.0,-951.9390497,-951.35729352,0.06887453,-951.42616805,50.73,87.54,95.97,112.57
REGXAC_CREST18,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.9,8.0,143050.0,-951.93399733,-951.35285259,0.06926837,-951.42212096,70.78,84.81,106.48,121.04
REGXAC_CREST19,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1586.7,8.0,144408.0,-951.93569399,-951.35414001,0.06864424,-951.42278426,62.89,72.89,104.6,128.04
REGXAC_CREST2,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.2,8.0,156870.0,-951.94649658,-951.36522953,0.06920375,-951.43443328,67.23,90.62,102.55,105.54
REGXAC_CREST20,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1586.4,8.0,207896.0,-951.93627876,-951.35462505,0.0691472,-951.42377225,56.38,82.55,98.27,110.52
REGXAC_CREST21,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.0,8.0,147629.0,-951.93719047,-951.35563563,0.06917808,-951.42481371,47.54,91.63,112.52,120.61
REGXAC_CREST22,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.0,8.0,144075.0,-951.93678256,-951.35563483,0.06990704,-951.42554187,51.25,83.51,90.57,105.62
REGXAC_CREST3,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.1,8.0,147725.0,-951.941787,-951.36023579,0.0689272,-951.42916298,42.58,98.04,108.34,124.03
REGXAC_CREST4,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1588.0,8.0,151058.0,-951.94094027,-951.3596041,0.06899582,-951.42859993,72.18,92.23,101.51,122.97
REGXAC_CREST5,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1590.1,8.0,179095.0,-951.94036736,-951.3587094,0.0689143,-951.4276237,37.03,76.62,97.82,121.14
REGXAC_CREST6,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.9,8.0,146340.0,-951.93900287,-951.35738952,0.06890072,-951.42629024,65.57,69.72,77.29,104.37
REGXAC_CREST7,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1609.5,8.0,141287.0,-951.94115442,-951.36013252,0.06905549,-951.42918801,43.62,62.21,97.25,117.24
REGXAC_CREST8,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.8,8.0,143189.0,-951.9397228,-951.35806124,0.06901224,-951.42707349,60.21,101.8,103.41,116.63
REGXAC_CREST9,WB97M-D3BJ,def2-TZVP,918.0,1.0,1.0,318.46,1587.1,8.0,135602.0,-951.93893855,-951.35723417,0.06903879,-951.42627296,56.26,71.73,81.26,113.94
