Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
CUBNUI_CREST1,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,941.4,8.0,19459.0,-720.85092137,-720.65716274,0.05315457,-720.71031731,45.46,52.91,74.18,79.18,,-5.810734938063069
CUBNUI_CREST10,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,941.8,8.0,23755.0,-720.85472127,-720.66126028,0.05344713,-720.71470741,46.49,51.63,58.74,74.8,,-5.606169347965634
CUBNUI_CREST11,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.2,8.0,14305.0,-720.85853334,-720.66541151,0.05394061,-720.71935212,34.48,44.42,51.88,70.15,,-5.2016488058523365
CUBNUI_CREST12,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.8,8.0,18086.0,-720.85321502,-720.65985237,0.05463094,-720.71448331,8.06,49.3,59.37,66.24,,-5.461756867170427
CUBNUI_CREST13,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,940.0,8.0,18472.0,-720.85369045,-720.66020748,0.0538905,-720.71409798,35.18,38.99,55.57,63.32,,-5.4007876249272755
CUBNUI_CREST14,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.4,8.0,26299.0,-720.85733386,-720.6644418,0.05401091,-720.71845271,36.64,42.67,51.45,52.13,,-5.337680253886238
CUBNUI_CREST15,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,958.2,8.0,34301.0,-720.85589815,-720.66287135,0.05431513,-720.71718648,26.96,42.52,46.92,63.78,,-5.504071009552972
CUBNUI_CREST16,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.5,8.0,30471.0,-720.85850756,-720.66529496,0.05371255,-720.71900751,40.21,47.36,58.57,73.26,,-7.020217893662995
CUBNUI_CREST17,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.7,8.0,17201.0,-720.85612969,-720.66285862,0.05343473,-720.71629335,37.85,56.16,59.19,87.19,,-6.388670997795
CUBNUI_CREST18,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.8,8.0,47922.0,-720.85466245,-720.66122669,0.05359121,-720.7148179,44.14,49.73,57.57,67.12,,-5.404483237395702
CUBNUI_CREST19,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.6,8.0,18117.0,-720.85567801,-720.66246486,0.05331044,-720.7157753,39.43,55.55,66.79,87.25,,-7.1466740070947985
CUBNUI_CREST2,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,972.5,8.0,32454.0,-720.8532939,-720.65979176,0.05405031,-720.71384207,23.33,39.75,50.02,62.15,,-5.747485027970284
CUBNUI_CREST20,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.4,8.0,27674.0,-720.85733958,-720.66438875,0.05391273,-720.71830148,43.96,47.47,49.64,54.51,,-5.137835464575862
CUBNUI_CREST21,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,941.9,8.0,20526.0,-720.8536419,-720.6601331,0.0538918,-720.71402489,36.13,37.86,53.2,67.97,,-6.386100753150405
CUBNUI_CREST22,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,944.1,8.0,20637.0,-720.85371891,-720.66020302,0.0539321,-720.71413512,39.21,40.24,58.46,72.58,,-5.30472669717198
CUBNUI_CREST23,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,941.7,8.0,14174.0,-720.85665247,-720.66330508,0.05379937,-720.71710445,31.15,48.09,58.79,72.21,,-5.5671647883844955
CUBNUI_CREST24,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,939.5,8.0,14364.0,-720.85850952,-720.66530439,0.05371719,-720.71902159,43.43,48.05,57.32,69.86,,-5.821815618895931
CUBNUI_CREST25,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,936.5,8.0,21452.0,-720.85420948,-720.66074541,0.05402149,-720.7147669,32.39,45.6,56.69,65.19,,-5.915867578625916
CUBNUI_CREST26,WB97M-D3BJ,def2-TZVP,463.0,0.0,1.0,190.16,940.1,8.0,19577.0,-720.8538966,-720.6605067,0.05405619,-720.71456289,20.65,37.56,52.56,55.88,,-5.323160654057808
