Identifier,Metal,Exp Mult at RT,Point Group,Reference
BIHGEE,Co(II),4,Td,https://doi.org/10.1039/C3CC00277B
BIHGII,Co(II),4,Td,https://doi.org/10.1016/j.inoche.2013.05.031
BUQVOY,Co(II),2,Td,https://doi.org/10.1021/ja026433e
CETBOV,Co(II),4,Td,https://doi.org/10.1039/C7DT04007E
CETBUB,Co(II),4,Td,https://doi.org/10.1039/C7DT04007E
CTPYCO01,Co(II),4,D3h,https://doi.org/10.1002/anie.201303005
DAHROU01,Co(II),4,Oh,https://doi.org/10.1016/j.ica.2011.07.013
FUFVUX02,Co(II),4,Td,https://doi.org/10.1016/j.poly.2012.01.023
JAWJAT01,Co(II),4,Oh,https://doi.org/10.1016/j.ica.2012.03.036
JUWPIA10,Co(II),2,D4h,https://doi.org/10.1039/A606541D
LEGWAW,Co(II),4,Td,"https://doi.org/10.1016/j.ica.2006.01.014, https://doi.org/10.1002/zaac.200700122"
KIQREL,Co(II),4,D3h,https://doi.org/10.1039/D3DT00347G
KIQRIP,Co(II),4,Oh,https://doi.org/10.1039/D3DT00347G
KIQROV,Co(II),4,Oh,https://doi.org/10.1039/D3DT00347G
OZIMIV,Co(II),4,Oh,https://doi.org/10.1002/slct.201701124
PEBSEW,Co(II),4,Oh,https://doi.org/10.1016/j.ica.2012.03.036
PEBSOG,Co(II),4,Oh,https://doi.org/10.1016/j.ica.2012.03.036
PEBSUM,Co(II),4,Oh,https://doi.org/10.1016/j.ica.2012.03.036
RIPSEO,Co(II),2,D4h,https://doi.org/10.1039/A606541D
RIPSIS,Co(II),2,D4h,https://doi.org/10.1039/A606541D
SAPBIV,Co(II),4,Td,https://doi.org/10.1016/j.poly.2012.01.023
SEQFIE,Co(II),4,Td,https://doi.org/10.1016/j.poly.2012.01.023
TPORCP11,Co(II),2,D4h,"https://pubs.acs.org/doi/abs/10.1021/ja00407a023, https://www.tandfonline.com/doi/full/10.1080/00958972.2018.1535112"
TUBTIT,Co(II),2,Cs,https://doi.org/10.1021/ja953873f
UKUJUG,Co(II),4,Td,https://doi.org/10.1021/om901045s
VIYGIU,Co(II),4,Oh,https://doi.org/10.1016/j.poly.2008.01.028
XIZLUO04,Co(II),4,Oh,https://doi.org/10.1021/ic700867b
YUDGUA02,Co(II),4,Td,https://doi.org/10.1039/C7DT04007E
BOYDOI,Fe(II),5,Oh,https://doi.org/10.1021/ic00145a027
CAGROU,Fe(II),1,Oh,https://doi.org/10.1016/j.poly.2016.11.044
DAGLUU01,Fe(II),5,Td,https://doi.org/10.1007/s00775-013-0984-6
DEDWUE,Fe(II),3,D4h,https://doi.org/10.1021/ja00300a021
FEGVOE01,Fe(II),5,Dinfh,https://doi.org/10.1021/ic402105m
FEPHCY03,Fe(II),3,D4h,"https://doi.org/10.1021/ic3025364, https://doi.org/10.1002/chem.201803380"
FEROCE87,Fe(II),1,D5,
GORKIJ,Fe(II),5,Td,https://doi.org/10.1039/C4DT02537G
HAZQAD,Fe(II),1,Oh,https://doi.org/10.1002/ejic.201700558
HMPBFE,Fe(II),5,Oh,https://doi.org/10.1021/ic50203a034
IBUVUW02,Fe(II),5,Oh,https://doi.org/10.1021/ic800879c
IKIJIX,Fe(II),5,Td,https://doi.org/10.1016/j.poly.2016.02.020
JIRSUB,Fe(II),3,D4h,https://doi.org/10.1021/jacs.8b11330
OCAHAE,Fe(II),5,Oh,https://doi.org/10.1007/s00775-013-0984-6
OCAHEI,Fe(II),5,Oh,https://doi.org/10.1007/s00775-013-0984-6
POGXUG,Fe(II),5,Oh,https://doi.org/10.1002/ejic.201400041
QAHVIE10,Fe(II),5,Oh,https://doi.org/10.1039/C2CC31326J
QOPBIH,Fe(II),5,Oh,https://doi.org/10.1002/zaac.200800338
RUWZUF,Fe(II),5,Td,https://doi.org/10.1021/ic100817s
SAKWIM,Fe(II),5,D3h,https://doi.org/10.1021/ja203845x
SUVROS,Fe(II),5,Td,https://doi.org/10.1039/C5DT03855C
YIMHOT,Fe(II),5,D3h,https://doi.org/10.1039/C3DT52638K
YUMVUX10,Fe(II),5,Td,https://doi.org/10.1021/om950806l
CALGAX,Fe(III),6,C4v,https://doi.org/10.1021/ic50225a061
CELVEU,Fe(III),6,C4v,https://doi.org/10.1021/ic00168a021
CEQPOF,Fe(III),2,Cs,https://doi.org/10.1021/om3003009
ELIRUN,Fe(III),6,C4v,https://doi.org/10.1016/j.ica.2010.10.027
EXUBIK,Fe(III),6,Oh,https://doi.org/10.1039/C6NJ02161A
FEACAC,Fe(III),6,Oh,https://doi.org/10.1021/jp0028599
FONNAZ,Fe(III),6,Oh,https://doi.org/10.1039/C4NJ01363H
GEDTUE,Fe(III),4,C4v,https://doi.org/10.1007/BF01171023
KANYUT,Fe(III),6,C4v,"https://doi.org/10.1021/ic1003462, https://doi.org/10.1016/S0020-1693(00)86006-5"
KIKBOV,Fe(III),6,Td,https://doi.org/10.1016/S0277-5387(00)83974-1
LUJNOV,Fe(III),6,D3h,https://doi.org/10.1039/C5DT01374G
MOPDUQ,Fe(III),6,Oh,https://doi.org/10.1107/S0108270102009435
OETPFE,Fe(III),4,C4v,https://doi.org/10.1021/ic50206a031
OQODEE,Fe(III),6,Oh,https://doi.org/10.1016/j.ica.2010.04.027
POGXEQ,Fe(III),6,Oh,https://doi.org/10.1002/ejic.201400041
QOXVUW,Fe(III),6,D3h,https://doi.org/10.1021/ic502251p
SAVHIG,Fe(III),6,D3h,https://doi.org/10.1021/ic00309a008
SELQIJ,Fe(III),4,C4v,https://doi.org/10.1039/A706664C
SIDVIL,Fe(III),6,D5h,https://doi.org/10.1016/j.ica.2007.02.031
TISDUU,Fe(III),4,C4v,https://doi.org/10.1039/DT9960002799
TOQZEH,Fe(III),2,Oh,https://doi.org/10.3390/ijms22083976
UHEZOX,Fe(III),6,Oh,https://doi.org/10.1002/ejic.200900169
UHIBAP,Fe(III),2,Oh,https://doi.org/10.1002/ejic.200900169
UJAZOX,Fe(III),6,Oh,https://doi.org/10.1039/D0DT03610B
UWIQIB,Fe(III),6,Oh,https://doi.org/10.1016/j.poly.2011.06.011
VEFGIW,Fe(III),6,Oh,https://doi.org/10.1016/S0020-1693(00)83396-4
VOFZEV,Fe(III),6,Td,https://doi.org/10.1016/S0020-1693(00)85068-9
WUQBAN,Fe(III),6,D3h,https://doi.org/10.1039/C5OB01623A
AXUMEL,Mn(II),2,Cs,https://doi.org/10.1021/ic0354419
AZULIQ,Mn(II),6,Oh,https://doi.org/10.1021/ic0354419
BIKZUQ10,Mn(II),6,Oh,https://doi.org/10.1016/S0020-1693(00)83663-4
BUBGEL,Mn(II),6,D5h,https://doi.org/10.1021/om800922j
BUBGUB,Mn(II),6,D5,https://doi.org/10.1021/om800922j
BUSMOR,Mn(II),6,Td,https://doi.org/10.1021/om00074a009
CAZZUY,Mn(II),6,Td,https://doi.org/10.1039/DT9830002631
CEBBAM,Mn(II),2,Oh,https://doi.org/10.1039/DT9830002631
EQEGEN,Mn(II),6,Oh,https://doi.org/10.1016/j.poly.2010.12.007
GIQMUO,Mn(II),6,Oh,https://doi.org/10.1016/S0277-5387(98)00150-8
HEVCEQ,Mn(II),6,Oh,https://doi.org/10.1021/ja990366f
IKEQUK,Mn(II),6,Oh,https://doi.org/10.1016/S1387-7003(03)00202-8
IMAFEH,Mn(II),4,Oh,https://doi.org/10.1016/S0277-5387(03)00361-9
KASNUQ,Mn(II),6,Oh,https://doi.org/10.1021/acs.inorgchem.6b02964
KEYPIT,Mn(II),6,Oh,https://doi.org/10.1021/ic00341a035
MNPHCY21,Mn(II),4,D4h,https://doi.org/10.1039/DT9800001515
NUYZIS,Mn(II),6,Td,https://doi.org/10.1021/acs.organomet.5b00907
ODIZEG,Mn(II),2,D5,https://doi.org/10.1016/S0022-328X(01)01175-5
OKUXUO,Mn(II),6,D3h,https://doi.org/10.1016/j.molstruc.2010.11.074
QABBAA,Mn(II),6,Td,https://doi.org/10.1002/anie.202013153
SEWMUC,Mn(II),6,Oh,https://doi.org/10.1039/DT9900001243
SUTWOT,Mn(II),6,Oh,https://doi.org/10.1021/ja981293n
TAWFUT,Mn(II),6,Oh,https://doi.org/10.1016/j.ica.2005.06.037
TOGPEK,Mn(II),6,D4h,https://doi.org/10.1039/DT9960003243
TUSBIT,Mn(II),6,Cs,https://doi.org/10.1016/j.poly.2010.01.026
