Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2764.592919078122,C1,46.58,58.62,58.7,68.87,-2764.23212472,-2764.23118051,0.07594178,-2764.3071223,132738.336,3131.9,1121.0
BOYDOI,,-3200.335373522197,C1,15.04,18.88,20.8,21.6,-3199.97563109,-3199.97468688,0.09150769,-3200.06619457,101811.84,3220.0,971.0
CAGROU,,-3204.797988533614,C1,17.47,18.37,18.71,31.65,-3204.22734257,-3204.22639836,0.09481172,-3204.32121008,461913.504,3079.4,1615.0
ERIWEK01,,-3504.183933134376,C1,19.2,21.67,30.32,33.11,-3503.65926807,-3503.65832386,0.09477267,-3503.75309653,353909.92,3119.0,1329.0
ERIWOU01,,-3582.781877900021,C1,18.26,20.62,27.71,29.94,-3582.19770683,-3582.19676262,0.1007481,-3582.29751072,454231.2,3103.8,1415.0
FEGVOE01,,-3126.281069886581,C1,22.5,27.19,31.35,32.82,-3125.48448252,-3125.48353831,0.11785601,-3125.60139433,716789.664,3053.5,1423.0
HALCROW-H,,-2659.610858079919,C1,38.14,38.15,40.8,61.76,-2659.19639449,-2659.19545028,0.07519788,-2659.27064816,193446.048,3109.2,1145.0
HALCROW-X-Br,,-7806.48451113014,C1,18.89,18.94,40.87,61.08,-7806.087975,-7806.08703079,0.08344647,-7806.17047726,160323.616,3095.8,1229.0
HALCROW-X-CH2SCN,,-3718.968548078423,C1,27.54,30.96,31.86,37.05,-3718.4889034,-3718.48795919,0.09468199,-3718.58264118,320299.824,3225.2,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3460.826789999773,C1,8.14,8.3,15.1,15.55,-3460.17017597,-3460.16923176,0.11318316,-3460.28241493,468567.376,3176.6,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3685.37125105542,C1,7.58,7.69,13.39,13.72,-3684.70550914,-3684.70456493,0.1166531,-3684.82121803,533109.28,3146.6,1887.0
HALCROW-X-cisCHCHPh,,-3276.383583754548,C1,10.08,10.29,16.83,17.4,-3275.72750422,-3275.72656001,0.10530809,-3275.83186811,429100.064,3216.4,1713.0
HALCROW-X-Cl,,-3578.724675758589,C1,24.23,24.31,40.99,61.37,-3578.32736746,-3578.32642325,0.08123151,-3578.40765476,192020.208,3090.9,1207.0
HALCROW-X-CO2H,,-3036.745567652365,C1,22.09,22.1,39.09,49.02,-3036.29641953,-3036.29547532,0.08770929,-3036.38318461,226563.152,3219.5,1331.0
HALCROW-X-F,,-2858.097935008685,C1,29.67,29.68,41.06,61.64,-2857.69840806,-2857.69746386,0.07901558,-2857.77647944,203006.256,3130.4,1195.0
HALCROW-X-I,,-3253.813214964573,C1,16.04,16.09,40.77,60.72,-3253.41719789,-3253.41625368,0.08500227,-3253.50125595,218362.512,3110.2,1233.0
HALCROW-X-Me,,-2738.227629723151,C1,29.18,29.26,30.1,30.15,-2737.7551439,-2737.75419969,0.08352576,-2737.83772545,223947.648,3108.5,1231.0
HALCROW-X-NH3,,-2770.347675053517,C1,29.23,29.32,40.26,60.12,-2769.89719207,-2769.89624786,0.08131161,-2769.97755947,207560.512,3097.7,1219.0
HALCROW-X-NMe2,,-2927.515239360306,C1,21.46,21.55,38.55,57.66,-2926.94628115,-2926.94533694,0.0941481,-2927.03948504,296916.528,3247.1,1391.0
HALCROW-X-NO2,,-3068.574834211325,C1,22.55,22.58,37.98,42.54,-3068.15155067,-3068.15060646,0.08688234,-3068.23748881,251791.984,3164.6,1319.0
HALCROW-X-OH,,-2810.071129763548,C1,29.62,29.67,40.59,60.9,-2809.64608555,-2809.64514134,0.07987235,-2809.72501369,194196.72,3092.3,1207.0
HALCROW-X-OMe,,-2888.651555256708,C1,24.5,24.55,40.23,60.48,-2888.16722103,-2888.16627683,0.08649395,-2888.25277078,224419.36,3060.9,1293.0
HALCROW-X-pz,,-3109.543406267117,C1,17.39,17.44,37.73,45.13,-3109.01961398,-3109.01866977,0.09188542,-3109.11055519,306800.624,3188.5,1479.0
HALCROW-X-SH,,-3455.929525674675,C1,24.18,24.2,40.65,60.74,-3455.51372966,-3455.51278545,0.08319203,-3455.59597748,214655.888,3117.0,1219.0
HALCROW-X-SMe,,-3534.538765933543,C1,21.18,21.26,39.82,60.19,-3534.06108104,-3534.06013683,0.08954421,-3534.14968104,256126.16,3113.0,1305.0
HALCROW-X-SO2Me,,-3835.36183954485,C1,17.94,17.97,21.31,23.36,-3834.86275166,-3834.86180745,0.09663412,-3834.95844157,291737.952,3131.2,1429.0
HALCROW-X-SOMe,,-3684.904582930166,C1,19.44,19.58,36.97,44.55,-3684.4182207,-3684.41727649,0.09361729,-3684.51089378,237417.856,3138.3,1367.0
HALCROW-Y-Br,,-12953.343292751599,C1,14.66,18.28,18.3,33.13,-12952.96382277,-12952.96287856,0.09095501,-12953.05383357,239819.728,3059.2,1313.0
HALCROW-Y-CH2OH,,-3117.693155415027,C1,18.73,23.86,23.86,34.24,-3117.13770508,-3117.13676087,0.09903347,-3117.23579434,305511.232,3186.7,1441.0
HALCROW-Y-Cl,,-4497.819065582458,C1,21.32,25.36,25.38,37.25,-4497.43819308,-4497.43724887,0.08683942,-4497.52408829,208507.504,3071.5,1269.0
HALCROW-Y-CO2Et,,-3728.2688606303,C1,11.78,14.67,14.69,26.07,-3727.54769607,-3727.54675186,0.12473921,-3727.67149107,505816.704,3310.4,1861.0
HALCROW-Y-I,,-3848.007826991104,C1,11.32,14.45,14.46,31.04,-3847.62927501,-3847.6283308,0.09397941,-3847.72231021,230586.848,3080.2,1321.0
HALCROW-Y-Me,,-2816.837690233155,C1,29.36,32.29,32.32,43.21,-2816.30624378,-2816.30529958,0.09038856,-2816.39568814,246613.024,3063.4,1317.0
HALCROW-Y-tBu,,-3288.424459644255,C1,17.23,19.58,19.6,22.86,-3287.54087205,-3287.53992784,0.12015677,-3287.66008461,604951.744,3071.1,1833.0
HPZBFE,,-2668.256285856237,C1,48.45,58.87,58.92,70.42,-2667.8267927,-2667.82584849,0.07733688,-2667.90318537,156461.36,3147.7,1157.0
KEKVIF03,,-3388.741755506916,C1,14.96,17.39,19.94,22.18,-3388.34472222,-3388.34377801,0.08406712,-3388.42784514,366190.768,3090.4,1207.0
NEFSUM02,,-2789.69940827019,C1,30.8,38.99,41.16,50.33,-2789.1998667,-2789.19892249,0.0837812,-2789.28270369,270758.112,3070.4,1305.0
RUWZUF,,-2457.840586743881,C1,27.32,28.0,29.96,33.75,-2457.30725765,-2457.30631344,0.08951601,-2457.39582946,290230.976,3139.4,1155.0
SAKWIM,,-4056.887975902448,C1,19.44,32.96,40.23,43.24,-4055.89036564,-4055.88942143,0.13430582,-4056.02372725,777925.088,3085.2,1636.0
WAHKEX,,-3200.595439115836,C1,20.93,23.55,26.83,30.56,-3200.18355994,-3200.18261573,0.08041417,-3200.2630299,203910.544,3151.5,1076.0
ZUCROE,,-4203.908821248136,C1,4.07,5.77,9.6,15.55,-4203.15688308,-4203.15593887,0.14600564,-4203.30194452,2089733.216,3279.0,2321.0
