Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2765.292475988424,Ci,41.31,57.84,59.44,63.26,-2764.93291836,-2764.93197415,0.07600758,-2765.00798173,50322.0,3472.6,1121.0
BOYDOI,,-3200.952323663729,C1,-85.77,-64.47,8.88,11.18,-3200.59384324,-3200.59289904,0.08837779,-3200.68127683,175503.91999999998,2784.0,971.0
CAGROU,,-3205.758184132115,C1,15.43,16.97,19.32,28.71,-3205.18489487,-3205.18395066,0.09461573,-3205.27856639,157151.4,11430.8,1615.0
ERIWEK01,,-3505.028423416697,C1,22.27,26.8,33.92,38.27,-3504.5023055,-3504.50136129,0.09368384,-3504.59504514,134317.86,6671.7,1329.0
ERIWOU01,,-3583.672343795281,C1,22.75,25.56,33.05,33.56,-3583.08623642,-3583.08529222,0.09901749,-3583.18430971,147565.08,8959.5,1415.0
FEGVOE01,,-3127.126642019798,C1,23.53,27.48,40.1,47.55,-3126.32488193,-3126.32393772,0.11530628,-3126.439244,177349.64,11517.0,1423.0
HALCROW-H,,-2660.655591738033,C1,28.8,28.93,29.42,45.57,-2660.25205329,-2660.25110908,0.07826635,-2660.32937544,465184.13999999996,4541.4,1145.0
HALCROW-X-Br,,-7807.58939869814,C1,16.08,20.01,31.55,44.93,-7807.20072408,-7807.19977987,0.0855353,-7807.28531517,124849.22,5156.5,1229.0
HALCROW-X-CH2SCN,,-3720.282847757986,C1,20.05,22.32,30.23,32.83,-3719.80823095,-3719.80728675,0.09845749,-3719.90574423,191074.91999999998,7900.7,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3462.300725122735,C1,6.05,9.96,27.24,28.13,-3461.64891397,-3461.64796976,0.11274257,-3461.76071233,2924938.16,15759.2,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3686.912380912613,C1,5.72,8.5,22.16,26.2,-3686.25118163,-3686.25023742,0.11595993,-3686.36619735,284253.26,17252.8,1887.0
HALCROW-X-cisCHCHPh,,-3277.748327157437,C1,9.96,13.74,31.26,35.91,-3277.09785437,-3277.09691016,0.10503538,-3277.20194554,188634.08,13601.3,1713.0
HALCROW-X-Cl,,-3579.879991117243,C1,20.04,24.23,31.85,44.6,-3579.49078178,-3579.48983757,0.08337517,-3579.57321274,127990.84000000001,4969.9,1207.0
HALCROW-X-CO2H,,-3037.965143143588,C1,-10.34,19.33,30.55,48.72,-3037.52286411,-3037.5219199,0.08691281,-3037.60883271,117050.88,6512.1,1331.0
HALCROW-X-F,,-2859.194273675613,C1,-20.49,23.5,23.64,50.11,-2858.8056358,-2858.80469159,0.0797555,-2858.88444709,136157.94,4866.1,1195.0
HALCROW-X-I,,-3255.217007552726,C1,13.94,17.03,31.46,44.45,-3254.8286748,-3254.82773059,0.08724328,-3254.91497388,124776.34,5177.7,1233.0
HALCROW-X-I_atom53,,,,,,,,,,,,,,
HALCROW-X-Me,,-2739.313459985456,C1,19.95,25.11,28.0,45.95,-2738.84962453,-2738.84868032,0.08532854,-2738.93400887,115092.81999999999,5724.2,1231.0
HALCROW-X-NH3,,-2771.408279866406,C1,22.85,23.92,26.05,49.18,-2770.96684607,-2770.96590186,0.08349777,-2771.04939963,147206.38,5431.2,1219.0
HALCROW-X-NMe2,,-2928.65915005459,C1,18.36,18.62,26.88,42.58,-2928.09901091,-2928.0980667,0.09681326,-2928.19487996,196360.80000000002,8277.3,1391.0
HALCROW-X-NO2,,-3069.855952616525,C1,8.63,19.49,30.98,50.74,-3069.43754632,-3069.43660211,0.08772377,-3069.52432588,105518.0,6188.9,1319.0
HALCROW-X-OH,,-2811.150934181227,C1,-21.92,23.37,23.51,50.06,-2810.73649108,-2810.73554687,0.08094911,-2810.81649598,102827.72,5141.8,1207.0
HALCROW-X-OMe,,-2889.769127228729,C1,19.97,20.83,25.45,49.42,-2889.29383414,-2889.29288993,0.08855704,-2889.38144697,168203.13999999998,6426.7,1293.0
HALCROW-X-pz,,-3110.793381220969,C1,15.21,18.32,30.35,38.86,-3110.27752942,-3110.27658522,0.09348674,-3110.37007195,593183.38,8915.2,1479.0
HALCROW-X-SH,,-3457.065202899052,C1,20.17,24.57,32.23,46.56,-3456.65711969,-3456.65617548,0.08613392,-3456.7423094,148613.7,5250.6,1219.0
HALCROW-X-SMe,,-3535.704789626662,C1,16.62,19.15,24.19,28.51,-3535.23482125,-3535.23387704,0.09208346,-3535.3259605,132787.68,6544.2,1305.0
HALCROW-X-SO2Me,,-3836.691022947983,C1,-12.48,16.63,26.98,31.34,-3836.19852785,-3836.19758364,0.09544452,-3836.29302816,141764.06,8138.6,1429.0
HALCROW-X-SOMe,,-3686.151625464252,C1,14.5,17.05,26.03,29.51,-3685.67155969,-3685.67061549,0.09554227,-3685.76615775,117788.92,6855.0,1367.0
HALCROW-Y-Br,,-12954.48941116204,C1,11.49,12.95,15.02,20.93,-12954.11980396,-12954.11885976,0.09433758,-12954.21319733,189755.13999999998,5814.3,1313.0
HALCROW-Y-CH2OH,,-3118.883238941858,C1,-15.73,11.82,15.97,18.61,-3118.33635644,-3118.33541223,0.10159819,-3118.43701043,437292.69999999995,8791.8,1441.0
HALCROW-Y-Cl,,-4499.067226488696,C1,15.95,17.89,21.49,25.12,-4498.69631341,-4498.6953692,0.090222,-4498.7855912,163506.0,5416.4,1269.0
HALCROW-Y-CO2Et,,-3729.752412707283,C1,9.61,13.52,13.54,24.44,-3729.03895057,-3729.03800636,0.12542158,-3729.16342795,246352.12,17665.6,1861.0
HALCROW-Y-I,,-3849.750266095299,C1,6.83,9.59,12.28,19.08,-3849.38140117,-3849.38045696,0.09759355,-3849.47805051,213295.68,5866.4,1321.0
HALCROW-Y-I_atom53,,,,,,,,,,,,,,
HALCROW-Y-Me,,-2817.958861818239,C1,14.45,24.12,24.19,32.59,-2817.43732819,-2817.43638398,0.09394875,-2817.53033273,230241.53999999998,6553.4,1317.0
HALCROW-Y-tBu,,-3289.815836323863,C1,-4.9,6.56,6.64,24.64,-3288.94071052,-3288.93976631,0.12145381,-3289.06122012,3230083.0599999996,20019.8,1833.0
HPZBFE,,-2668.950520345979,Ci,39.72,58.27,59.06,60.55,-2668.52133698,-2668.52039277,0.07762641,-2668.59801918,65585.22,4859.3,1157.0
KEKVIF03,,-3389.512109386732,C1,14.53,16.24,26.67,27.68,-3389.11423497,-3389.11329076,0.08354415,-3389.19683491,85393.62,4995.7,1207.0
NEFSUM02,,-2790.482551914505,C1,23.35,34.12,39.61,48.89,-2789.98201645,-2789.98107224,0.08357035,-2790.06464259,85500.23999999999,6713.2,1305.0
RUWZUF,,-2458.512347056383,C1,25.71,28.17,35.8,40.13,-2457.97597432,-2457.97503011,0.08738829,-2458.0624184,70787.68,5435.4,1155.0
SAKWIM,,-4057.894197431735,C1,30.81,40.0,42.1,50.61,-4056.88909321,-4056.88814901,0.13038559,-4057.01853459,268007.12,18090.9,1636.0
WAHKEX,,-3201.281637421741,C1,17.49,24.05,25.51,34.16,-3200.86894707,-3200.86800286,0.07998702,-3200.94798988,56240.9,3297.0,1076.0
ZUCROE,,-4205.328207925679,C1,5.07,12.1,12.5,20.54,-4204.57535395,-4204.57440974,0.14223601,-4204.71664576,660779.4,7244.5,2321.0
