Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2763.665508946928,Ci,48.27,59.75,59.84,68.11,-2763.31379169,-2763.31284748,0.07565756,-2763.38850504,36621.088,3474.6,1121.0,
BOYDOI,,-3199.296977115852,C1,5.03,11.52,14.35,19.09,-3198.94599945,-3198.94505524,0.09183449,-3199.03688974,60640.464,2780.3,971.0,
CAGROU,,-3203.609961475275,C1,14.69,15.68,16.88,29.13,-3203.05243495,-3203.05149075,0.09662074,-3203.14811149,156628.48,11750.9,1615.0,
ERIWEK01,,-3503.008548083958,C1,15.33,16.63,29.15,34.79,-3502.49620226,-3502.49525805,0.09513901,-3502.59039706,71724.352,6658.7,1329.0,
ERIWOU01,,-3581.556629455506,C1,21.14,23.35,29.48,29.9,-3580.98625786,-3580.98531365,0.10076612,-3581.08607977,192768.496,9224.4,1415.0,
FEGVOE01,,-3125.184172995834,C1,10.01,14.23,34.8,36.61,-3124.4060915,-3124.4051473,0.11963134,-3124.52477863,199607.344,11844.4,1423.0,
HALCROW-H,,-2659.110279123536,C1,-51.23,-45.32,31.67,37.56,-2658.71720772,-2658.71626351,0.07529256,-2658.79155607,99902.72,4682.3,1145.0,
HALCROW-X-Br,,-7805.469678558276,C1,15.34,17.11,36.39,45.07,-7805.09003291,-7805.08908871,0.08659734,-7805.17568605,128264.624,5322.4,1229.0,
HALCROW-X-CH2SCN,,-3718.132624232061,C1,25.24,26.86,29.96,31.93,-3717.6694873,-3717.6685431,0.09949905,-3717.76804215,111939.104,8138.9,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3459.89026575584,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13776.8,1825.0,Error termination in SCF RESPONSE
HALCROW-X-cisCHCHC6H4NO24,,-3684.371676959028,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13552.3,1887.0,Error termination in SCF RESPONSE
HALCROW-X-cisCHCHPh,,-3275.516154673337,C1,7.22,9.81,20.09,21.0,-3274.88299811,-3274.8820539,0.10780986,-3274.98986376,169573.92,13260.4,1713.0,
HALCROW-X-Cl,,-3577.984529708479,C1,19.65,21.69,36.78,44.4,-3577.60432479,-3577.60338058,0.08433838,-3577.68771896,138843.808,5127.1,1207.0,
HALCROW-X-CO2H,,-3036.09538986776,C1,-15.69,17.8,36.38,49.01,-3035.66393749,-3035.66299328,0.08802934,-3035.75102262,127926.24,6715.9,1331.0,
HALCROW-X-F,,-2857.503749933796,C1,22.62,22.86,25.26,49.11,-2857.122918,-2857.12197379,0.08313091,-2857.20510469,212820.992,5019.8,1195.0,
HALCROW-X-I,,-3253.316551782339,C1,10.46,10.74,16.0,49.94,-3252.93801892,-3252.93707472,0.08891329,-3253.025988,143639.184,5332.0,1233.0,
HALCROW-X-Me,,-2737.665594647042,C1,24.25,25.95,36.94,40.58,-2737.21286916,-2737.21192495,0.08593213,-2737.29785708,211100.416,5913.7,1231.0,
HALCROW-X-NH3,,-2769.758739580508,C1,15.22,23.53,25.41,46.42,-2769.32629328,-2769.32534907,0.08543273,-2769.4107818,291038.688,5560.6,1219.0,
HALCROW-X-NMe2,,-2926.812603098224,C1,-58.44,-58.43,19.65,19.83,-2926.2691664,-2926.26822219,0.09611201,-2926.36433421,115838.976,8519.0,1391.0,
HALCROW-X-NO2,,-3067.993571126651,C1,2.86,18.43,36.5,51.94,-3067.58525919,-3067.58431498,0.08932965,-3067.67364463,64889.968,6193.4,1319.0,
HALCROW-X-OH,,-2809.485026612966,C1,22.69,22.96,25.56,48.78,-2809.07924364,-2809.07829943,0.08441068,-2809.16271011,141036.448,5305.5,1207.0,
HALCROW-X-OMe,,-2888.001289880126,C1,18.64,18.87,26.4,47.06,-2887.5376931,-2887.53674889,0.09030673,-2887.62705562,102917.456,6425.3,1293.0,
HALCROW-X-pz,,-3108.80599805742,C1,13.93,16.14,33.92,38.83,-3108.30239048,-3108.30144627,0.09477128,-3108.39621755,130054.112,9178.9,1479.0,
HALCROW-X-SH,,-3455.199063624573,C1,19.51,22.13,36.86,48.61,-3454.80077756,-3454.79983335,0.08707657,-3454.88690991,125461.712,5419.0,1219.0,
HALCROW-X-SMe,,-3533.746960916622,C1,15.88,18.52,23.53,25.94,-3533.28782784,-3533.28688363,0.09365406,-3533.3805377,105526.352,6542.1,1305.0,
HALCROW-X-SO2Me,,-3834.491059262211,C1,14.19,16.11,30.09,33.0,-3834.00959113,-3834.00864692,0.09846651,-3834.10711343,193989.44,8406.7,1429.0,
HALCROW-X-SOMe,,-3684.079181863887,C1,14.01,16.31,24.77,29.84,-3683.61084746,-3683.60990325,0.09682283,-3683.70672608,138416.608,6855.2,1367.0,
HALCROW-Y-Br,,-12951.810954255594,C1,7.18,11.83,14.08,17.45,-12951.44767241,-12951.4467282,0.09570064,-12951.54242884,145570.4,5978.6,1313.0,
HALCROW-Y-CH2OH,,-3116.911913972899,C1,11.46,15.58,17.08,19.53,-3116.37774998,-3116.37680577,0.10381574,-3116.48062152,115032.976,9066.5,1441.0,
HALCROW-Y-Cl,,-4496.839246160588,C1,13.09,18.37,21.34,27.34,-4496.47467783,-4496.47373362,0.09030159,-4496.56403522,246392.128,5586.5,1269.0,
HALCROW-Y-CO2Et,,-3727.169056730052,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13059.4,1861.0,Error termination in SCF RESPONSE
HALCROW-Y-I,,-3847.518046984704,C1,8.73,10.0,12.33,17.33,-3847.15553449,-3847.15459028,0.09845232,-3847.2530426,168893.056,6028.7,1321.0,
HALCROW-Y-Me,,-2816.221737448932,C1,22.69,23.6,27.2,32.35,-2815.71102211,-2815.7100779,0.09439587,-2815.80447377,169115.344,7343.4,1317.0,
HALCROW-Y-tBu,,-3287.509663809269,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13514.9,1833.0,Error termination in SCF RESPONSE
HPZBFE,,-2667.359030176425,Ci,50.34,60.2,60.26,69.18,-2666.9396582,-2666.93871399,0.07719163,-2667.01590562,34027.696,4863.1,1157.0,
KEKVIF03,,-3387.637171470848,C1,14.55,15.97,22.66,22.87,-3387.24967714,-3387.24873294,0.08452765,-3387.33326059,35549.248,4988.8,1207.0,
NEFSUM02,,-2788.724113766696,C1,25.16,36.78,42.69,49.4,-2788.2361823,-2788.23523809,0.08401919,-2788.31925728,55550.208,6718.2,1305.0,
RUWZUF,,-2457.03867482182,C1,26.11,26.73,27.89,33.36,-2456.51800027,-2456.51705606,0.08934777,-2456.60640383,47924.768,5432.9,1155.0,
SAKWIM,,-4055.457260264253,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13328.6,1636.0,Error termination in SCF RESPONSE
WAHKEX,,-3199.58215397015,C1,18.77,22.69,27.16,35.45,-3199.18032489,-3199.17938069,0.08041902,-3199.25979971,46869.744,3293.8,1076.0,
ZUCROE,,-4202.173751718218,C1,9.44,13.76,15.25,20.36,-4201.43999013,-4201.43904592,0.14443673,-4201.58348265,1033544.064,14415.2,2321.0,
