Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2763.669652245277,C1,46.49,59.85,59.95,67.53,-2763.30412823,-2763.30318402,0.07495674,-2763.37814076,112401.232,1596.5,1121.0
BOYDOI,,-3199.368188885751,C1,14.96,15.29,16.43,20.59,-3199.00553269,-3199.00458848,0.09061035,-3199.09519884,85397.312,1607.3,971.0
CAGROU,,-3203.656631875555,C1,16.16,18.21,18.54,30.08,-3203.08066886,-3203.07972466,0.09412421,-3203.17384886,298932.64,1653.2,1615.0
ERIWEK01,,-3503.127266427116,C1,13.61,14.68,29.14,35.0,-3502.5985616,-3502.59761739,0.09386765,-3502.69148504,256071.28,1599.9,1329.0
ERIWOU01,,-3581.690703183727,C1,19.54,21.43,29.79,31.03,-3581.1023373,-3581.1013931,0.09927673,-3581.20066982,314145.248,1567.3,1415.0
FEGVOE01,,-3125.386938418255,C1,18.24,29.88,39.22,41.97,-3124.58661553,-3124.58567132,0.11623405,-3124.70190537,632573.808,1612.4,1423.0
HALCROW-H,,-2658.756179289068,C1,36.19,36.28,37.83,59.52,-2658.33748772,-2658.33654352,0.07448295,-2658.41102647,147544.896,1572.4,1145.0
HALCROW-X-Br,,-7805.272958194002,C1,18.13,18.15,37.9,59.05,-7804.87212416,-7804.87117996,0.08266334,-7804.9538433,160690.544,1576.5,1229.0
HALCROW-X-CH2SCN,,-3717.798763191313,C1,28.2,31.04,32.93,38.39,-3717.31417525,-3717.31323104,0.09343575,-3717.40666678,266682.176,1555.2,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3459.538175918528,C1,8.58,8.7,16.4,16.61,-3458.87574701,-3458.8748028,0.1123109,-3458.9871137,411346.832,1605.6,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3683.966720087881,C1,7.77,7.87,14.23,14.27,-3683.29449528,-3683.29355107,0.11569844,-3683.40924951,404998.592,1683.7,1887.0
HALCROW-X-cisCHCHPh,,-3275.21199142649,C1,10.25,10.45,17.73,18.09,-3274.55025242,-3274.54930821,0.10450565,-3274.65381386,389698.528,1606.4,1713.0
HALCROW-X-Cl,,-3577.683418319161,C2,23.18,23.2,38.11,59.34,-3577.28178872,-3577.28084451,0.07980344,-3577.36064795,155976.4,1623.9,1207.0
HALCROW-X-CO2H,,-3035.677084275208,C1,21.13,21.16,36.68,50.62,-3035.22290947,-3035.22196526,0.08692685,-3035.30889211,191543.872,1695.3,1331.0
HALCROW-X-F,,-2857.129892543722,C1,28.28,28.34,38.21,59.59,-2856.72599068,-2856.72504647,0.07825661,-2856.80330308,148768.784,1594.6,1195.0
HALCROW-X-I,,-3252.999092080051,C1,15.39,15.43,37.81,58.83,-3252.59878602,-3252.59784181,0.08421073,-3252.68205254,178207.52,1604.8,1233.0
HALCROW-X-Me,,-2737.338808133231,C1,28.26,28.29,30.68,30.9,-2736.8618658,-2736.86092159,0.0827862,-2736.94370779,194170.8,1587.4,1231.0
HALCROW-X-NH3,,-2769.439837409749,C1,27.58,27.62,37.29,57.89,-2768.98458452,-2768.98364031,0.08052762,-2769.06416793,158795.36,1557.6,1219.0
HALCROW-X-NMe2,,-2926.53616795876,C1,20.44,20.51,35.89,57.0,-2925.96211807,-2925.96117386,0.09312929,-2926.05430314,243860.0,1592.5,1391.0
HALCROW-X-NO2,,-3067.487830002098,C1,21.65,21.69,36.5,44.62,-3067.05947092,-3067.05852671,0.08601853,-3067.14454525,193758.224,1550.5,1319.0
HALCROW-X-OH,,-2809.133837986318,C1,28.13,28.15,37.73,58.77,-2808.70407169,-2808.70312748,0.07909392,-2808.7822214,168753.536,1626.0,1207.0
HALCROW-X-OMe,,-2887.673442561616,C1,23.37,23.45,37.3,58.4,-2887.18424866,-2887.18330445,0.08551916,-2887.26882361,194458.32,1617.5,1293.0
HALCROW-X-pz,,-3108.461997700768,C1,16.7,16.8,35.8,46.45,-3107.93263037,-3107.93168616,0.09101039,-3108.02269655,275350.608,1623.4,1479.0
HALCROW-X-SH,,-3454.904337099824,C1,22.97,23.01,37.7,58.64,-3454.48403555,-3454.48309134,0.08240039,-3454.56549173,148648.928,1555.3,1219.0
