Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2763.584583814166,C1,46.71,59.72,59.78,68.83,-2763.21975562,-2763.21881141,0.07521694,-2763.29402835,138028.176,1595.5,1121.0
BOYDOI,,-3199.307592092328,C1,15.59,18.88,20.21,21.95,-3198.94524921,-3198.944305,0.09063238,-3199.03493738,83966.32,1607.1,971.0
CAGROU,,-3203.535627343108,C1,17.36,18.78,19.12,31.6,-3202.96061142,-3202.95966721,0.0944069,-3203.05407412,452093.776,1651.1,1615.0
ERIWEK01,,-3503.015725815211,C1,19.32,21.54,31.21,34.59,-3502.48760502,-3502.48666081,0.09373269,-3502.58039349,392132.368,1598.0,1329.0
ERIWOU01,,-3581.572486839053,C1,18.32,20.26,28.46,30.95,-3580.9846409,-3580.98369669,0.09979729,-3581.08349397,451168.464,1557.6,1415.0
FEGVOE01,,-3125.257387157877,C1,12.55,27.65,34.4,36.85,-3124.45782675,-3124.45688254,0.11722402,-3124.57410656,541339.696,1604.4,1423.0
HALCROW-H,,-2658.671657076102,C1,38.07,38.13,40.64,61.96,-2658.25340841,-2658.2524642,0.07456794,-2658.32703214,169542.704,1572.0,1145.0
HALCROW-X-Br,,-7805.182283958596,C1,18.82,18.83,40.4,61.13,-7804.78193259,-7804.78098838,0.08277401,-7804.86376239,193084.224,1575.9,1229.0
HALCROW-X-CH2SCN,,-3717.69024825577,C1,28.33,30.92,32.3,37.39,-3717.20628304,-3717.20533883,0.09378778,-3717.29912661,311931.136,1642.8,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3459.41285548142,C1,8.26,8.48,13.84,14.2,-3458.75104521,-3458.750101,0.11263971,-3458.86274071,431034.72,1601.7,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3683.839371168444,C1,7.66,7.78,12.44,12.65,-3683.16779224,-3683.16684803,0.1159779,-3683.28282593,627857.104,1679.6,1887.0
HALCROW-X-cisCHCHPh,,-3275.091317778234,C1,10.05,10.28,15.79,16.23,-3274.43020648,-3274.42926227,0.10480183,-3274.5340641,378986.544,1602.5,1713.0
HALCROW-X-Cl,,-3577.594260774908,C1,24.19,24.23,40.67,61.51,-3577.19308968,-3577.19214547,0.08055451,-3577.27269998,183040.16,1623.2,1207.0
HALCROW-X-CO2H,,-3035.58345691276,C1,22.08,22.12,39.04,50.51,-3035.1297778,-3035.12883359,0.08701814,-3035.21585173,223430.736,1694.7,1331.0
HALCROW-X-F,,-2857.044778085316,C1,29.69,29.74,40.89,61.89,-2856.64132446,-2856.64038025,0.07834649,-2856.71872674,173999.344,1594.0,1195.0
HALCROW-X-I,,-3252.906552571683,C1,16.08,16.1,40.54,60.98,-3252.50672669,-3252.50578248,0.08430453,-3252.590087,188091.424,1603.9,1233.0
HALCROW-X-Me,,-2737.248186255944,C1,28.13,28.39,29.8,29.84,-2736.77170896,-2736.77076475,0.08294247,-2736.85370722,201683.056,1586.9,1231.0
HALCROW-X-NH3,,-2769.350751585413,C1,29.22,29.29,40.13,60.36,-2768.8959755,-2768.89503129,0.08059971,-2768.975631,191297.952,1556.8,1219.0
HALCROW-X-NMe2,,-2926.433869605964,C1,21.53,21.62,38.48,59.37,-2925.8603588,-2925.85941459,0.0932766,-2925.95269119,261415.056,1591.4,1391.0
HALCROW-X-NO2,,-3067.396006470942,C1,22.55,22.61,38.46,44.8,-3066.96813355,-3066.96718934,0.0861138,-3067.05330314,226072.704,1665.2,1319.0
HALCROW-X-OH,,-2809.046808110622,C1,29.5,29.55,40.41,61.06,-2808.61748477,-2808.61654056,0.07918606,-2808.69572662,171427.024,1625.3,1207.0
HALCROW-X-OMe,,-2887.580617241895,C1,24.48,24.53,40.01,60.68,-2887.09190461,-2887.0909604,0.08564588,-2887.17660628,195306.448,1615.8,1293.0
HALCROW-X-pz,,-3108.356251864713,C1,17.4,17.45,37.92,46.67,-3107.82745329,-3107.82650908,0.09110155,-3107.91761063,300072.128,1619.6,1479.0
HALCROW-X-SH,,-3454.812764684428,C1,24.12,24.14,40.37,60.87,-3454.39293368,-3454.39198947,0.08248962,-3454.47447909,180189.52,1554.6,1219.0
HALCROW-X-SMe,,-3533.381307079816,C1,21.24,21.3,39.67,60.51,-3532.89946978,-3532.89852557,0.0887038,-3532.98722937,226794.688,1529.0,1305.0
HALCROW-X-SO2Me,,-3834.033498969991,C1,18.04,18.1,23.44,25.35,-3833.52991916,-3833.52897495,0.09567888,-3833.62465383,246606.0,1657.4,1429.0
HALCROW-X-SOMe,,-3683.657170892306,C1,19.6,19.71,37.35,46.54,-3683.16643268,-3683.16548848,0.09269447,-3683.25818295,235786.464,1657.9,1367.0
HALCROW-Y-Br,,-12951.67674750979,C1,14.58,18.45,18.46,32.62,-12951.2934144,-12951.2924702,0.09020559,-12951.38267578,221008.72,1541.4,1313.0
