Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2765.629634652968,Ci,47.37,59.6,59.69,69.42,-2765.26999852,-2765.26905431,0.07551821,-2765.34457252,138842.416,3133.3,1121.0
BOYDOI,,-3201.238831345496,C1,14.75,19.27,20.8,21.31,-3200.88005705,-3200.87911284,0.0907778,-3200.96989064,114389.44,3221.2,971.0
CAGROU,,-3206.187695729307,C1,16.62,17.98,18.79,31.25,-3205.61868788,-3205.61774367,0.09512648,-3205.71287015,485358.624,3080.3,1615.0
ERIWEK01,,-3505.386154749308,C1,20.24,23.09,31.94,34.19,-3504.86272571,-3504.8617815,0.09417903,-3504.95596053,413559.216,3121.7,1329.0
ERIWOU01,,-3584.046978763007,C1,19.54,22.01,29.37,30.63,-3583.46415728,-3583.46321307,0.10025443,-3583.56346751,575496.784,3106.3,1415.0
FEGVOE01,,-3127.473329555142,C1,13.54,23.92,32.71,37.12,-3126.67836227,-3126.67741806,0.11870505,-3126.79612311,1981589.072,3057.4,1423.0
HALCROW-H,,-2660.636555225617,C2,38.56,38.6,41.86,62.72,-2660.22311454,-2660.22217033,0.07418306,-2660.29635339,137323.968,3109.9,1145.0
HALCROW-X-Br,,-7807.559391104976,C1,19.43,19.44,41.94,61.97,-7807.16388047,-7807.16293626,0.08311156,-7807.24604782,194249.008,3097.6,1229.0
HALCROW-X-CH2SCN,,-3720.281216054799,C1,27.27,29.28,30.8,35.66,-3719.80286058,-3719.80191637,0.09464134,-3719.89655771,286850.16,3227.2,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3462.384863623941,C1,8.47,8.74,17.22,17.81,-3461.73026784,-3461.72932363,0.11297953,-3461.84230316,447793.472,3178.9,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3687.01388110265,C1,7.61,7.88,14.11,14.65,-3686.35033481,-3686.3493906,0.11658568,-3686.46597628,477679.584,3148.7,1887.0
HALCROW-X-cisCHCHPh,,-3277.847236073999,C1,10.41,10.72,18.63,19.28,-3277.1929519,-3277.19200769,0.1050835,-3277.29709119,380742.272,3218.5,1713.0
HALCROW-X-Cl,,-3579.879107280209,C1,24.82,24.83,41.99,62.21,-3579.4828236,-3579.48187939,0.08090993,-3579.56278932,169215.968,3240.6,1207.0
HALCROW-X-CO2H,,-3037.935377859276,C1,22.39,22.43,39.83,50.3,-3037.48757626,-3037.48663206,0.08748286,-3037.57411491,235507.152,3221.9,1331.0
HALCROW-X-F,,-2859.178831222528,C1,30.21,30.24,42.08,62.52,-2858.78035339,-2858.77940918,0.07869505,-2858.85810423,163500.112,3132.6,1195.0
HALCROW-X-I,,-3254.654626240353,C1,16.51,16.54,41.84,61.63,-3254.25965536,-3254.25871115,0.08466278,-3254.34337393,160256.496,3112.6,1233.0
HALCROW-X-Me,,-2739.315815489568,C1,23.73,24.0,30.39,30.42,-2738.84436943,-2738.84342522,0.08344044,-2738.92686566,219771.328,3110.5,1231.0
HALCROW-X-NH3,,-2771.430207595635,C2,29.87,29.91,41.47,61.06,-2770.98095173,-2770.98000752,0.08052554,-2771.06053306,191765.568,3091.1,1219.0
HALCROW-X-NMe2,,-2928.731731715086,C1,22.06,22.11,39.88,60.16,-2928.16406923,-2928.16312502,0.09395415,-2928.25707918,281113.072,3249.7,1391.0
HALCROW-X-NO2,,-3069.780804900194,C1,22.92,22.96,39.24,45.32,-3069.35891109,-3069.35796688,0.0866192,-3069.44458608,236485.616,3167.4,1319.0
HALCROW-X-OH,,-2811.152696157218,C1,30.24,30.26,41.79,61.86,-2810.72879781,-2810.7278536,0.079536,-2810.8073896,170909.28,3094.5,1207.0
HALCROW-X-OMe,,-2889.801428458667,C1,24.97,25.06,41.29,61.35,-2889.31817101,-2889.3172268,0.08618014,-2889.40340694,206586.112,3063.2,1293.0
HALCROW-X-pz,,-3110.853330830254,C1,17.74,17.8,38.93,46.94,-3110.33104094,-3110.33009673,0.09160545,-3110.42170218,291393.072,3191.3,1479.0
HALCROW-X-SH,,-3457.08131190038,C1,24.79,24.83,41.75,61.64,-3456.66651657,-3456.66557236,0.08286023,-3456.74843259,192457.28,3093.2,1219.0
HALCROW-X-SMe,,-3535.756351901319,C1,21.66,21.74,40.71,61.05,-3535.27966677,-3535.27872257,0.08928105,-3535.36800362,245054.992,3115.0,1305.0
HALCROW-X-SO2Me,,-3836.705907569087,C1,18.45,18.49,24.48,26.19,-3836.20802632,-3836.20708211,0.0964532,-3836.30353531,256757.264,3133.6,1429.0
HALCROW-X-SOMe,,-3686.184637329634,C1,19.76,19.9,37.58,45.14,-3685.6993681,-3685.69842389,0.09346109,-3685.79188497,240115.072,3140.4,1367.0
