Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2764.739867162105,Ci,50.37,63.91,64.0,72.08,-2764.38052855,-2764.37958434,0.07477743,-2764.45436177,51146.992,3475.0,1121.0,
BOYDOI,,-3200.475214622904,C1,16.31,19.68,19.82,23.76,-3200.11614322,-3200.11519901,0.08929222,-3200.20449123,33411.312,2780.0,971.0,
CAGROU,,-3205.007418420074,C1,19.23,20.67,22.12,33.46,-3204.4374586,-3204.43651439,0.09417036,-3204.53068474,95386.016,11430.2,1615.0,
ERIWEK01,,-3504.39282989878,C1,20.12,21.45,34.28,38.77,-3503.86900135,-3503.86805714,0.09308629,-3503.96114343,80980.928,6658.7,1329.0,
ERIWOU01,,-3582.997519696157,C1,24.59,26.65,34.27,35.02,-3582.4143669,-3582.41342269,0.09841676,-3582.51183945,88261.632,8948.5,1415.0,
FEGVOE01,,-3126.501911822133,C1,20.09,29.73,40.69,46.89,-3125.70731461,-3125.7063704,0.11543101,-3125.82180141,123714.24,11482.4,1423.0,
HALCROW-H,,-2660.133755662249,Cs,19.57,30.01,30.11,52.7,-2659.73242575,-2659.73148154,0.07801486,-2659.8094964,77835.52,4539.7,1145.0,
HALCROW-X-Br,,-7807.231796412198,C1,17.09,19.77,39.72,52.07,-7806.84440594,-7806.84346173,0.08495821,-7806.92841994,88831.968,5157.7,1229.0,
HALCROW-X-CH2SCN,,-3719.595200459916,C1,26.15,30.68,30.86,35.46,-3719.12212617,-3719.12118196,0.09788083,-3719.2190628,123660.848,7889.5,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3461.432439666624,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13449.2,1825.0,Error termination in SCF RESPONSE
HALCROW-X-cisCHCHC6H4NO24,,-3685.999059028411,"
*****************
*ORCA*
*****************

#",,,,,,,,,,13343.0,1887.0,Error termination in SCF RESPONSE
