Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2764.594327923184,C1,24.26,45.1,45.33,55.96,-2764.23502546,-2764.23408125,0.08273732,-2764.31681857,313410.48,3490.3,1121.0,
BOYDOI,,-3200.365495698999,C1,10.6,14.59,17.1,17.66,-3200.00792874,-3200.00698453,0.10075887,-3200.1077434,215180.08,3720.3,971.0,
CAGROU,,-3204.792699114254,C1,13.74,14.66,15.91,23.9,-3204.22393526,-3204.22299105,0.10080302,-3204.32379406,1118073.088,3454.2,1615.0,
ERIWEK01,,-3504.193933414106,C1,12.88,13.64,17.98,25.59,-3503.67154741,-3503.6706032,0.10293865,-3503.77354185,644601.84,3377.2,1329.0,
ERIWOU01,,-3582.791897262135,C1,11.97,12.77,16.84,23.33,-3582.21001691,-3582.2090727,0.10886837,-3582.31794107,713323.264,3526.1,1415.0,
FEGVOE01,,-3126.361281431148,C1,18.39,20.4,25.84,28.58,-3125.5651476,-3125.56420339,0.12094099,-3125.68514438,1165911.904,3338.9,1423.0,
HALCROW-H,,-2659.616666978655,C1,16.66,25.63,30.91,45.7,-2659.20354263,-2659.20259842,0.08184972,-2659.28444813,443746.56,3451.9,1145.0,
HALCROW-X-Br,,-7806.491162760554,C1,9.58,13.47,30.95,42.74,-7806.0959624,-7806.09501819,0.08996116,-7806.18497934,500986.16,3521.5,1229.0,
HALCROW-X-CH2SCN,,-3718.974790258554,C1,18.79,28.06,29.34,32.46,-3718.49646957,-3718.49552536,0.10101706,-3718.59654242,739091.696,3518.4,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3460.832934670731,C1,4.97,7.61,15.87,16.65,-3460.17777663,-3460.17683242,0.11986179,-3460.29669421,1117446.304,3017.6,1825.0,
HALCROW-X-cisCHCHC6H4NO24,,-3685.377396450696,C1,5.52,6.87,15.45,15.91,-3684.71304552,-3684.71210131,0.12302503,-3684.83512634,1223929.008,3204.8,1887.0,
HALCROW-X-cisCHCHPh,,-3276.390594251245,C1,7.29,7.73,17.81,18.61,-3275.73582032,-3275.73487611,0.1116481,-3275.84652421,1088729.328,3073.2,1713.0,
HALCROW-X-Cl,,-3578.73148127927,C1,11.83,17.04,30.95,43.66,-3578.33550566,-3578.33456145,0.08779789,-3578.42235935,412634.432,3404.6,1207.0,
HALCROW-X-CO2H,,-3036.751106584197,C1,11.58,15.99,30.71,44.44,-3036.30332398,-3036.30237977,0.09415232,-3036.3965321,560351.248,3361.8,1331.0,
HALCROW-X-F,,-2858.105255343367,C1,13.88,20.49,31.07,44.57,-2857.70703569,-2857.70609149,0.08560637,-2857.79169786,461573.936,3534.1,1195.0,
HALCROW-X-I,,-3253.819617496908,C1,8.13,11.46,30.53,41.43,-3253.42495769,-3253.42401348,0.09154246,-3253.51555594,482175.072,3565.2,1233.0,
HALCROW-X-Me,,-2738.233939691899,C1,14.47,21.05,30.0,30.85,-2737.76280696,-2737.76186275,0.09008584,-2737.85194859,487325.44,3534.7,1231.0,
HALCROW-X-NH3,,-2770.356778127133,C1,-8.52,13.95,28.57,31.72,-2769.90837146,-2769.90742725,0.085992,-2769.99341924,540552.944,3469.3,1219.0,
HALCROW-X-NMe2,,-2927.524512969197,C1,8.76,11.58,27.52,38.31,-2926.95670742,-2926.95576321,0.10127413,-2927.05703734,657333.92,3401.6,1391.0,
HALCROW-X-NO2,,-3068.581086631927,C1,11.66,16.27,31.03,41.7,-3068.15915929,-3068.15821508,0.09330163,-3068.25151671,486828.208,3535.8,1319.0,
HALCROW-X-OH,,-2810.078646865239,C1,6.0,20.22,30.29,33.58,-2809.65491425,-2809.65397004,0.08724036,-2809.7412104,481092.208,3405.3,1207.0,
HALCROW-X-OMe,,-2888.658823992223,C1,10.98,17.5,30.03,39.87,-2888.17577992,-2888.17483572,0.09329624,-2888.26813196,540692.912,3417.6,1293.0,
