Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2765.014387837058,C1,21.85,41.94,42.16,50.45,-2764.65263605,-2764.65169184,0.08252877,-2764.73422061,355495.12,3492.8,1121.0
BOYDOI,,-3200.720463610571,C1,10.36,12.35,15.18,16.45,-3200.36125486,-3200.36031065,0.09939733,-3200.45970798,204589.44,3723.1,971.0
CAGROU,,-3205.427974619167,C1,15.1,16.15,16.18,23.94,-3204.85666708,-3204.85572288,0.10058457,-3204.95630745,957006.192,3458.1,1615.0
ERIWEK01,,-3504.757802859443,C1,22.8,32.17,35.43,43.73,-3504.23297803,-3504.23203382,0.09977324,-3504.33180706,696448.768,3385.3,1329.0
ERIWOU01,,-3583.397066775349,C1,21.54,27.98,29.08,41.36,-3582.81252766,-3582.81158345,0.10542107,-3582.91700453,855984.656,3535.9,1415.0
FEGVOE01,,-3127.063503127863,C1,14.84,23.54,27.96,30.45,-3126.26504273,-3126.26409852,0.11988366,-3126.38398218,1184730.432,3350.8,1423.0
HALCROW-H,,-2660.077689761967,C1,8.58,22.84,27.12,43.54,-2659.662254,-2659.66130979,0.08183592,-2659.74314571,415170.512,3453.9,1145.0
HALCROW-X-Br,,-7807.206243710118,C1,5.1,12.03,27.05,39.6,-7806.80863709,-7806.80769288,0.08991499,-7806.89760787,506290.24,3523.6,1229.0
HALCROW-X-CH2SCN,,-3719.540168193777,C1,18.3,25.78,28.62,31.21,-3719.05899795,-3719.05805374,0.10009968,-3719.15815343,707858.112,3523.1,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3461.524091051999,C1,4.83,7.07,13.96,14.7,-3460.86566974,-3460.86472553,0.11965939,-3460.98438492,1107490.784,3020.3,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3686.076134814684,C1,4.49,6.45,14.25,14.73,-3685.40819684,-3685.40725263,0.12293953,-3685.53019217,1105830.304,3207.1,1887.0
HALCROW-X-cisCHCHPh,,-3277.066335586165,C1,5.73,6.35,16.91,17.49,-3276.40838003,-3276.40743582,0.11159334,-3276.51902917,979218.512,3076.0,1713.0
HALCROW-X-Cl,,-3579.222576182688,C1,6.57,15.24,27.07,40.87,-3578.82418155,-3578.82323734,0.08772895,-3578.91096629,410089.776,3406.2,1207.0
HALCROW-X-CO2H,,-3037.244452226367,C1,6.15,14.11,26.91,41.28,-3036.79389131,-3036.7929471,0.09414682,-3036.88709392,579849.584,3364.0,1331.0
HALCROW-X-F,,-2858.555752003991,C1,7.62,18.19,27.11,42.09,-2858.15509562,-2858.15415141,0.08556798,-2858.23971939,408390.832,3535.8,1195.0
HALCROW-X-I,,-3254.564988838505,C1,4.4,10.21,26.85,38.41,-3254.16792021,-3254.166976,0.09147071,-3254.25844671,477764.688,3567.3,1233.0
HALCROW-X-Me,,-2738.736398931085,C1,8.08,18.73,26.32,28.05,-2738.26281662,-2738.26187241,0.09013967,-2738.35201208,518628.848,3537.0,1231.0
HALCROW-X-NH3,,-2770.845622586465,C1,5.84,18.2,25.55,37.31,-2770.39372983,-2770.39278562,0.08823111,-2770.48101673,462982.608,3472.1,1219.0
HALCROW-X-NMe2,,-2928.095236428814,C1,7.03,10.13,23.47,38.67,-2927.52455148,-2927.52360727,0.10052377,-2927.62413104,691556.032,3404.4,1391.0
HALCROW-X-NO2,,-3069.06537294742,C1,7.14,14.63,27.96,42.72,-3068.64068237,-3068.63973816,0.09310113,-3068.7328393,430959.088,3537.9,1319.0
HALCROW-X-OH,,-2810.549026912481,C1,7.81,18.13,26.35,40.18,-2810.12260672,-2810.12166251,0.0865366,-2810.20819911,470102.896,3407.8,1207.0
HALCROW-X-OMe,,-2889.164416856644,C1,6.96,15.69,26.13,38.89,-2888.67868422,-2888.67774001,0.0929856,-2888.77072561,550646.288,3420.3,1293.0
HALCROW-X-pz,,-3110.128361752637,C1,5.88,11.64,25.53,36.77,-3109.60281382,-3109.60186961,0.09842659,-3109.70029621,793698.304,3509.7,1479.0
HALCROW-X-SH,,-3456.435912357266,C1,6.9,15.31,26.52,39.43,-3456.01889291,-3456.0179487,0.08968191,-3456.10763062,487974.72,3470.7,1219.0
HALCROW-X-SMe,,-3535.08735629628,C1,7.41,8.62,24.91,39.36,-3534.60824613,-3534.60730192,0.09581183,-3534.70311374,528574.496,3478.4,1305.0
HALCROW-X-SO2Me,,-3835.933629186444,C1,9.3,11.34,21.03,23.86,-3835.43299041,-3835.4320462,0.10242673,-3835.53447293,513376.192,3298.6,1429.0
HALCROW-X-SOMe,,-3685.461008899067,C1,7.97,12.63,26.43,40.86,-3684.97322432,-3684.97228011,0.09971465,-3685.07199476,661855.44,3537.7,1367.0
HALCROW-Y-Br,,-12954.315718683532,C1,8.07,9.79,14.7,15.63,-12953.93513019,-12953.93418598,0.09726885,-12954.03145483,569046.192,3518.4,1313.0
HALCROW-Y-CH2OH,,-3118.252021549489,C1,8.44,13.56,20.49,20.92,-3117.69469582,-3117.69375161,0.10526758,-3117.7990192,691150.864,3354.2,1441.0
HALCROW-Y-Cl,,-4498.344560275998,C1,8.3,14.09,18.6,22.05,-4497.96254032,-4497.96159611,0.09322436,-4498.05482048,441453.024,3514.7,1269.0
HALCROW-Y-CO2Et,,-3728.940070472287,C1,5.92,8.15,12.42,12.53,-3728.21660864,-3728.21566443,0.13099533,-3728.34665976,1073660.416,3145.6,1861.0
HALCROW-Y-I,,-3849.039228175457,C1,7.11,9.82,10.07,12.08,-3848.65949268,-3848.65854847,0.10039339,-3848.75894187,477559.632,3574.3,1321.0
HALCROW-Y-Me,,-2817.384610602858,C1,8.3,19.7,20.8,30.38,-2816.85188585,-2816.85094164,0.0970073,-2816.94794894,591027.632,3545.2,1317.0
HALCROW-Y-tBu,,-3289.597049613369,C1,-125.83,8.47,8.7,12.11,-3288.72071502,-3288.71977081,0.12645371,-3288.84622452,1316383.776,6556.8,1833.0
HPZBFE,,-2668.72756261541,C1,22.93,42.1,42.35,48.59,-2668.2971398,-2668.29619559,0.08394814,-2668.38014372,409274.944,3529.6,1157.0
KEKVIF03,,-3389.24323759765,C1,23.22,24.29,25.66,31.44,-3388.84625139,-3388.84530719,0.08804241,-3388.93334959,482997.04,3411.1,1207.0
