Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2765.279395503029,Ci,26.31,42.06,43.66,52.92,-2764.92077896,-2764.91983475,0.08266566,-2765.00250041,149019.18,3613.4,1121.0,
BOYDOI,,-3200.976018635178,C1,4.18,5.51,8.01,13.48,-3200.6173816,-3200.61643739,0.1004639,-3200.71690128,57834.32,1806.9,971.0,
CAGROU,,-3205.744653520354,C1,11.25,14.54,16.76,24.67,-3205.17350287,-3205.17255866,0.09979176,-3205.27235042,295797.66,7168.2,1615.0,
ERIWEK01,,-3505.028064365408,C1,20.12,25.99,31.46,39.75,-3504.50394757,-3504.50300336,0.10019231,-3504.60319567,249621.68000000002,3598.0,1329.0,
ERIWOU01,,-3583.671411082544,C1,19.17,21.38,26.6,36.44,-3583.08717361,-3583.0862294,0.10561226,-3583.19184166,206183.0,3621.7,1415.0,
FEGVOE01,,,"
*****************
*ORCA*
*****************

#",,,,,,,,,,337.1,1423.0, SCF NOT CONVERGED
HALCROW-H,,-2660.691948268907,C1,11.85,17.0,20.86,44.34,-2660.28634011,-2660.2853959,0.082774,-2660.3681699,260103.13999999998,3596.4,1145.0,
HALCROW-X-Br,,-7807.616649740768,C1,8.29,9.92,20.71,41.1,-7807.2282411,-7807.22729689,0.09114835,-7807.31844524,275630.86,3626.3,1229.0,
HALCROW-X-CH2SCN,,-3720.27795245654,C1,14.77,15.95,21.6,25.25,-3719.8041869,-3719.80324269,0.10329432,-3719.90653701,380478.38,7232.9,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3462.318708656429,C1,5.21,5.46,18.91,25.13,-3461.66693345,-3461.66598924,0.11848395,-3461.78447319,821724.6000000001,7193.8,1825.0,
HALCROW-X-cisCHCHC6H4NO24,,-3686.929182888631,C1,4.68,5.08,19.29,23.36,-3686.26813837,-3686.26719416,0.12164248,-3686.38883664,958443.58,7232.7,1887.0,
HALCROW-X-cisCHCHPh,,-3277.768162075958,C1,3.03,6.63,18.32,30.03,-3277.11777443,-3277.11683022,0.11150491,-3277.22833513,767823.3,7194.6,1713.0,
HALCROW-X-Cl,,-3579.907472027685,C1,9.12,12.11,20.92,42.64,-3579.51852364,-3579.51757943,0.08899061,-3579.60657004,280934.62,3624.7,1207.0,
HALCROW-X-CO2H,,-3037.986029021346,C1,8.38,9.9,20.0,40.53,-3037.54273901,-3037.5417948,0.094747,-3037.6365418,274864.32,3590.3,1331.0,
HALCROW-X-F,,-2859.221675061474,C1,11.29,17.98,23.21,43.01,-2858.83195278,-2858.83100857,0.0868731,-2858.91788167,379247.28,3593.2,1195.0,
HALCROW-X-I,,-3255.243756762355,C1,7.18,8.32,20.32,32.65,-3254.85572879,-3254.85478458,0.09301686,-3254.94780144,311054.64,3589.9,1233.0,
HALCROW-X-I_atom53,,,,,,,,,,,,,,,
HALCROW-X-Me,,-2739.342960702519,C1,11.2,18.12,21.88,43.52,-2738.87866511,-2738.8777209,0.09020904,-2738.96792995,332280.74,3616.0,1231.0,
HALCROW-X-NH3,,-2771.434753401808,C1,10.85,17.96,21.74,43.1,-2770.9937315,-2770.99278729,0.08859497,-2771.08138226,325352.72000000003,3593.8,1219.0,
HALCROW-X-NMe2,,-2928.685487737196,C1,10.12,15.26,19.02,34.79,-2928.12593684,-2928.12499263,0.10210426,-2928.22709689,446466.36,3608.8,1391.0,
HALCROW-X-NO2,,-3069.874307164361,C1,2.71,5.79,20.56,41.78,-3069.45617701,-3069.4552328,0.09403199,-3069.54926479,637797.38,9632.6,1319.0,
HALCROW-X-OH,,-2811.177745547738,C1,10.65,18.7,20.71,43.53,-2810.76224876,-2810.76130456,0.08778988,-2810.84909444,315469.64,3617.9,1207.0,
HALCROW-X-OMe,,-2889.796368611389,C1,13.27,16.54,21.76,43.26,-2889.32115246,-2889.32020826,0.09330261,-2889.41351086,335803.1,3606.8,1293.0,
