Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2763.62080962026,C1,19.56,41.65,41.79,43.53,-2763.27082752,-2763.26988331,0.08457168,-2763.35445499,92812.192,3610.4,1121.0
BOYDOI,,-3199.298033554859,C1,8.7,10.86,13.12,14.88,-3198.94896176,-3198.94801755,0.10085622,-3199.04887376,51605.008,3591.4,971.0
CAGROU,,-3203.558645976088,C1,10.77,11.69,13.62,21.91,-3203.00373674,-3203.00279253,0.10306853,-3203.10586107,177181.392,3579.6,1615.0
ERIWEK01,,-3502.976201788336,C1,20.0,26.69,30.69,33.87,-3502.46635839,-3502.46541418,0.10222754,-3502.56764172,158153.072,3595.9,1329.0
ERIWOU01,,-3581.524100760254,C1,19.18,23.6,25.42,32.78,-3580.95612461,-3580.9551804,0.10808742,-3581.06326782,139677.488,3618.0,1415.0
FEGVOE01,,-3125.218207577636,C1,12.89,22.52,25.14,27.63,-3124.44032797,-3124.43938376,0.12290395,-3124.56228771,275641.456,7237.7,1423.0
HALCROW-H,,-2658.691258352997,C1,-5.54,21.65,27.41,43.36,-2658.28883505,-2658.28789084,0.08050465,-2658.3683955,169644.656,6982.9,1145.0
HALCROW-X-Br,,-7805.039586292284,C1,1.13,11.22,27.2,38.88,-7804.65352188,-7804.65257767,0.09193015,-7804.74450782,169126.256,7981.5,1229.0
HALCROW-X-CH2SCN,,-3717.67694495334,C1,18.37,26.22,28.53,30.33,-3717.20975573,-3717.20881152,0.10163698,-3717.3104485,162982.192,3618.6,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3459.437060340199,C1,1.55,5.55,14.12,15.28,-3458.79729497,-3458.79635076,0.12225912,-3458.91860988,231498.48,3570.9,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3684.356409468709,C1,0.92,1.63,15.82,15.84,-3683.71394024,-3683.71299603,0.12331604,-3683.83631207,373959.824,7229.7,1887.0
HALCROW-X-cisCHCHPh,,-3275.503819274306,C1,4.46,4.86,14.56,17.95,-3274.87112816,-3274.87018395,0.11511259,-3274.98529654,327974.144,7191.4,1713.0
HALCROW-X-Cl,,-3577.555065007494,C1,-1.42,14.27,27.29,40.33,-3577.16917466,-3577.16823045,0.08637815,-3577.2546086,171825.568,7685.6,1207.0
HALCROW-X-CO2H,,-3035.631316968617,C1,-4.25,12.98,27.16,40.08,-3035.19515275,-3035.19420854,0.09292917,-3035.28713771,223260.96,10214.7,1331.0
HALCROW-X-F,,-2857.07664468603,C1,-2.32,17.19,27.49,42.09,-2856.68866724,-2856.68772303,0.08427616,-2856.77199919,135806.656,7533.6,1195.0
HALCROW-X-I,,-3252.892747100264,C1,1.35,9.69,26.97,37.43,-3252.50722958,-3252.50628537,0.09332885,-3252.59961422,290024.272,8017.5,1233.0
HALCROW-X-Me,,-2737.258983864756,C1,-26.35,-18.96,-3.86,17.39,-2736.80170928,-2736.80076507,0.08496001,-2736.88572508,172022.368,8883.1,1231.0
HALCROW-X-NH3,,-2769.375254832099,C1,2.37,17.05,25.75,38.82,-2768.93636993,-2768.93542572,0.0900377,-2769.02546343,118962.224,7203.4,1219.0
HALCROW-X-NMe2,,-2926.444259813873,C1,2.23,7.4,23.58,38.29,-2925.88988835,-2925.88894414,0.10315267,-2925.99209681,291442.976,13007.7,1391.0
HALCROW-X-NO2,,-3067.4836943659,C1,-2.91,13.28,27.63,39.48,-3067.07304614,-3067.07210193,0.09212606,-3067.16422799,193717.216,9699.3,1319.0
HALCROW-X-OH,,-2809.079387570597,C1,2.7,17.3,26.64,40.7,-2808.66547415,-2808.66452994,0.08825754,-2808.75278749,83527.168,7204.4,1207.0
HALCROW-X-OMe,,-2887.604929158998,C1,-1.5,14.5,26.26,38.59,-2887.1342108,-2887.1332666,0.09177554,-2887.22504214,191103.328,10035.6,1293.0
HALCROW-X-pz,,-3108.391633709968,C1,1.5,10.53,25.76,36.04,-3107.88152057,-3107.88057636,0.10059156,-3107.98116793,158350.464,7207.9,1479.0
HALCROW-X-SH,,-3454.783199783753,C1,2.39,14.3,26.61,38.82,-3454.37828886,-3454.37734465,0.09150518,-3454.46884983,91616.016,7219.4,1219.0
HALCROW-X-SMe,,-3533.344104388435,C1,0.98,6.85,25.3,37.68,-3532.87970518,-3532.87876097,0.09520451,-3532.97396548,171913.968,7225.0,1305.0
HALCROW-X-SO2Me,,-3834.027240016477,C1,8.58,10.87,18.66,20.73,-3833.54132715,-3833.54038294,0.10459134,-3833.64497428,136053.744,3609.3,1429.0
HALCROW-X-SOMe,,-3683.641333896109,C1,-2.64,12.07,26.13,38.8,-3683.16872588,-3683.16778167,0.09900298,-3683.26678465,191518.256,11486.8,1367.0
HALCROW-Y-Br,,-12951.368656000759,C1,-4.36,9.83,13.8,15.39,-12951.00022,-12950.99927579,0.09616564,-12951.09544143,146443.248,9052.7,1313.0
HALCROW-Y-CH2OH,,-3116.515091989831,C1,-5.88,13.23,18.75,20.11,-3115.97533318,-3115.97438897,0.10450226,-3116.07889124,529442.496,13577.8,1441.0
HALCROW-Y-Cl,,-4496.396094604042,C1,-4.36,14.19,17.34,21.79,-4496.02625446,-4496.02531025,0.0920983,-4496.11740854,160308.08,8423.9,1269.0
HALCROW-Y-CO2Et,,-3727.161559246111,C1,6.02,9.82,10.91,11.5,-3726.46721876,-3726.46627455,0.13422156,-3726.60049611,701903.824,14384.0,1861.0
HALCROW-Y-I,,-3847.080799694419,C1,-4.72,7.52,11.11,12.0,-3846.71330954,-3846.71236533,0.09918451,-3846.81154984,195780.224,9132.5,1321.0
HALCROW-Y-Me,,-2815.817990908391,C1,-5.75,18.82,19.43,29.11,-2815.30118073,-2815.30023652,0.09608411,-2815.39632063,190744.32,11097.4,1317.0
HALCROW-Y-tBu,,-3287.113081994681,C1,-7.23,9.43,13.01,15.89,-3286.25212588,-3286.25118167,0.12663723,-3286.3778189,411185.136,14394.6,1833.0
HPZBFE,,-2667.312939553811,C1,-230.74,21.47,41.75,41.93,-2666.89679398,-2666.89584977,0.08500966,-2666.98085943,179833.392,7460.9,1157.0
KEKVIF03,,-3387.607507670973,C1,19.21,21.35,24.14,25.48,-3387.22215356,-3387.22120935,0.09013879,-3387.31134814,86072.816,3620.8,1207.0
NEFSUM02,,-2788.687791384338,C1,17.78,25.56,26.48,35.87,-2788.2021011,-2788.20115689,0.09155058,-2788.29270748,140185.52,3626.6,1305.0
RUWZUF,,-2457.032170952173,C1,13.6,14.88,20.51,22.73,-2456.51196798,-2456.51102377,0.09645019,-2456.60747396,160897.328,3615.1,1155.0
SAKWIM,,-4055.50760778565,C1,22.36,27.96,34.94,37.69,-4054.5341129,-4054.53316869,0.13943187,-4054.67260056,352348.96,7171.3,1636.0
WAHKEX,,-3199.563448904542,C1,13.56,16.63,19.7,27.01,-3199.16366917,-3199.16272497,0.08735567,-3199.25008064,136070.304,3598.4,1076.0
ZUCROE,,-4202.158777314235,C1,7.56,12.16,14.07,19.96,-4201.42561475,-4201.42467054,0.14856806,-4201.5732386,411620.96,7158.2,2321.0
