Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2763.670301526873,C1,22.13,43.73,43.91,52.18,-2763.30653876,-2763.30559455,0.08227798,-2763.38787253,266945.744,1783.4,1121.0,
BOYDOI,,-3199.401489380884,C1,10.95,14.72,15.77,18.46,-3199.04107735,-3199.04013314,0.09930129,-3199.13943443,191864.016,1752.1,971.0,
CAGROU,,-3203.654357466315,C1,15.94,16.28,16.77,24.36,-3203.08114301,-3203.0801988,0.10044087,-3203.18063968,1788951.76,1458.6,1615.0,
ERIWEK01,,-3503.137349568473,C1,21.47,29.62,33.11,35.43,-3502.6110991,-3502.61015489,0.10020483,-3502.71035972,496642.704,1742.8,1329.0,
ERIWOU01,,-3581.700605017212,C1,19.71,26.62,28.11,33.04,-3581.11458495,-3581.11364075,0.10585678,-3581.21949752,595455.264,1690.1,1415.0,
FEGVOE01,,-3125.470778029708,C1,15.88,25.15,29.04,30.72,-3124.67123034,-3124.67028613,0.12014319,-3124.79042932,1404660.048,1534.2,1423.0,
HALCROW-H,,-2658.762413434191,C1,11.57,24.0,27.65,44.1,-2658.34533335,-2658.34438914,0.08157723,-2658.42596637,393007.664,1677.1,1145.0,
HALCROW-X-Br,,-7805.280098674615,C1,7.5,13.04,27.75,40.61,-7804.88085542,-7804.87991121,0.08955239,-7804.9694636,442492.608,1697.3,1229.0,
HALCROW-X-CH2SCN,,-3717.805586922268,C1,17.21,25.71,29.91,31.18,-3717.32262127,-3717.32167706,0.10013804,-3717.42181511,651833.296,1672.5,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3459.544758495307,C1,5.8,7.73,14.6,15.53,-3458.8839923,-3458.88304809,0.11921883,-3459.00226692,1059845.152,1420.4,1825.0,
