Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
HALCROW-H,,-2658.922560821493,C1,12.19,17.27,23.71,40.68,-2658.50580957,-2658.50486536,0.08208487,-2658.58695023,456925.216,3052.7,1145.0,
HALCROW-X-Br,,-7805.437395263401,C1,9.43,10.66,26.1,41.54,-7805.03810041,-7805.03715621,0.08959374,-7805.12674994,573224.352,3083.2,1229.0,
HALCROW-X-cisCHCHPh,,-3275.339289643893,C1,5.68,8.28,18.75,20.92,-3274.67884083,-3274.67789662,0.11056714,-3274.78846376,1067135.136,2946.6,1713.0,
HALCROW-X-Cl,,-3577.8495364104,C1,7.88,10.11,25.38,41.8,-3577.44969663,-3577.44875242,0.08793113,-3577.53668355,488343.136,3052.0,1207.0,
HALCROW-X-CO2H,,-3035.843772485958,C1,9.0,10.08,22.02,36.95,-3035.39190732,-3035.39096311,0.09457716,-3035.48554027,637164.896,2992.5,1331.0,
HALCROW-X-I,,-3253.15756894342,C1,7.89,9.67,24.05,37.89,-3252.75903044,-3252.75808623,0.09129599,-3252.84938222,524690.352,3095.5,1233.0,
HALCROW-X-NH3,,-2769.600797854395,C1,-90.91,-55.63,18.88,19.86,-2769.14969371,-2769.1487495,0.08486428,-2769.23361379,499510.0,3028.1,1219.0,
HALCROW-X-OH,,-2809.303312761052,C1,-83.33,5.38,14.49,24.48,-2808.87635323,-2808.87540902,0.0853092,-2808.96071823,726963.968,3050.3,1207.0,
HALCROW-X-OMe,,-2887.825188354636,C1,-17.3,-3.38,11.68,22.7,-2887.33983622,-2887.33889201,0.08899699,-2887.42788899,846299.872,3019.2,1293.0,
HALCROW-X-SMe,,-3533.627911478267,C1,8.43,10.88,28.25,46.52,-3533.14722607,-3533.14628186,0.09512805,-3533.24140991,554833.2,3073.3,1305.0,
HALCROW-X-SOMe,,-3683.923788368369,C1,2.55,12.08,23.28,28.96,-3683.43467312,-3683.43372891,0.10032591,-3683.53405482,733522.368,3051.2,1367.0,
HALCROW-Y-CH2OH,,-3116.743337154211,C1,-64.48,-64.03,10.1,13.8,-3116.18596755,-3116.18502334,0.10348328,-3116.28850663,952084.0,3035.4,1441.0,
HALCROW-Y-CO2Et,,-3726.969417901396,C1,8.1,8.58,13.3,15.41,-3726.24429351,-3726.2433493,0.13078368,-3726.37413298,1343157.712,2908.8,1861.0,
HALCROW-Y-I,,-3847.388530319251,C1,10.45,14.86,15.73,18.62,-3847.00668308,-3847.00573887,0.09860086,-3847.10433973,586877.136,3051.8,1321.0,
BAXFIS02,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HPZBFE,,,,,,,,,,,,,,,ORCA6 .OUT file not made
NEFSUM02,,,,,,,,,,,,,,,ORCA6 .OUT file not made
SAKWIM,,,,,,,,,,,,,,,ORCA6 .OUT file not made
KEKVIF03,,,,,,,,,,,,,,,ORCA6 .OUT file not made
ZUCROE,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-NMe2,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-Br,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-CH2SCN,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-F,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-SH,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-NO2,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-Cl,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-tBu,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-pz,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-Me,,,,,,,,,,,,,,,ORCA6 .OUT file not made
RUWZUF,,,,,,,,,,,,,,,ORCA6 .OUT file not made
CAGROU,,,,,,,,,,,,,,,ORCA6 .OUT file not made
FEGVOE01,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-Me,,,,,,,,,,,,,,,ORCA6 .OUT file not made
WAHKEX,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-cisCHCHC6H4NO24,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-cisCHCHC6H4CN4,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-SO2Me,,,,,,,,,,,,,,,ORCA6 .OUT file not made
BOYDOI,,,,,,,,,,,,,,,ORCA6 .OUT file not made
ERIWEK01,,,,,,,,,,,,,,,ORCA6 .OUT file not made
ERIWOU01,,,,,,,,,,,,,,,ORCA6 .OUT file not made
