Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2763.592693294256,C1,23.35,45.37,45.5,55.13,-2763.22950824,-2763.22856403,0.08229792,-2763.31086194,231876.352,1782.7,1121.0,
BOYDOI,,-3199.344801435401,C1,10.74,13.29,14.71,16.82,-3198.9846642,-3198.98371999,0.10001762,-3199.08373761,207181.232,1751.1,971.0,
CAGROU,,-3203.538520563088,C1,14.29,15.17,16.68,24.0,-3202.96550261,-3202.9645584,0.1003939,-3203.06495231,1498555.328,1452.2,1615.0,
ERIWEK01,,-3503.030598262646,C1,13.31,13.92,18.95,27.45,-3502.50489581,-3502.5039516,0.10209129,-3502.60604289,728597.44,1739.3,1329.0,
ERIWOU01,,-3581.587609558232,C1,15.17,16.92,19.65,25.16,-3581.00222093,-3581.00127672,0.10760862,-3581.10888534,709788.8,1685.1,1415.0,
FEGVOE01,,-3125.346911315957,C1,17.92,21.35,25.2,26.45,-3124.54792933,-3124.54698512,0.12102226,-3124.66800739,1742333.808,1529.5,1423.0,
HALCROW-H,,-2658.68525722012,C1,16.46,25.87,30.42,46.16,-2658.2685159,-2658.26757169,0.08141889,-2658.34899059,343779.84,1676.6,1145.0,
HALCROW-X-Br,,-7805.196819628778,C1,9.84,13.84,30.39,43.06,-7804.79795374,-7804.79700953,0.08942958,-7804.88643911,877312.592,1696.7,1229.0,
HALCROW-X-CH2SCN,,-3717.70439701498,C1,18.61,28.0,29.97,31.65,-3717.22190349,-3717.22095928,0.10023797,-3717.32119725,614512.512,1670.5,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3459.426868961648,C1,6.25,7.58,13.75,14.75,-3458.76663109,-3458.76568688,0.11928974,-3458.88497663,1252642.96,1419.2,1825.0,
HALCROW-X-cisCHCHC6H4NO24,,-3683.8533858818,C1,6.06,7.2,16.13,16.29,-3683.18338039,-3683.18243618,0.12228326,-3683.30471944,1522980.768,1503.8,1887.0,
HALCROW-X-cisCHCHPh,,-3275.106010219259,C1,7.58,8.05,17.08,17.86,-3274.44630019,-3274.44535598,0.11108722,-3274.5564432,770504.96,1564.8,1713.0,
HALCROW-X-Cl,,-3577.608968110104,C1,12.03,17.44,30.48,44.12,-3577.20929265,-3577.20834844,0.08728409,-3577.29563253,416418.864,1641.8,1207.0,
HALCROW-X-CO2H,,-3035.596762452185,C1,11.51,16.2,30.19,44.6,-3035.14460498,-3035.14366078,0.093642,-3035.23730277,512895.312,1718.4,1331.0,
HALCROW-X-F,,-2857.060048436092,C1,13.94,20.84,30.56,45.04,-2856.6580488,-2856.65710459,0.08513256,-2856.74223715,444588.48,1612.1,1195.0,
HALCROW-X-I,,-3252.920821043924,C1,8.47,11.82,30.21,41.98,-3252.52251291,-3252.5215687,0.09097373,-3252.61254243,460800.912,1739.0,1233.0,
HALCROW-X-Me,,-2737.262362411328,C1,14.44,21.29,26.63,26.79,-2736.78740947,-2736.78646526,0.08977404,-2736.8762393,591592.432,1707.4,1231.0,
HALCROW-X-NH3,,-2769.366577315876,C1,8.93,20.81,29.17,37.88,-2768.91321287,-2768.91226866,0.08787905,-2769.00014771,466044.384,1675.5,1219.0,
HALCROW-X-NMe2,,-2926.450957949287,C1,11.24,12.79,27.18,40.76,-2925.87872708,-2925.87778288,0.10011413,-2925.97789701,527012.016,1616.6,1391.0,
HALCROW-X-NO2,,-3067.410062942739,C1,11.64,16.52,30.72,44.03,-3066.98371659,-3066.98277238,0.09269226,-3067.07546464,449327.312,1688.5,1319.0,
HALCROW-X-OH,,-2809.062321375351,C1,13.3,20.75,29.91,42.47,-2808.63446223,-2808.63351802,0.08617379,-2808.71969181,533791.52,1643.7,1207.0,
HALCROW-X-OMe,,-2887.59588119588,C1,11.83,17.72,29.54,41.84,-2887.10862686,-2887.10768265,0.09257461,-2887.20025727,488490.656,1638.3,1293.0,
HALCROW-X-pz,,-3108.37114957152,C1,9.44,13.42,28.9,39.45,-3107.84390318,-3107.84295897,0.0980408,-3107.94099977,714364.736,1504.9,1479.0,
HALCROW-X-SH,,-3454.827654383443,C1,11.53,17.22,29.77,42.34,-3454.40930683,-3454.40836262,0.08931651,-3454.49767913,408066.448,1673.2,1219.0,
HALCROW-X-SMe,,-3533.39675538343,C1,11.2,12.4,28.42,42.67,-3532.91628346,-3532.91533926,0.09530411,-3533.01064336,541238.416,1664.8,1305.0,
HALCROW-X-SO2Me,,-3834.04720405341,C1,11.1,13.58,23.55,26.06,-3833.54515884,-3833.54421463,0.10216763,-3833.64638225,769785.392,1685.7,1429.0,
HALCROW-X-SOMe,,-3683.671153426616,C1,10.35,14.5,29.16,43.41,-3683.18190569,-3683.18096148,0.09934681,-3683.28030828,587590.624,1559.6,1367.0,
HALCROW-Y-Br,,-12951.69097296723,C1,11.48,12.87,15.6,18.21,-12951.30914019,-12951.30819598,0.09679385,-12951.40498983,464497.904,1678.9,1313.0,
HALCROW-Y-CH2OH,,-3116.508156459804,C1,15.39,15.68,22.11,22.37,-3115.94895386,-3115.94800965,0.10471132,-3116.05272097,722043.888,1717.5,1441.0,
HALCROW-Y-Cl,,-4496.51055852069,C1,14.36,16.41,20.21,24.5,-4496.12726095,-4496.12631674,0.09274641,-4496.21906316,451508.608,1576.8,1269.0,
HALCROW-Y-CO2Et,,-3726.715978736805,C1,9.96,12.93,13.57,14.23,-3725.99031084,-3725.98936663,0.13024995,-3726.11961658,1132794.48,1482.3,1861.0,
HALCROW-Y-I,,-3847.146329426013,C1,8.68,11.62,11.72,15.91,-3846.7653721,-3846.76442789,0.09976446,-3846.86419235,455136.896,1727.5,1321.0,
HALCROW-Y-Me,,-2815.829791815487,C1,15.43,22.7,23.43,33.0,-2815.29560688,-2815.29466267,0.09655211,-2815.39121477,574741.472,1701.6,1317.0,
HALCROW-Y-tBu,,-3287.174919565482,C1,14.81,15.28,18.48,21.11,-3286.2875423,-3286.28659809,0.12543885,-3286.41203694,1123808.912,1519.0,1833.0,
HPZBFE,,-2667.314951526878,C1,24.56,46.32,46.43,54.29,-2666.88324362,-2666.88229941,0.08371262,-2666.96601203,376178.896,1717.0,1157.0,
KEKVIF03,,-3387.648989306426,C1,9.97,11.43,13.79,14.58,-3387.25092581,-3387.2499816,0.09100143,-3387.34098303,540667.088,1642.4,1207.0,
NEFSUM02,,-2788.689953080064,C1,22.53,27.37,31.09,38.97,-2788.18871254,-2788.18776833,0.09036063,-2788.27812896,658285.072,1687.1,1305.0,
RUWZUF,,-2457.059236039017,C1,19.16,21.41,22.33,23.49,-2456.52335658,-2456.52241237,0.09594387,-2456.61835624,403753.312,1713.8,1155.0,
SAKWIM,,-4055.743765079436,C1,17.84,28.94,32.49,36.11,-4054.74494174,-4054.74399753,0.13817419,-4054.88217171,1229127.536,1576.3,1636.0,
WAHKEX,,-3199.622838016869,C1,15.22,20.18,21.91,30.86,-3199.21040557,-3199.20946136,0.08630418,-3199.29576554,440697.28,1822.6,1076.0,
ZUCROE,,,,,,,,,,,,,,,ORCA6 .OUT file not made
