Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2765.913470165268,C1,21.15,40.98,41.46,46.44,-2765.56011204,-2765.55916783,0.0840629,-2765.64323073,138868.576,3613.5,1121.0
BOYDOI,,-3201.504502256453,C1,8.9,10.81,13.19,14.93,-3201.15183703,-3201.15089282,0.10056503,-3201.25145786,78264.16,3593.8,971.0
CAGROU,,-3206.56710460047,C1,10.67,12.49,14.02,23.06,-3206.00676597,-3206.00582176,0.10243184,-3206.1082536,292227.712,3582.6,1615.0
ERIWEK01,,-3505.718299177627,C1,19.3,27.81,31.27,36.68,-3505.20260656,-3505.20166235,0.1017119,-3505.30337424,217695.952,3601.4,1329.0
ERIWOU01,,-3584.394225801408,C1,18.96,24.52,25.72,34.85,-3583.81967013,-3583.81872592,0.10755157,-3583.92627749,252053.648,3621.4,1415.0
FEGVOE01,,-3127.862861674535,C1,15.77,23.86,26.59,29.09,-3127.07502527,-3127.07408106,0.12212503,-3127.1962061,493798.64,7177.3,1423.0
HALCROW-H,,-2660.9138816942,C1,-7.22,21.24,27.13,42.61,-2660.50764913,-2660.50670492,0.08031942,-2660.58702434,208004.528,6986.9,1145.0
HALCROW-X-Br,,-7807.834300414757,C1,-2.47,10.86,26.96,38.27,-7807.44576299,-7807.44481878,0.08829555,-7807.53311433,265290.928,7984.7,1229.0
HALCROW-X-CH2SCN,,-3720.640680196615,C1,17.75,25.8,27.9,30.06,-3720.16906087,-3720.16811666,0.1013863,-3720.26950296,224081.168,3621.8,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3463.245884096474,C1,2.96,3.55,18.53,21.99,-3462.6055806,-3462.60463639,0.1215241,-3462.72616049,501758.816,7193.3,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3687.924240854865,C1,3.75,5.01,17.31,19.59,-3687.27510234,-3687.27415813,0.12446771,-3687.39862583,524378.992,7232.0,1887.0
HALCROW-X-cisCHCHPh,,-3278.641577074652,C1,4.26,5.13,17.8,20.45,-3278.00282514,-3278.00188093,0.11393271,-3278.11581364,401810.192,7195.0,1713.0
HALCROW-X-Cl,,-3580.176669536234,C1,-2.19,13.84,27.06,39.39,-3579.78737618,-3579.78643197,0.0862367,-3579.87266867,224278.752,7688.3,1207.0
HALCROW-X-CO2H,,-3038.27278545721,C1,-4.85,12.75,26.91,39.4,-3037.83293445,-3037.83199024,0.09272522,-3037.92471546,264575.408,10219.4,1331.0
HALCROW-X-F,,-2859.480403886764,C1,-3.67,16.35,27.27,41.29,-2859.0890081,-2859.08806389,0.0841909,-2859.17225479,280486.592,7536.4,1195.0
HALCROW-X-I,,-3254.903847923288,C1,-5.66,8.85,26.7,35.86,-3254.51587616,-3254.51493195,0.0898592,-3254.60479115,262350.416,8020.4,1233.0
HALCROW-X-Me,,-2739.608201603504,C1,-6.6,16.92,22.84,25.29,-2739.14443913,-2739.14349492,0.08891417,-2739.23240908,320521.872,8886.3,1231.0
HALCROW-X-NH3,,-2771.728529071234,C1,-6.28,16.58,25.49,36.9,-2771.28679265,-2771.28584844,0.08704946,-2771.3728979,226761.024,8423.8,1219.0
HALCROW-X-NMe2,,-2929.063824636445,C1,-2.26,8.31,23.31,38.07,-2928.50452518,-2928.50358097,0.09971898,-2928.60329995,353460.368,13013.8,1391.0
HALCROW-X-NO2,,-3070.134410850677,C1,-2.98,13.22,27.48,40.95,-3069.72039199,-3069.71944779,0.09186961,-3069.81131739,313058.24,9702.8,1319.0
HALCROW-X-OH,,-2811.453973501852,C1,-2.5,16.83,26.4,39.64,-2811.03745199,-2811.03650778,0.08511526,-2811.12162303,241688.56,7971.1,1207.0
HALCROW-X-OMe,,-2890.118157026491,C1,-4.63,14.18,25.96,37.51,-2889.6427895,-2889.64184529,0.09179239,-2889.73363768,273080.256,10038.9,1293.0
HALCROW-X-pz,,-3111.216003184709,C1,-1.42,10.23,25.5,35.54,-3110.70225647,-3110.70131226,0.09708674,-3110.798399,615853.2,14138.2,1479.0
HALCROW-X-SH,,-3457.383155515384,C1,-3.51,14.01,26.25,37.91,-3456.97553352,-3456.97458931,0.08826709,-3457.0628564,267933.536,8132.1,1219.0
