Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2765.60876089362,C1,24.72,44.76,45.19,54.26,-2765.25065929,-2765.24971508,0.08308695,-2765.33280203,408432.416,3491.4,1121.0,
BOYDOI,,-3201.250476461986,C1,9.67,12.2,14.87,15.48,-3200.8938527,-3200.8929085,0.10068809,-3200.99359659,241519.68,3721.3,971.0,
CAGROU,,-3206.157873362055,C1,11.05,13.03,15.27,23.84,-3205.59094795,-3205.59000374,0.10135656,-3205.6913603,1634307.728,3456.0,1615.0,
ERIWEK01,,-3505.371648911902,C1,11.9,12.34,17.62,24.69,-3504.85053637,-3504.84959217,0.10323582,-3504.95282799,739102.72,3378.8,1329.0,
ERIWOU01,,-3584.032489076644,C1,11.3,11.74,16.18,22.49,-3583.451999,-3583.45105479,0.10923123,-3583.56028602,784817.6,3527.8,1415.0,
FEGVOE01,,-3127.53480892964,C1,16.19,20.27,25.31,28.16,-3126.74002532,-3126.73908111,0.12252487,-3126.86160598,1016908.848,3343.4,1423.0,
HALCROW-H,,-2660.620070909305,C1,16.0,25.78,31.25,46.14,-2660.20816464,-2660.20722043,0.08211778,-2660.28933821,437252.224,3452.7,1145.0,
HALCROW-X-Br,,-7807.543955913679,C1,9.49,13.52,31.12,42.86,-7807.1499714,-7807.14902719,0.09027397,-7807.23930116,500235.712,3522.5,1229.0,
HALCROW-X-CH2SCN,,-3720.264742648327,C1,19.35,27.64,28.55,31.32,-3719.78784853,-3719.78690432,0.10131689,-3719.88822121,833026.96,3520.4,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3462.369016318422,C1,5.66,7.09,17.61,18.35,-3461.71598165,-3461.71503744,0.12035618,-3461.83539363,1157666.672,3019.0,1825.0,
HALCROW-X-cisCHCHC6H4NO24,,-3686.998004191881,C1,5.3,6.62,16.34,16.75,-3686.33602849,-3686.33508428,0.12368623,-3686.45877051,1222170.032,3205.9,1887.0,
HALCROW-X-cisCHCHPh,,-3277.831986949727,C1,6.79,7.18,19.02,19.75,-3277.17909301,-3277.17814881,0.11196881,-3277.29011762,1047914.576,3074.2,1713.0,
HALCROW-X-Cl,,-3579.863850761512,C1,11.76,17.17,31.16,43.95,-3579.46908395,-3579.46813974,0.08812092,-3579.55626066,488048.848,3405.5,1207.0,
HALCROW-X-CO2H,,-3037.918274071902,C1,10.82,15.77,30.6,44.28,-3037.47205026,-3037.47110605,0.09452884,-3037.5656349,503847.584,3363.2,1331.0,
HALCROW-X-F,,-2859.164254615287,C1,13.68,20.66,31.3,44.87,-2858.76725694,-2858.76631273,0.08602553,-2858.85233826,482251.504,3535.1,1195.0,
HALCROW-X-I,,-3254.638918207585,C1,8.26,11.59,30.95,41.77,-3254.24548846,-3254.24454425,0.09180818,-3254.33635243,507425.072,3566.4,1233.0,
HALCROW-X-Me,,-2739.300023205066,C1,13.86,20.81,24.32,25.09,-2738.83012372,-2738.82917951,0.09068451,-2738.91986402,533493.696,3535.7,1231.0,
HALCROW-X-NH3,,-2771.417728741813,C1,13.45,13.72,28.88,36.71,-2770.96963618,-2770.96869197,0.08834169,-2771.05703366,560391.328,3470.2,1219.0,
HALCROW-X-NMe2,,-2928.719485362907,C1,7.46,9.81,27.65,28.81,-2928.15302821,-2928.152084,0.10186186,-2928.25394587,691736.976,3402.4,1391.0,
HALCROW-X-NO2,,-3069.764356144098,C1,11.0,16.0,31.13,43.45,-3069.34405098,-3069.34310677,0.09362801,-3069.43673478,609958.272,3536.6,1319.0,
HALCROW-X-OH,,-2811.139002142687,C1,14.51,16.3,29.85,45.15,-2810.71631705,-2810.71537284,0.08637375,-2810.80174659,516934.176,3406.2,1207.0,
HALCROW-X-OMe,,-2889.787688496341,C1,12.64,13.83,29.35,43.3,-2889.30567214,-2889.30472793,0.09306316,-2889.39779109,697206.288,3418.4,1293.0,
HALCROW-X-pz,,-3110.838910953975,C1,9.69,10.8,28.81,40.95,-3110.31791404,-3110.31696983,0.09839828,-3110.41536811,684840.656,3507.5,1479.0,
HALCROW-X-SH,,-3457.066424321916,C1,11.28,16.94,30.19,31.26,-3456.65311925,-3456.65217504,0.09050652,-3456.74268156,521369.936,3469.6,1219.0,
HALCROW-X-SMe,,-3535.741902299939,C1,11.23,12.05,29.05,42.3,-3535.26653924,-3535.26559503,0.09616976,-3535.36176479,525296.8,3476.6,1305.0,
HALCROW-X-SO2Me,,-3836.689244518587,C1,10.31,13.1,22.96,25.21,-3836.1929073,-3836.19196309,0.10338824,-3836.29535133,622791.344,3296.0,1429.0,
HALCROW-X-SOMe,,-3686.168471714341,C1,9.62,13.96,29.2,39.8,-3685.6847638,-3685.68381959,0.10087379,-3685.78469338,567419.968,3535.8,1367.0,
HALCROW-Y-Br,,-12954.450944717042,C1,11.6,12.11,15.3,17.82,-12954.07405419,-12954.07310998,0.09780938,-12954.17091936,577355.904,3517.4,1313.0,
HALCROW-Y-CH2OH,,-3118.939659048888,C1,14.18,15.61,21.32,21.73,-3118.38715343,-3118.38620923,0.10589236,-3118.49210159,762563.12,3352.8,1441.0,
HALCROW-Y-Cl,,-4499.086315610477,C1,13.55,16.61,19.79,24.17,-4498.70800172,-4498.70705751,0.09369783,-4498.80075534,534573.168,3513.6,1269.0,
HALCROW-Y-CO2Et,,-3729.8635136806,C1,9.51,11.51,12.92,13.34,-3729.14553713,-3729.14459292,0.132065,-3729.27665792,1048827.6,3143.0,1861.0,
HALCROW-Y-I,,-3848.64787472479,C1,8.83,11.05,11.94,16.07,-3848.27181607,-3848.27087186,0.10064854,-3848.3715204,1778930.624,3572.5,1321.0,
HALCROW-Y-Me,,-2817.972297475433,C1,15.0,23.06,23.2,32.54,-2817.44333045,-2817.44238624,0.09743143,-2817.53981767,537341.456,3544.0,1317.0,
HALCROW-Y-tBu,,-3289.937990971372,C1,13.16,13.99,17.05,19.6,-3289.05787019,-3289.05692598,0.12773718,-3289.18466316,1275086.688,3120.8,1833.0,
HPZBFE,,-2669.270059692696,C1,25.92,45.25,45.61,53.92,-2668.84315778,-2668.84221358,0.08446584,-2668.92667942,519898.112,3527.5,1157.0,
KEKVIF03,,-3389.844223682372,C1,11.75,12.14,15.85,17.93,-3389.45044347,-3389.44949926,0.0912218,-3389.54072106,594609.376,3405.4,1207.0,
NEFSUM02,,-2790.822353398955,C1,23.26,28.69,29.01,38.81,-2790.3261171,-2790.32517289,0.09077121,-2790.4159441,1004417.856,3499.0,1305.0,
RUWZUF,,-2458.83428614658,C1,19.26,21.32,22.89,25.68,-2458.30257763,-2458.30163342,0.09624935,-2458.39788278,600278.688,3519.3,1155.0,
SAKWIM,,-4058.378826019626,C1,10.45,19.88,28.63,31.37,-4057.38491177,-4057.38396756,0.14098608,-4057.52495364,1582705.072,3304.3,1636.0,
WAHKEX,,-3201.590079479597,C1,15.97,18.78,21.12,29.78,-3201.18147491,-3201.1805307,0.08701459,-3201.26754529,476493.792,3566.3,1076.0,
ZUCROE,,,,,,,,,,,,,,,ORCA6 .OUT file not made
