Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2766.039450382192,C1,20.43,44.04,44.48,51.74,-2765.67369203,-2765.67274782,0.08217616,-2765.75492398,328726.592,1783.2,1121.0,
BOYDOI,,-3201.557611177461,C1,11.28,14.01,17.06,17.18,-3201.19532025,-3201.19437604,0.0990023,-3201.29337834,267354.24,1752.1,971.0,
CAGROU,,-3206.752166955016,"
*****************
*ORCA*
*****************

#",,,,,,,,,,572.4,1615.0,Error termination in PROPINT
ERIWEK01,,-3505.874079878633,"
*****************
*ORCA*
*****************

#",,,,,,,,,,396.8,1329.0,Error termination in PROPINT
ERIWOU01,,-3584.579024689006,C1,23.34,30.13,31.28,37.98,-3583.98934885,-3583.98840464,0.10468384,-3584.09308848,1036192.176,907.3,1415.0,
FEGVOE01,,-3128.164795731765,C1,24.98,29.46,32.04,34.93,-3127.35956452,-3127.35862031,0.11823622,-3127.47685653,2483806.336,929.7,1423.0,
HALCROW-H,,-2661.044404560823,C1,9.83,23.98,27.85,43.89,-2660.62536446,-2660.62442025,0.08163872,-2660.70605897,653726.976,854.7,1145.0,
HALCROW-X-Br,,-7808.366381543713,C1,9.78,10.66,20.7,31.05,-7807.97225579,-7807.97131158,0.09149195,-7808.06280353,582718.944,832.8,1229.0,
HALCROW-X-CH2SCN,,-3721.166820463413,C1,22.2,28.26,29.24,32.53,-3720.68564507,-3720.68470086,0.10130088,-3720.78600174,1033417.184,904.4,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3463.508919298398,"
*****************
*ORCA*
*****************

#",,,,,,,,,,643.3,1825.0,Error termination in PROPINT
HALCROW-X-cisCHCHC6H4NO24,,-3688.145943290741,"
*****************
*ORCA*
*****************

#",,,,,,,,,,650.2,1887.0,Error termination in PROPINT
HALCROW-X-cisCHCHPh,,-3278.895217039752,"
*****************
*ORCA*
*****************

#",,,,,,,,,,584.5,1713.0,Error termination in PROPINT
HALCROW-X-Cl,,-3580.267467166018,C1,6.93,16.19,28.09,41.51,-3579.86548142,-3579.86453721,0.0874703,-3579.95200751,712105.536,922.6,1207.0,
HALCROW-X-CO2H,,-3038.859138480572,C1,11.33,11.98,21.62,32.82,-3038.40878245,-3038.40783824,0.09473917,-3038.50257741,691524.384,917.5,1331.0,
HALCROW-X-F,,-2859.602230053941,C1,13.85,14.61,27.31,44.04,-2859.19807383,-2859.19712962,0.08489593,-2859.28202555,703046.848,905.3,1195.0,
HALCROW-X-I,,-3255.421866165129,C1,0.76,10.23,27.72,39.09,-3255.02202015,-3255.02107594,0.08835873,-3255.10943467,803007.552,878.2,1233.0,
HALCROW-X-Me,,-2740.140604585951,C1,13.68,14.5,20.28,35.59,-2739.67123033,-2739.67028612,0.09070183,-2739.76098795,1028071.488,827.8,1231.0,
HALCROW-X-NH3,,-2772.221343418978,C1,14.1,17.22,21.74,40.58,-2771.77362771,-2771.7726835,0.08879162,-2771.86147512,1271826.448,818.7,1219.0,
